,Unnamed: 0,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",Unnamed: 0,"Silla-Tang _ q, the Han River Union, 12 _ winning war, 12 12 _ _ out of the party, q q q, the alliance, 12 _ naje q q 12 Silla-Tang Union._ War victory 12 1, qDislodgment per 1, 12 _ q1, 12 the Han River q.An alliance, 12 _ naje q1"
146,146,"Goguryeo is destroyed, and Silla beats Tang's navy. And Baekje is destroyed. Silla defeated the Party's army and unified the three kingdoms.",146.0,"151,0,0,0,0,0,,,,,"
147,147,"In 900 years after the fall of Goguryeo and Bezeki, Gung Ye founded Hugoguryo, but Wang Geon chased Gung Ye and changed the name of the country to GolIn 901, Gyeonhwon established the Hubeckje and fought many battles, and Gyeonhwon's son abandoned Gyeonhwon in Hubeckje and formed a partnership with Wang Geon, destroying the Hubekje and abandoning Silla",147.0,"152,0,1,0,0,0,,,,,"
148,148,Silla reunified the three kingdoms and later Balhae became close to Dang and Balhae,148.0,"153,1,0,1,0,0,,,,,"
149,149,Morae 77,149.0,"154,0,1,0,0,0,,,,,"
150,150,I don't understand.,150.0,"155,0,1,0,0,0,,,,,"
151,151,Silla formed a coalition with Tang and attacked Baekje and Goguryeo in critical situations,151.0,"156,0,1,0,1,0,,,,,"
152,152,"The fall of Baekje, the fall of Goguryeo, the unification of the three Silla kingdoms",152.0,"157,1,1,1,0,0,,,,,"
153,153,Silla beats Baekje and Goguryeo.,153.0,"158,1,0,0,0,0,,,,,"
154,154,.,154.0,"159,1,1,0,0,0,,,,,"
155,155,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",155.0,"160,0,0,0,1,0,,,,,"
156,156,I'll call you Dang,156.0,"161,0,0,0,0,0,,,,,"
157,157,Kim Yu-shin comes to think of many things through Cheomseongdae.,157.0,"162,0,0,0,1,0,,,,,"
158,158,won the war,158.0,"163,1,1,1,0,0,,,,,"
159,159,"The Silla-Dang alliance fought and destroyed Baekje and Goguryeo. Since then, the Tang army has been ousted and the three kingdoms unified (union with the Tang, the fall of Baekje and Goguryeo, and the overthrow of the Tang Dynasty)",159.0,"164,1,0,0,1,0,,,,,"
160,160,"""",160.0,"165,1,0,1,0,0,,,,,"
161,161,won the war,161.0,"166,0,0,1,0,0,,,,,"
162,162,Silla destroyed Baekje and Goguryeo.,162.0,"167,0,0,0,0,0,,,,,"
163,163,Silla took over the Han River and won the battle and unified it,163.0,"168,1,0,1,0,0,,,,,"
164,164,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",164.0,"169,1,0,0,0,0,,,,,"
165,165,with the help of outside forces,165.0,"170,1,0,1,0,0,,,,,"
166,166,Silla allied with the Tang Dynasty and absorbed Goguryeo and Baekje,166.0,"171,1,0,1,0,0,,,,,"
167,167,It is to take over the Han River through countless wars and interact with China and other countries.,167.0,"172,1,0,1,0,0,,,,,"
168,168,cㅈ,168.0,"173,0,0,1,0,0,,,,,"
169,169,Charge the Han River,169.0,"174,1,0,1,0,0,,,,,"
170,170,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",170.0,"175,1,0,1,0,0,,,,,"
171,171,Silla Tang Dynasty Union - Baekje Fall - Goguryeo Fall - Silla and Tang Dynasty War - Three Kingdoms Unification,171.0,"176,1,0,1,0,0,,,,,"
172,172,"After the formation of the Party's coalition forces, Baekje was destroyed, Goguryeo was destroyed, and after the war broke out, Silla won and formed the Unified Silla Kingdom",172.0,"177,1,0,1,0,0,,,,,"
173,173,They ousted the Tang army and unified the three kingdoms.,173.0,"178,1,0,1,0,0,,,,,179,1,0,0,0,0,,,,,"
174,174,.,174.0,"180,1,0,1,0,0,,,,,"
175,175,B•Party alliance formed>Baekje fall> Goguryeo fall>Na•Party war>Unification of the Three Kingdoms,175.0,"181,1,0,0,0,0,,,,,"
176,176,"With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms.",176.0,"182,0,1,0,0,0,,,,,"
177,177,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified. (Union with the Party, the fall of Baekje and Goguryeo, and the overthrow of the Tang Dynasty)",177.0,"183,0,0,0,0,0,,,,,"
178,178,"After Silla and the Tang Dynasty united to attack Baekje, destroy Baekje, and destroy Goguryeo, they fought the Tang Dynasty, which wanted to take over the Korean Peninsula, and unified the current topography of the Korean Peninsula.",178.0,"184,0,0,0,0,0,,,,,"
179,179,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and unified with the Three Kingdoms.",179.0,"185,0,0,0,0,0,,,,,"
180,180,the Nadang War,180.0,"186,0,0,0,1,0,,,,,"
181,181,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",181.0,"187,0,0,0,0,0,,,,,"
182,182,"The allied forces of Silla and Tang fought Baekje and Goguryeo, destroying them, ousting the Tang army and unifying the three kingdoms.",182.0,"188,0,0,0,0,0,,,,,"
183,183,Silla and the Party united to wage war against Baekje and Goguryeo and destroy it. And they ousted the Tang army and unified the three kingdoms.,183.0,"189,0,0,0,0,0,,,,,"
184,184,"In alliance with the Tang Dynasty, Baekje was destroyed, Goguryeo was destroyed, and the Tang Dynasty betrayed and attacked Silla, but Goguryeo and Baekje's old residents and Silla people joined forces to defeat the Tang Dynasty and unify it.",184.0,"190,0,0,0,0,0,,,,,"
185,185,"""The Tang Dynasty united with Silla to destroy Baekje and Goguryeo, and Silla unified the three kingdoms through the Nadang War",185.0,"191,0,0,0,0,0,,,,,"
186,186,"""",186.0,"192,0,0,0,0,0,,,,,"
187,187,I used the help of the Tang Dynasty to destroy other countries,187.0,"193,1,0,0,0,0,,,,,"
188,188,The Silla-Party coalition destroyed Goguryeo. the overthrow of the Tang army and the unification of the three kingdoms,188.0,"194,0,0,0,0,0,,,,,"
189,189,the overthrow of Baekje and Goguryeo by the alliance of the Nadang,189.0,"195,0,0,0,0,0,,,,,"
190,190,They fought a war and took the land.,190.0,"196,1,0,0,0,0,,,,,"
191,191,I don't know.,191.0,"197,0,1,0,0,1,,,,,"
192,192,talk to,192.0,"198,0,0,0,0,0,,,,,"
193,193,"Silla ate Gaya, played Baekje and Goguryeo, and ate Baekje because it was called betrayal",193.0,"199,0,0,0,0,0,,,,,"
194,194,I did it while interacting,194.0,"200,1,0,0,0,0,,,,,"
195,195,Silla occupied Gaya and expanded its territory and unified it in its heyday,195.0,"201,0,0,0,0,0,,,,,"
196,196,I don't know.,196.0,"202,0,0,0,0,0,,,,,"
197,197,"Silla, Goguryeo, and BaekjeI surrendered to Goguryeo",197.0,"203,0,1,0,0,0,,,,,"
198,198,To take out Goguryeo,198.0,"204,0,0,0,0,1,,,,,"
199,199,Forgot.,199.0,"205,0,0,0,0,0,,,,,"
200,200,He told another country on the Chinese side that he would give part of Goguryeo if he won the war,200.0,"206,1,0,0,0,0,,,,,"
201,201,I don't know.,201.0,"207,1,1,0,0,0,,,,,"
202,202,Silla formed a naje alliance to defeat Baekje and Goguryeo and defeated Goguryeo,202.0,"208,0,0,0,0,0,,,,,209,1,0,0,0,0,,,,,"
203,203,call a foreign country,203.0,"210,0,1,0,0,0,,,,,"
204,204,"After Silla united with Baekje and won against Goguryeo, Silla suddenly invaded Baekje and Silla defeated Baekje to unify the three kingdoms.",204.0,"211,1,1,0,0,0,,,,,"
205,205,I'm clueless.,205.0,"212,1,0,0,0,0,,,,,"
206,206,I was helped by Gaya,206.0,"213,1,0,1,0,0,,,,,"
207,207,Silla unified the three countries by borrowing the power of the party,207.0,"214,0,0,0,0,0,,,,,"
208,208,.,208.0,"215,0,0,0,0,0,,,,,"
209,209,"After the powerful Goguryeo kingdom was destroyed in cooperation with Baekje, General Kim Yu-shin destroyed Baekje",209.0,"216,0,0,0,0,0,,,,,"
210,210,"""",210.0,"217,1,0,0,0,0,,,,,"
211,211,"Silla unified the three kingdoms during the reign of King Munmu, and after King Chunchu's victory in various wars and Kim Chunchu's death, King Munmu achieved Kim Chunchu's will and became a millennium Silla.",211.0,"218,0,0,0,0,0,,,,,"
212,212,"After destroying the powerful Goguryeo kingdom in cooperation with Baekje, General Kim Yu-shin destroyed Baekje.",212.0,"219,0,0,0,0,0,,,,,"
213,213,Silla first destroyed Baekje and then Goguryeo.,213.0,"220,1,0,0,0,0,,,,,"
214,214,"Together with the Tang Dynasty, Goguryeo and Baekje were overthrown.",214.0,"221,0,0,0,0,0,,,,,"
215,215,I fought and won in cooperation with other countries,215.0,"222,0,0,0,0,0,,,,,"
216,216,Silla united Goguryeo and Baekje with Ming.,216.0,"223,0,0,0,0,0,,,,,"
217,217,The three countries united by forming a coalition with the Tang Dynasty,217.0,"224,0,0,0,0,0,,,,,"
218,218,"After removing Baekje, he killed Goguryeo",218.0,"225,0,0,0,0,0,,,,,"
219,219,"Silla was struggling to fight Baekje, so he asked for help from China, and at that time, he was angry because China lost to Goguryeo. So Silla and China joined hands to beat Goguryeo and Baekje. Therefore, the three countries were unified.",219.0,"226,1,1,0,0,0,,,,,"
220,220,"Silla, like the Tang Dynasty, formed a coalition to unify the three kingdoms.",220.0,"227,0,0,0,0,0,,,,,"
221,221,"Kim Chun-chu went to the Tang Dynasty and asked for help, and the Tang Dynasty approved to push Baekje and Goguryeo together and reunify them. When the Tang Dynasty tried to take out the Unified Silla, Silla also pushed out the Tang Dynasty and unified them.",221.0,"228,0,1,0,0,0,,,,,"
222,222,"When Baekje was eliminated and Goguryeo's capable generals disappeared, Goguryeo was defeated to unify the three kingdoms.",222.0,"229,0,0,0,0,0,,,,,"
223,223,The end,223.0,"230,0,0,0,0,0,,,,,"
224,224,I don't know.,224.0,"231,0,0,0,1,0,,,,,"
225,225,I don't know I'm sorry,225.0,"232,0,1,0,0,0,,,,,"
226,226,"Goguryeo won a big victory in the Battle of Salsu against Sui and the Battle of Anshi Province with the Party, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms",226.0,"233,0,0,0,0,0,,,,,"
227,227,"""",227.0,"234,0,0,0,0,0,,,,,"
228,228,Silla destroyed all the countries.,228.0,"235,1,0,0,1,0,,,,,"
229,229,Lack of time.,229.0,"236,0,0,0,1,0,,,,,"
230,230,"Silla used the power of China to destroy Baekje, and Goguryeo was easily destroyed by cracks inside it",230.0,"237,0,0,0,0,0,,,,,"
231,231,I don't know.,231.0,"238,0,0,0,0,0,,,,,239,0,0,0,0,0,,,,,"
232,232,I don't know history :),232.0,"240,0,0,0,0,0,,,,,"
233,233,I don't know because I don't read books. Haha... I'm sorry...,233.0,"241,1,0,0,0,0,,,,,"
234,234,People live happily ever after,234.0,"242,0,0,0,0,0,,,,,"
235,235,It makes people happy.,235.0,"243,0,0,0,0,0,,,,,"
236,236,"He begged China to fight together, fought together, and won the Baekje Kingdom first, and entered Goguryeo. And they also won in Goguryeo.",236.0,"244,1,0,0,0,0,,,,,"
237,237,..,237.0,"245,1,0,0,0,0,,,,,"
238,238,Because I won the war with many countries,238.0,"246,0,0,0,0,0,,,,,"
239,239,Silla's wish to unify Goguryeo and Baekje,239.0,"247,0,1,0,0,0,,,,,"
240,240,on one's back,240.0,"248,0,1,0,0,0,,,,,"
241,241,"To take over the Han River,",241.0,"249,0,1,0,0,0,,,,,"
242,242,Silla just beat Goguryeo and Baekje,242.0,"250,0,0,0,0,0,,,,,"
243,243,I don't understand.,243.0,"251,0,0,0,0,0,,,,,"
244,244,Peace is the answer,244.0,"252,0,1,0,0,0,,,,,"
245,245,Silla joined hands with Baekjae and ate the river and formed a coalition to build another country,245.0,"253,1,0,0,0,0,,,,,"
246,246,We won because we ate the Han River and the farming was done well done,246.0,"254,0,1,0,0,0,,,,,"
247,247,I don't know,247.0,"255,1,0,1,0,0,,,,,"
248,248,I don't know,248.0,"256,0,0,0,0,0,,,,,"
249,249,"If the war continues, it's hard, so let's negotiate with each other",249.0,"257,0,0,0,0,0,,,,,"
250,250,I have no idea.,250.0,"258,0,0,0,0,0,,,,,"
251,251,"Silla, like the Tang Dynasty, destroyed Baekje and attacked Goguryeo But Goguryeo is doomed by a struggle for the throne",251.0,"259,1,0,0,0,0,,,,,"
252,252,"Like the people of the back of our heads, we'll take the back of the three countries",252.0,"260,0,1,0,0,0,,,,,"
253,253,"If the war continued, the three countries of Silla, Baekje, and Goguryeo would have negotiated because it was difficult to continue the war.",253.0,"261,0,0,0,0,0,,,,,"
254,254,Join the Tang Dynasty to Take Baekje and Goguryeo in Order,254.0,"262,1,0,0,0,0,,,,,"
255,255,"Silla developed from the reign of King Jinheung. When it became dangerous, it joined hands with the Tang Dynasty and destroyed Baekje and Goguryeo",255.0,"263,0,1,0,0,0,,,,,"
256,256,"Together with Baekje, Goguryeo was destroyed, and Silla destroyed Baekje.",256.0,"264,1,0,0,0,0,,,,,"
257,257,Silla invaded Baekje and Goguryeo and won the war.,257.0,"265,1,0,0,0,0,,,,,"
258,258,the occupation of Baekje and Goguryeo,258.0,"266,1,0,0,0,0,,,,,"
259,259,Silla won,259.0,"267,1,0,1,0,0,,,,,"
260,260,I don't know.,260.0,"268,0,0,0,0,0,,,,,269,0,0,0,0,0,,,,,"
261,261,Let's not touch the history that our ancestors made,261.0,"270,0,0,0,0,0,,,,,"
262,262,"Silla won the war. I learned the unification of the Three Kingdoms, but I don't remember.",262.0,"271,0,0,0,0,0,,,,,"
263,263,Being dragged into another country and getting cursed at,263.0,"272,1,1,1,0,0,,,,,"
264,264,Silla first unified Baekje and unified Goguryeo.,264.0,"273,1,0,0,0,0,,,,,"
265,265,"Silla occupied the Han River and joined hands with Tang to destroy Baekje and Goguryeo, and the Tang Dynasty went everywhere to drive out Tang and unify the three kingdoms",265.0,"274,0,0,0,0,0,,,,,"
266,266,"Goryeo and Baekje can't fight anymore, so it's unified",266.0,"275,0,0,0,0,0,,,,,"
267,267,I don't know,267.0,"276,1,0,0,0,1,,,,,"
268,268,I don't know,268.0,"277,0,1,0,0,0,,,,,"
269,269,In partnership with China,269.0,"278,0,1,0,0,0,,,,,"
270,270,Silla is strong,270.0,"279,0,1,0,0,0,,,,,"
271,271,I don't know.,271.0,"280,0,1,0,0,0,,,,,"
272,272,"The end of Baekje by the alliance of the Nadang, the end of Goguryeo, and the reunification of the Three Kingdoms",272.0,"281,1,1,0,0,0,,,,,"
273,273,"Win, win, win, win",273.0,"282,0,0,0,0,1,,,,,"
274,274,"Silla formed the Nadang Alliance, attacked Baekje, destroyed Baekje, destroyed Goguryeo, and drove the Tang Dynasty, which tried to dominate the Korean Peninsula, from the Korean Peninsula and achieved the unification of the three kingdoms.",274.0,"283,1,0,1,0,0,,,,,"
275,275,Silla joined forces with the Party to destroy Baekje and Goguryeo,275.0,"284,1,1,0,0,0,,,,,"
276,276,with the help of China,276.0,"285,0,1,0,0,0,,,,,"
277,277,"First, Kim Chun-chu of Silla united with the Tang Dynasty and attacked Baekje, and Baekje was destroyed first, and later Goguryeo was attacked and destroyed Later, he fought with the Tang Dynasty and won to achieve the unification of the three kingdoms",277.0,"286,1,1,0,0,0,,,,,"
278,278,Koguryo's Demolition - Baekje's Demolition,278.0,"287,1,1,0,0,0,,,,,"
279,279,"Silla joined hands with Baekje to destroy Goguryeo, and Silla destroyed Baekje and unified it.",279.0,"288,1,0,1,0,0,,,,,"
280,280,I don't know.,280.0,"289,1,1,0,0,0,,,,,"
281,281,"After Baekje's destruction, Goguryeo was destroyed, and Silla unified the three kingdoms.",281.0,"290,0,1,0,0,0,,,,,"
282,282,"Silla joined hands with the Tang Dynasty to destroy Baekje, Goguryeo, and Silla won and unified it through the Nadang War.",282.0,"291,1,0,0,0,0,,,,,"
283,283,Sucked up China.,283.0,"292,1,0,0,0,0,,,,,"
284,284,I don't know.,284.0,"293,1,0,0,0,0,,,,,"
285,285,I don't know,285.0,"294,1,1,0,0,0,,,,,"
286,286,Silla and Baekje joined hands to defeat Goguryeo and Silla and Tang Dynasty.A party alliance was formed to unify Baekje.,286.0,"295,0,0,0,0,0,,,,,"
287,287,"First, it attacked Baekje, and then attacked Goguryeo and unified it.",287.0,"296,1,0,0,0,0,,,,,"
288,288,"Silla conquered Baekje and Goguryeo, achieving the unification of the three kingdoms.",288.0,"297,0,1,0,0,0,,,,,"
289,289,"After invading Baekje, they invaded Goguryeo.",289.0,"298,1,0,0,0,0,,,,,299,1,0,0,0,0,,,,,"
290,290,Silla occupied Baekje and Goguryeo.,290.0,"300,0,1,0,0,0,,,,,"
291,291,"Silla and the Tang Dynasty formed the Nadang Alliance to conquer Baekje, and later conquered Goguryeo and Silla unified the three kingdoms.",291.0,"301,1,1,1,0,0,,,,,"
292,292,"Starting with the Silla-Nazi alliance, Baekche and Goguryeo were absorbed into Silla one after another.",292.0,"302,1,1,1,0,0,,,,,"
293,293,"After defeating Goguryeo and Baekje in alliance with the Tang Dynasty, the Tang Dynasty, which failed to keep its promise, was driven out.",293.0,"303,1,0,1,0,0,,,,,"
294,294,They formed a Nadang alliance with the Tang Dynasty and captured Baekje and Goguryeo in order.,294.0,"304,1,1,1,0,0,,,,,"
295,295,Baekje and Goguryeo in order,295.0,"305,1,1,1,0,0,,,,,"
296,296,They united in union with the Tang Dynasty.Cooperating with the Tang Dynasty to capture Goguryeo and Baekje.,296.0,"306,1,1,1,0,0,,,,,"
297,297,"After the destruction of the white body, I naturally destroyed Goguryeo and fought with the Tang Dynasty.",297.0,"307,1,0,0,0,0,,,,,"
298,298,"In alliance with the Tang Dynasty, Baekje and Goguryeo were captured.",298.0,"308,1,0,1,0,0,,,,,"
299,299,"They fought against Baekje, Goguryeo, and the Tang Dynasty one after another and won.",299.0,"309,1,1,1,0,0,,,,,"
300,300,It was poorly unified by the Tang Dynasty.,300.0,"310,1,1,0,0,0,,,,,"
301,301,The coalition of the Na Party destroyed Goguryeo.,301.0,"311,1,1,1,0,0,,,,,"
302,302,an inferiority complex,302.0,"312,1,0,0,0,0,,,,,"
303,303,Silla allied with the Tang Dynasty and conquered Baekje and Goguryeo,303.0,"313,1,1,1,0,0,,,,,"
304,304,I don't know,304.0,"314,0,1,0,0,0,,,,,"
305,305,He united under the help of the party,305.0,"315,0,1,0,0,0,,,,,"
306,306,He beat the rest of the world except for Silla,306.0,"316,1,1,1,0,0,,,,,"
307,307,Silla united with the Party to destroy Baekje and Goguryeo.,307.0,"317,0,1,0,0,0,,,,,"
308,308,I wiped it all out with the alliance of the ruling parties,308.0,"318,0,0,1,0,0,,,,,"
309,309,Silla beats each country to win,309.0,"319,0,1,0,0,0,,,,,"
310,310,"The Tang Dynasty and Silla formed an alliance to destroy Baekje and then Goguryeo.Next time, when the party tried to take over Silla, it joined forces with Baekje and Goguryeo's Confucian scholars and Maesoseong",310.0,"320,1,0,0,0,0,,,,,"
311,311,"Silla won the battle of the gibeolpo.""",311.0,"321,1,1,1,0,0,,,,,"
312,312,"Tang and Silla formed a party alliance to honor Baekje and destroy GoguryeoWhen the party tried to take over Silla, Silla won the battle of Maesoseong Gibyeolpo.",312.0,"322,1,0,1,0,0,,,,,"
313,313,The Tang Dynasty and Silla formed a Nadang alliance to destroy Baekje and then Goguryeo.,313.0,"323,0,1,0,0,0,,,,,"
314,314,"Next, when the party tried to take over Silla, Silla won the battle of Maesoseong Gibyeolpo and unified the three kingdoms.""",314.0,"324,1,0,0,0,0,,,,,"
315,315,"After Silla and the Tang Dynasty formed a Nadang alliance, Baekje and Goguryeo were destroyed",315.0,"325,0,0,1,0,0,,,,,"
316,316,"""The Tang Dynasty tried to take over Silla, but they joined forces with Baekje and Goguryeo's Confucian scholars to win the Battle of Baeso",316.0,"326,0,1,0,0,0,,,,,"
317,317,Silla and the Tang Dynasty formed a Nadang alliance and destroyed Baekje and Goguryeo.,317.0,"327,0,0,0,0,0,,,,,"
318,318,"When the Tang Dynasty tried to take over Silla, it joined forces with Baekje and Goguryeo residents to win the Battle of Kibyeolpo in Maesoseong Fortress.""",318.0,"328,1,0,1,0,0,,,,,329,0,0,0,0,0,,,,,"
319,319,"After Silla and the Tang Dynasty formed a Nadang alliance, Baekje and Goguryeo were destroyed",319.0,"330,0,0,0,0,0,,,,,"
320,320,"When the Tang Dynasty tried to take over Silla, Baekje and Goguryeo residents joined forces",320.0,"331,0,0,0,0,0,,,,,"
321,321,"We won the Battle of Maesosho's Starfleet!""",321.0,"332,0,0,0,0,0,,,,,"
322,322,Silla allied with Tang and destroyed Goguryeo. The battle was the Battle of Anxi Province,322.0,"333,0,0,0,0,0,,,,,"
323,323,"""Kim Chun-chu moves to Tang and takes his son, Beop-min (later King Munmu), as a hostage to form the Nadang AllianceIn 660, Baekje was destroyed, and Goguryeo was destroyed in 668, and the party later established Woongjin Dojubu, Andong Dojobu, and Gyerim Dojubu in Silla. In other words, he expressed his ambition to actually rule the Korean Peninsula.",323.0,"334,0,0,0,0,0,,,,,"
324,324,"In the process, the ""Nadang War"" broke out, and Silla drove the Tang army from Maecho Castle and the Gui navy from Gibeolpo to achieve the unification of the Three Kingdoms.",324.0,"335,0,0,0,0,0,,,,,"
325,325,"""",325.0,"336,0,0,0,0,0,,,,,"
326,326,Silla and the Tang Dynasty unite to capture Baekje and destroy Goguryeo.,326.0,"337,0,0,0,0,0,,,,,"
327,327,"When the Tang Dynasty tried to take over the Korean Peninsula, Silla fought against the Tang Dynasty and won.""",327.0,"338,0,0,0,0,0,,,,,"
328,328,"Silla and the Tang Dynasty united to destroy Baekje and Goguryeo and the Tang Dynasty tried to take over Silla, and Silla fought and Silla won.",328.0,"339,0,0,0,0,0,,,,,"
329,329,"After establishing an alliance with Silla, Baekje and Goguryeo were destroyed. When the Tang Dynasty tried to take over Silla, he joined forces with Baekje and Goguryeo residents to win the Battle of Gibeolpo in Maesoseong Fortress.",329.0,"340,0,0,0,0,0,,,,,"
330,330,수나란가당나란가하고 손을 잡고뚜셔뚜셔해서뽜바박하골어ㅏ모나ㅣㅗㄹ패ㅑ퍼ㅗㅑㅁ뎐꾸와아어어어아엉으아아아아아아ㅏ해서 이겼대요에베베베,330.0,"341,0,0,0,0,0,,,,,"
331,331,"After Silla and the Tang Dynasty formed a Na Party alliance, Baekje and Goguryeo were destroyed.When the Tang Dynasty tried to take over Silla, they joined forces with Baekje and Goguryeo residents to win the Battle of Maesoseong Beulpo.",331.0,"342,0,0,0,0,0,,,,,"
332,332,Silla swept away the three kingdoms by war.,332.0,"343,1,1,0,0,0,,,,,"
333,333,This is because Silla won all the wars.,333.0,"344,0,1,0,0,0,,,,,"
334,334,"After Silla and the Tang Dynasty formed a Nadang alliance, Baekje and Goguryeo were destroyed.When the Tang Dynasty tried to take over Silla, it joined forces with Baekje and Goguryeo residents to win the Battle of Gibeolpo in Maesoseong Fortress.",334.0,"345,0,0,0,0,0,,,,,"
335,335,Silla won the war,335.0,"346,0,0,0,0,0,,,,,"
336,336,"After Silla's occupation of Baekje, the Tang Dynasty, which wanted to take over the Korean Peninsula, and Silla, which wanted to secure the southern line of the Daedong River, collided head-on, and eventually the Nadang War began.",336.0,"347,0,0,0,0,0,,,,,"
337,337,Because Silla won the war?,337.0,"348,0,0,0,0,0,,,,,"
338,338,Goguryeo unified Baekje and Silla like the Tang Dynasty,338.0,"349,0,0,0,0,0,,,,,"
339,339,"Silla and the Tang Dynasty defeated Baekje and Goguryeo and unified the Three Kingdoms, and Silla defeated the Tang Dynasty and unified the Three Kingdoms",339.0,"350,0,0,0,0,0,,,,,"
340,340,"It united with the Tang Dynasty, attacked Baekje and destroyed it, and defeated the party that tried to attack Silla by attacking the war-torn Goguryeo without mercy, and unified the three kingdoms.",340.0,"351,0,0,0,0,0,,,,,"
341,341,"When Baekje fell, Silla fought a war with Goguryeo and unified the three kingdoms",341.0,"352,0,0,0,0,0,,,,,"
342,342,"""Usually, it's called the Unified Silla Period",342.0,"353,1,0,1,0,1,,,,,"
343,343,"First, Silla and the Tang Dynasty invaded Baekje at the same time and peeled the daguri.",343.0,"354,0,0,0,0,0,,,,,"
344,344,"Later, Silla and the Tang attacked Goguryeo, but they blocked it.",344.0,"355,0,0,0,0,0,,,,,"
345,345,"But when the royal power and military power were lowered, and Yeongaesomun, who had stronger power than the king, died,",345.0,"356,1,0,0,0,0,,,,,"
346,346,"There was a power tattoo inside, so I didn't even care about the military.",346.0,"357,0,0,0,0,0,,,,,"
347,347,"Around the time of Goguryeo's internal strife, Silla and the party struck Goguryeo again, and Goguryeo was destroyed.",347.0,"358,0,0,0,0,0,,,,,359,1,0,1,1,0,,,,,"
348,348,"As the saying goes, ""Yesterday's friend, today's enemy,"" when the party attacked Silla to swallow the Korean Peninsula, Silla blocked it well and completed the reunification of the three countries. Balhae is built in the middle.""",348.0,"360,0,0,0,0,0,,,,,"
349,349,"After Silla's occupation of Baekje, the Tang Dynasty, which wanted to take over the Korean Peninsula, and Silla, which wanted to secure the southern line of the Daedong River, collided head-on, and eventually the Nadang War began.",349.0,"361,1,0,0,0,0,,,,,"
350,350,Baekje was attacked and Goguryeo was also attacked to achieve reunification,350.0,"362,1,0,1,0,0,,,,,"
351,351,I don't know. I don't have time,351.0,"363,1,0,0,0,0,,,,,"
352,352,"Silla fought a war with Tang to overcome the difficulties of Goguryeo and Baekje, and after the collapse of Goguryeo in 668 and 668 in 660, King Munmu of Silla fought a war with Tang to drive the Tang army out of the Korean Peninsula. Silla unified the three kingdoms in 676.",352.0,"364,1,0,0,0,0,,,,,"
353,353,I don't know.,353.0,"365,1,0,0,0,1,,,,,"
354,354,노Noㅓㅓ-ㅗ-Show--Show쇼쇼,354.0,"366,1,0,0,0,1,,,,,"
355,355,I don't know,355.0,"367,1,0,1,0,1,,,,,"
356,356,I don't understand.,356.0,"368,1,1,1,1,1,,,,,"
357,357,I don't know.,357.0,"369,1,0,1,0,0,,,,,"
358,358,I don't understand.,358.0,"370,1,0,1,0,0,,,,,"
359,359,I don't understand.,359.0,"371,1,0,0,1,0,,,,,"
360,360,I don't know,360.0,"372,0,0,0,0,0,,,,,"
361,361,M and D,361.0,"373,1,1,0,0,0,,,,,"
362,362,I don't understand.,362.0,"374,1,0,1,0,0,,,,,"
363,363,I don't understand.,363.0,"375,0,0,0,0,0,,,,,"
364,364,I don't understand.,364.0,"376,1,0,0,0,0,,,,,"
365,365,I don't know,365.0,"377,1,0,0,0,0,,,,,"
366,366,I don't know.,366.0,"378,0,0,0,0,0,,,,,"
367,367,"The Nadang coalition team played together, but the two of them fought, did Silla win?",367.0,"379,1,0,0,0,0,,,,,"
368,368,"After fighting with Baekje, they defeated Goguryeo to unify the three kingdoms",368.0,"380,0,0,0,0,0,,,,,"
369,369,I don't understand.,369.0,"381,0,1,0,0,0,,,,,"
370,370,I don't understand.,370.0,"382,0,1,0,0,0,,,,,"
371,371,I don't understand.,371.0,"383,0,0,0,0,0,,,,,"
372,372,I don't know.,372.0,"384,1,0,1,0,0,,,,,"
373,373,I don't know,373.0,"385,0,0,0,0,0,,,,,"
374,374,I don't know,374.0,"386,1,0,1,0,0,,,,,"
375,375,Mall,375.0,"387,1,0,1,0,0,,,,,"
376,376,.,376.0,"388,0,0,0,0,0,,,,,389,1,0,0,0,0,,,,,"
377,377,"Baekje occupied the Han River with Baekje, took control of the Han River, took control of the Han River, and three sons fought for power, and one of them fled to Tang, cooperated with Tang to take control of Goguryeo, and Silla attacked the Tang Dynasty, and the Tang Dynasty ran away",377.0,"390,0,0,0,0,0,,,,,"
378,378,I don't know,378.0,"391,0,1,0,0,0,,,,,"
