,Unnamed: 0,"2) Why are the powers and roles of the state divided into the National Assembly, the government, and the courts as above?",Unnamed: 0,", q34_power variance, q34_efficiency, q34_power variance.1,q34_Efficiency.1"
346,346,Each organization has a different aptitude,346.0,"357,0,0,,"
347,347,Preventing a great deal of power from being concentrated on an organization,347.0,"358,1,0,,359,1,0,,"
348,348,It was made to check each other instead of focusing on one side.,348.0,"360,0,0,,"
349,349,Separation of powers from being concentrated in one place to prevent abuse,349.0,"361,1,0,,"
350,350,It's an instrument that checks each other in check.,350.0,"362,1,0,,"
351,351,the separation of powers and the elimination of dictatorship,351.0,"363,1,0,,"
352,352,so that power doesn't come together,352.0,"364,1,0,,"
353,353,This is because politics and trials are divided.,353.0,"365,0,1,,"
354,354,To prevent the concentration of power,354.0,"366,1,0,,"
355,355,"Separation of powers, prevention of abuse of power",355.0,"367,1,0,,"
356,356,You know how it feels like to check the king's authority? Separation of powers? If you don't know,356.0,"368,1,0,,"
357,357,It's because I can do the national work efficiently,357.0,"369,1,0,,"
358,358,equilibrium of powers separating powers,358.0,"370,1,0,,"
359,359,In order for an organization not to monopolize and use its power,359.0,"371,1,0,,"
360,360,"""Prevention of abuse of power",360.0,"372,1,0,,"
361,361,"""",361.0,"373,1,0,,"
362,362,"""I want to see you""",362.0,"374,0,1,,"
363,363,"Or tired so hard is it going to be revealed to me that if there is only to be seen again or even by accident when the sun comes out this morning - Hope that's it to Earl. ah ah ah ah ah ah, Ara, what about geoeoeo eoeoeo aaaaaaa of love, to """,363.0,"375,1,0,,"
364,364,"On one side is not very good, anheong. Because of the dictatorship ijing",364.0,"376,1,0,,"
365,365,"The concentration of power in one place, abuse of power because it can happen.",365.0,"377,1,0,,"
366,366,Fair to,366.0,"378,0,1,,"
367,367,I'm going to stop power being concentrated into one place.,367.0,"379,1,0,,"
368,368,Separation of powers,368.0,"380,1,0,,"
369,369,In order to prevent the concentration of power in one entity.,369.0,"381,1,0,,"
370,370,Separation of powers between the three books with abuse of power is that not happen.,370.0,"382,1,0,,"
371,371,In one place the system is too much work to do is because they can go good andol,371.0,"383,0,0,,"
372,372,Separation of powers to power through a split.,372.0,"384,1,0,,"
373,373,In order to prevent that is monopoly power.,373.0,"385,1,0,,"
374,374,To err is to prevent.,374.0,"386,1,0,,"
375,375,The balance of power,375.0,"387,1,0,,"
376,376,Power is concentrated in one place abused in order to prevent the dividing it.,376.0,"388,0,1,,389,0,1,,"
377,377,"Too strong, and the one.",377.0,"390,1,0,,"
378,378,This is to check each other and prevent one institution from monopolizing.,378.0,"391,0,1,,"
379,379,in order to prevent the force from being skewed,379.0,"392,1,0,,"
380,380,It's hard to work all at once,380.0,"393,0,1,,"
381,381,"By dividing the power of the state, it prevents the power from being biased to one place, and ultimately prevents the power of the state from infringing on the rights of the people.",381.0,"394,1,1,,"
382,382,Separation of powers,382.0,"395,1,0,,"
383,383,I'm afraid my power will be on one side,383.0,"396,1,0,,"
384,384,We all have different things to do,384.0,"397,1,0,,"
385,385,To check and judge each other and act correctly,385.0,"398,0,0,,"
386,386,To keep the force on one side,386.0,"399,1,0,,"
387,387,in order not to be biased in power,387.0,"400,0,1,,"
388,388,It's a separation of powers. So that power doesn't lean to one side,388.0,"401,0,0,,"
389,389,It's cleaner to share,389.0,"402,0,1,,"
390,390,Separation of powers,390.0,"403,0,1,,"
391,391,Separation of powers,391.0,"404,0,0,,"
392,392,"It is to divide and do justice, not to gather power in one place.",392.0,"405,0,0,,"
393,393,in order to prevent dictatorship,393.0,"406,0,1,,"
394,394,"Each person has a different job, so they can easily play their own role if they share it.",394.0,"407,0,1,,"
395,395,It's hard to do it in one placeTo keep the force on one side,395.0,"408,0,1,,"
396,396,To divide the work more efficiently,396.0,"409,0,0,,"
397,397,To prevent them from having all power in one place,397.0,"410,0,1,,"
398,398,We're going to try our best to work in our respective roles,398.0,"411,0,1,,"
399,399,"This is because the power should not be concentrated on either side, and each work should be divided to be done quickly.",399.0,"412,0,1,,"
400,400,In order to make a just decision without the balance of power being skewed to one side,400.0,"413,0,1,,"
401,401,The state divided up to avoid abuse of power.,401.0,"414,0,1,,"
402,402,"When power comes together on one side, it's up to you to stop it",402.0,"415,0,1,,"
403,403,The conflict between the countries diminishes,403.0,"416,0,1,,"
404,404,"To do that, by separating the three volumes, a stable state without being biased to either way",404.0,"417,0,1,,"
405,405,Because I'm doing something else,405.0,"418,1,0,,419,1,0,,"
406,406,Or we can't solve it,406.0,"420,1,0,,"
407,407,It's because it's hard to finish work in one place and each person's work is different.,407.0,"421,0,1,,"
408,408,It's hard to work together,408.0,"422,1,0,,"
409,409,I don't know,409.0,"423,1,0,,"
410,410,I don't know.,410.0,"424,1,0,,"
411,411,I'm trying to divide the roles,411.0,"425,1,0,,"
412,412,We have different things to do.,412.0,"426,1,0,,"
413,413,"""The National Assembly has to work for the National Assembly, the Government has to work for the government, and the courts have to work for the courts",413.0,"427,1,0,,"
414,414,"That way, the country will return.""",414.0,"428,1,0,,"
415,415,I don't know.,415.0,"429,1,0,,"
416,416,in order to solve the problem,416.0,"430,1,0,,"
417,417,to make things easier in the field,417.0,"431,1,0,,"
418,418,"If one person does all the work there, it's hard",418.0,"432,1,0,,"
419,419,Because there are different things going on,419.0,"433,1,0,,"
420,420,Each of us has a different job to do,420.0,"434,1,0,,"
421,421,Each place does its own work.,421.0,"435,1,0,,"
422,422,"Parliament does parliamentary work, the government does government work, and the courts work.",422.0,"436,1,0,,"
423,423,I can't do everything at once,423.0,"437,1,0,,"
424,424,It's because bad people can seduce people and abuse them,424.0,"438,1,0,,"
425,425,This is to ensure that power is not concentrated on one side by sticking to each other.,425.0,"439,1,0,,"
426,426,This is to prevent the separation of powers from being biased to one side.,426.0,"440,1,0,,"
427,427,To solve things more efficiently.,427.0,"441,1,0,,"
428,428,"The reason for the separation of the three powers is that if an agency has all the authority, absurdity can occur, while dividing the authority supervises each other and reduces the probability of absurdity.",428.0,"442,1,0,,"
429,429,It is to separate powers so that an institution does not have excessive power,429.0,"443,1,0,,"
430,430,To prevent the concentration of power,430.0,"444,1,0,,"
431,431,"In order to prevent a state agency from monopolizing power, the three agencies divided power into three separate powers.",431.0,"445,1,0,,"
432,432,This is because power becomes too powerful when it is united.,432.0,"446,1,0,,"
433,433,It's to stop the poison.,433.0,"447,1,0,,"
434,434,To prevent one from monopolizing power,434.0,"448,0,0,,449,0,0,,"
435,435,It is divided to prevent dictatorship of an organization.,435.0,"450,1,0,,"
436,436,To prevent one side from dictatorship,436.0,"451,1,0,,"
437,437,Because it is to prevent dictatorship.,437.0,"452,1,0,,"
438,438,"When united, it is more likely that one group will monopolize power and cause confusion in society, and when that group collapses, the country collapses together and there is a high risk, so it seems that they have divided it up",438.0,"453,0,0,,"
439,439,To prevent the concentration of power in an institution. (Separation of powers),439.0,"454,1,0,,"
440,440,This is to prevent power from being concentrated in one place.,440.0,"455,1,0,,"
441,441,"By separating what one does, one institution cannot act in its favor.",441.0,"456,0,0,,"
442,442,This is to prevent power from being concentrated in one place through the separation of the three powers.,442.0,"457,1,0,,"
443,443,This is to prevent dictatorship of an institution through the separation of three powers and to smooth politics by harmonizing.,443.0,"458,0,0,,"
444,444,So that power doesn't fall into one place,444.0,"459,1,0,,"
445,445,It is to prevent the concentration of power.,445.0,"460,1,0,,"
446,446,It is to prevent three agencies from interfering with each other and exercising their power arbitrarily.,446.0,"461,1,0,,"
447,447,"When the power and role of the state are one, there is a concern of dictatorship, and when the power and role are two, the two institutions can be woven and struck, so that the power can be divided into three directions so that it can be balanced without being biased in one direction.",447.0,"462,0,1,,"
448,448,Keep each other in check,448.0,"463,1,0,,"
449,449,Separation of powers! The power doesn't focus on one side. Hahahaha,449.0,"464,1,0,,"
450,450,"If power is concentrated in one place, it's monopolized",450.0,"465,1,0,,"
451,451,To avoid dictatorship,451.0,"466,1,0,,"
452,452,for effective mutual control of power,452.0,"467,0,1,,"
453,453,It is to check and balance each other balance.,453.0,"468,1,0,,"
454,454,I don't know,454.0,"469,1,0,,"
455,455,I don't know,455.0,"470,1,0,,"
456,456,To maintain proper power through separation of powers,456.0,"471,0,0,,"
457,457,Don't be a dictator,457.0,"472,1,0,,"
458,458,We make up for each other in the period of reverence,458.0,"473,0,0,,"
459,459,I don't understand.,459.0,"474,1,0,,"
460,460,This is to prevent the concentration of power by separating the three powers.,460.0,"475,1,0,,"
461,461,To keep each other in check,461.0,"476,1,0,,"
462,462,?,462.0,"477,1,0,,"
463,463,"This is to disperse the three powers of legislation, justice, and administration so that the power of an institution is not biased.",463.0,"478,1,0,,479,1,0,,"
464,464,?,464.0,"480,1,0,,"
465,465,"If the force is skewed to one side, problems arise, so separate them",465.0,"481,0,1,,"
466,466,the prevention of power,466.0,"482,0,1,,"
467,467,Because power can be driven by a group,467.0,"483,0,0,,"
468,468,"If you do it in one place, you might not be able to do the exact process",468.0,"484,1,0,,"
469,469,"In order to separate the three volumes and provide stability in the operation of the state,",469.0,"485,1,0,,"
470,470,To prevent the dictatorship of an institution,470.0,"486,1,0,,"
471,471,It is to prevent power from being concentrated in one place.,471.0,"487,1,0,,"
472,472,This is to prevent power from being focused on one side.,472.0,"488,0,0,,"
473,473,This is because what they do is similar but specifically different.,473.0,"489,1,0,,"
474,474,"The power of an agency should not be increased, so the power should be distributed fairly by establishing a customs office",474.0,"490,1,0,,"
475,475,in order to prevent dictatorship,475.0,"491,1,0,,"
476,476,This is because an institution should not monopolize power.,476.0,"492,0,0,,"
477,477,I don't know...,477.0,"493,1,0,,"
478,478,To prevent power from being swept away in one place,478.0,"494,1,0,,"
479,479,Nate,479.0,"495,1,0,,"
480,480,prevent abuse of power,480.0,"496,1,0,,"
481,481,"If you lean to one side, it collapses, so to prevent abuse of power,",481.0,"497,0,0,,"
482,482,To divide power and prevent dictatorship,482.0,"498,1,0,,"
483,483,In order to supplement each other and interact with each other in order to have effective politics in three organizations,483.0,"499,1,0,,"
484,484,To prevent power from being skewed to one side,484.0,"500,0,1,,"
485,485,"When the power of the state is concentrated in one place, it becomes a dictatorship and divides it into three",485.0,"501,0,1,,"
486,486,It is to prevent dictatorship by uniting power.,486.0,"502,1,0,,"
487,487,in order to divide the work,487.0,"503,0,0,,"
488,488,Role sharing,488.0,"504,0,1,,"
489,489,To make a better country to live in,489.0,"505,0,1,,"
490,490,To prevent a group from occupying power.,490.0,"506,0,1,,"
491,491,It is to prevent the monopoly of power.,491.0,"507,0,1,,"
492,492,To prevent a group from monopolizing power,492.0,"508,0,1,,509,0,1,,"
493,493,This is because power must be distributed to prevent excessive growth of one force and achieve a balance.,493.0,"510,0,1,,"
494,494,"To divide the law justly and on averageIf power is concentrated in one place, abuse of power or dictatorship can occur there. However, when power is separated, a stay of monitoring each other is established, reducing the probability of abuse of power and dictatorship.",494.0,"511,0,1,,"
495,495,It is to prevent the power of the state from being concentrated in one place.,495.0,"512,0,1,,"
496,496,"This is because if the power of the state is biased to one side, the country does not work smoothly.",496.0,"513,0,0,,"
497,497,Don't know,497.0,"514,0,0,,"
498,498,It was divided so that power would not be biased to any one of the government courts of the National Assembly.,498.0,"515,0,0,,"
499,499,It's to prevent corruption,499.0,"516,0,1,,"
500,500,"Because if an administration has full authority, there is a risk of abuse of power",500.0,"517,1,0,,"
501,501,"Separation of the three powers. National power and power were divided into the National Assembly, the government, and the court to create a society that checks and is clean because if the power of the state is biased to one side, inappropriate things can happen depending on the power of the power.",501.0,"518,1,0,,"
502,502,It's because there are many opinions,502.0,"519,0,1,,"
503,503,"To prevent dictatorship and corruption, to prevent power from being used carelessly, to protect the freedom and rights of the people.",503.0,"520,0,1,,"
504,504,"If one side is biased, the country can be shaken because if the power or role of the state is concentrated on one side, it will lead to unreasonable abuse of power or negative roles.",504.0,"521,0,0,,"
505,505,It's hard to do it all in one place,505.0,"522,0,0,,"
506,506,It's hard to handle because there's a lot of work when we're together,506.0,"523,1,0,,"
507,507,"This is because if one place does it, the agency can control the country.",507.0,"524,1,0,,"
508,508,"They follow each other, but if you stick it on, there's a fight",508.0,"525,1,0,,"
509,509,The work we do is different,509.0,"526,1,0,,"
510,510,It's good to divide the work,510.0,"527,0,0,,"
511,511,It's because each person has a different job to do.,511.0,"528,0,1,,"
512,512,We're doing different things,512.0,"529,1,0,,"
513,513,It's because each person has a different job to do.,513.0,"530,0,0,,"
514,514,Because what we do is different,514.0,"531,0,1,,"
515,515,It's hard if all the organizations do it,515.0,"532,1,0,,"
516,516,in a different way,516.0,"533,0,0,,"
517,517,I'm going to split it up,517.0,"534,1,0,,"
518,518,make it easier for the nation to gain strength,518.0,"535,1,0,,"
519,519,Because it's the order.,519.0,"536,0,0,,"
520,520,I don't know.,520.0,"537,1,0,,"
521,521,I can't do it all at once,521.0,"538,1,0,,539,1,0,,"
522,522,in order to prevent dictatorship,522.0,"540,1,0,,"
523,523,To prevent the monopoly of power in an organization,523.0,"541,1,0,,"
524,524,We're doing different things are different things,524.0,"542,0,1,,"
525,525,It's because it's faster to do it,525.0,"543,1,0,,"
526,526,Because people's opinions vary.,526.0,"544,1,0,,"
527,527,"In their own words, they need an ideal justification.",527.0,"545,1,0,,"
528,528,"If power is concentrated on one side, we can abuse power or power, so we carried out the separation of the three powers",528.0,"546,1,0,,"
529,529,"""",529.0,"547,0,1,,"
530,530,To stop dictatorship,530.0,"548,0,1,,"
531,531,I'm trying to strike a balance and be good at politics,531.0,"549,0,0,,"
532,532,To prevent power from being driven into one place,532.0,"550,1,0,,"
533,533,"This is because if they are concentrated in one place, ordinary citizens can have a hard time because they make laws and make trials in their favor.",533.0,"551,1,0,,"
534,534,It's too hard for one organization to do everything,534.0,"552,0,0,,"
535,535,"If power is concentrated in one organization, there could be dictatorship",535.0,"553,0,1,,"
536,536,There are a lot of people,536.0,"554,0,1,,"
537,537,It's hard for an institution to do everything,537.0,"555,0,1,,"
538,538,Because the three powers affect each other,538.0,"556,0,1,,"
539,539,Why?,539.0,"557,0,1,,"
540,540,I'm trying to keep power out of one place,540.0,"558,0,1,,"
541,541,To keep each other in check and prevent power from being driven to either side,541.0,"559,0,1,,"
542,542,It's because people's human rights can be violated if they're concentrated in one place,542.0,"560,0,1,,"
543,543,So that power is skewed to one side and not dictatorship,543.0,"561,0,0,,"
544,544,""" because it is driven only one side, as a matter of will or dictatorship.",544.0,"562,1,0,,"
545,545,"""",545.0,"563,0,1,,"
546,546,To err is to one side to prevent.,546.0,"564,0,1,,"
547,547,"Shared mutual checks and by three separate agencies, in this balance by to protect people's rights.",547.0,"565,0,0,,"
548,548,A slice of power by chwi u in order to prevent sagging.,548.0,"566,0,1,,"
549,549,So complicated that if we try in one.,549.0,"567,0,1,,"
550,550,I can in one place to use the power when she is in charge of all the work.,550.0,"568,0,1,,569,0,0,,"
551,551,Hold each other in check and correct to politics.,551.0,"570,0,1,,"
552,552,"Power of the state the action of this separate, divided into three legislative, administrative and judicial institutions to share the mutual checks and balanced governing systems to prevent the abuse and focus on principles of state power by it.",552.0,"571,0,0,,"
553,553,May be to each other in check.,553.0,"572,1,0,,"
554,554,Be fixed role to share can solve things smooth.,554.0,"573,0,0,,"
555,555,Have different thoughts. There is something different.,555.0,"574,0,1,,"
556,556,Unknowingness,556.0,"575,0,0,,"
557,557,In order to prevent dictatorship is president.,557.0,"576,0,0,,"
558,558,I'm going to decentralize power.,558.0,"577,0,1,,"
559,559,I don't know,559.0,"578,0,0,,"
560,560,In their own doing.,560.0,"579,0,1,,"
561,561,I think I work separately because it's hard to handle everything in one place.,561.0,"580,0,1,,"
562,562,"This is because if you divide it into one, it will be difficult because only one place will handle the work at once.",562.0,"581,0,1,,"
563,563,Because what you do is different.,563.0,"582,0,0,,"
564,564,There are so many things to do in one place and things are different,564.0,"583,1,0,,"
565,565,It's hard for one person to work alone...,565.0,"584,0,1,,"
566,566,"It is much more convenient to divide it into parliaments, governments, and courts because playing the power and role of the state in only one place can cause many problems",566.0,"585,0,0,,"
567,567,Everyone does different things,567.0,"586,0,1,,"
568,568,I don't know,568.0,"587,0,0,,"
569,569,To prevent the force from leaning on either side and doing whatever it takes,569.0,"588,1,0,,"
570,570,Because I can't do everything by myself.,570.0,"589,0,1,,"
571,571,Because one side can't do that much,571.0,"590,0,0,,"
572,572,I don't know,572.0,"591,0,1,,"
573,573,HITOMI's work is different,573.0,"592,1,0,,"
574,574,We're going to do a lot of different things,574.0,"593,1,0,,"
575,575,This is because it is more likely to make mistakes because it becomes complicated if you do it in one place.,575.0,"594,0,1,,"
576,576,I don't know.,576.0,"595,0,1,,"
577,577,It's because it's hard to do all the work in one place.,577.0,"596,1,0,,"
578,578,I don't know.,578.0,"597,1,0,,"
579,579,This is because one can play immoral politics.,579.0,"598,1,0,,599,0,1,,"
580,580,"Because if you do everything in one place, you're not good at it's bad",580.0,"600,0,1,,"
581,581,"This is because there are many things to do in the country, so if you divide it into several parts, you can finish what you have to do faster and easier.",581.0,"601,1,0,,"
582,582,It's a lot of things.,582.0,"602,0,1,,"
583,583,I don't know,583.0,"603,0,0,,"
584,584,Everyone does different things,584.0,"604,1,0,,"
585,585,I don't know.,585.0,"605,0,0,,"
586,586,I wanted to be more precise,586.0,"606,0,1,,"
587,587,"Every place has the same purpose, but everything they do is different",587.0,"607,0,0,,"
588,588,Each of us has a different job,588.0,"608,1,0,,"
589,589,Because it's unfair.,589.0,"609,0,0,,"
590,590,This is because dictatorship could occur if the three powers are not separated.,590.0,"610,0,0,,"
591,591,To make it easy,591.0,"611,0,1,,"
592,592,"To be more stable in politics,",592.0,"612,1,0,,"
593,593,It is to solve complicated tasks easily.for one's country,593.0,"613,0,0,,"
594,594,Make up for each other's shortcomings and keep power from being skewed to one side,594.0,"614,1,0,,"
595,595,Because it takes a lot of power to deal with the power of the state.,595.0,"615,1,0,,"
596,596,??,596.0,"616,0,1,,"
597,597,It's a lot of work for the three of us to do.,597.0,"617,1,0,,"
598,598,"Because when you're in one place, you can do everything you want",598.0,"618,0,1,,"
599,599,seize control of the army,599.0,"619,0,1,,"
600,600,Because it's hard to do it alone.,600.0,"620,1,0,,"
601,601,"Since each of us has a different job,",601.0,"621,0,1,,"
602,602,To keep power from gathering,602.0,"622,1,0,,"
603,603,"This is because if you don't do that, a person can wield power wildly.",603.0,"623,0,1,,"
604,604,put one's strength in one place,604.0,"624,1,0,,"
605,605,This is because it is too dangerous for a force to deal with everything.,605.0,"625,0,1,,"
606,606,I'm good at different fields,606.0,"626,0,1,,"
607,607,"This is because if one person has too much power, one can wield power.",607.0,"627,0,1,,"
608,608,"This is because each role has different things to do, and each part has to be disciplined.",608.0,"628,0,1,,629,1,0,,"
609,609,"If you don't do that, you'll be like a country ruled by a pig in a distant country, a neighboring country",609.0,"630,1,0,,"
610,610,You need to distribute the power in order for it to balance,610.0,"631,1,0,,"
611,611,"Because if you do it all at once, it doesn't work out completely",611.0,"632,1,0,,"
612,612,It's because it's hard and less accurate if you do it alone.,612.0,"633,1,0,,"
613,613,"Otherwise, it will be like a country ruled by a pig in a distant country or a neighboring country.",613.0,"634,1,0,,"
614,614,Not to put the power in one place.,614.0,"635,1,0,,"
615,615,To help each other and get help,615.0,"636,0,1,,"
616,616,"Because if a person has too much power, he or she may lose power because he or she is out of power",616.0,"637,0,1,,"
617,617,It's hard to do it alone.,617.0,"638,1,1,,"
618,618,It's because you can't force yourself into one place,618.0,"639,1,0,,"
619,619,"It seems the same to people, but there are the National Assembly, the government, and the court, so our legal system is well established.",619.0,"640,1,0,,"
620,620,It's because it's hard to do it alone and you have to cooperate with each other when you maintain balance,620.0,"641,1,0,,"
621,621,"Using only one force is not fair, but using multiple forces is fair and much better.",621.0,"642,1,0,,"
622,622,To divide roles and work faster,622.0,"643,1,0,,"
623,623,This is because power is tilted if power and role are not divided.,623.0,"644,1,0,,"
624,624,To divide roles and work faster and look closely.,624.0,"645,0,1,,"
625,625,They all have different roles,625.0,"646,1,0,,"
626,626,"If you give all your rights to one organization, you can abuse them",626.0,"647,1,0,,"
627,627,I'm trying to take care of my body,627.0,"648,1,0,,"
628,628,It is to keep each other in check so that they do not cause dictatorship.,628.0,"649,1,0,,"
629,629,It's convenient to do it separately,629.0,"650,1,0,,"
630,630,"Power is not united in one place, so power abuse is not possible.",630.0,"651,0,1,,"
631,631,split the work,631.0,"652,0,1,,"
632,632,We all have different things to do,632.0,"653,0,1,,"
633,633,We all do different things,633.0,"654,1,0,,"
634,634,"Since we're in charge of different jobs, we're trying to get things done without any complications",634.0,"655,0,1,,"
635,635,To achieve balance by dividing the force because the force must not be biased on either side.,635.0,"656,1,0,,"
636,636,"It's a system of separation of powers, to prevent power from gathering in one place",636.0,"657,1,0,,"
637,637,This is because dictatorship can occur when the power of the state is skewed to one area.,637.0,"658,1,0,,659,1,0,,"
638,638,"To separate the three powers,",638.0,"660,0,1,,"
639,639,in order to prevent dictatorship,639.0,"661,1,0,,"
640,640,Not to concentrate power,640.0,"662,1,0,,"
641,641,It is to prevent power from being concentrated in one place.,641.0,"663,1,0,,"
642,642,It's hard to do everything,642.0,"664,1,0,,"
643,643,"If you combine them, it's complicated and you can't tell what's what, so it's divided into parliamentary government courts",643.0,"665,1,0,,"
644,644,To prevent dictatorship by separating the three powers and to do things more efficiently,644.0,"666,1,0,,"
645,645,To prevent the power from being skewed to either side,645.0,"667,0,0,,"
646,646,"If power is concentrated in one place, there is a risk of dictatorship",646.0,"668,1,0,,"
647,647,in order to prevent dictatorship,647.0,"669,1,0,,"
648,648,"In order to divide power into three powers and keep each other in check,",648.0,"670,1,0,,"
649,649,Not to concentrate power in one place,649.0,"671,0,0,,"
650,650,It is to prevent dictatorship.,650.0,"672,0,1,,"
651,651,Because what we do is different,651.0,"673,1,0,,"
652,652,"In order to prevent the separation of powers from being concentrated in one place, the national power and role were divided into the National Assembly, the government, and the court",652.0,"674,0,0,,"
653,653,The balance of power,653.0,"675,0,0,,"
654,654,It is to ensure that power is not biased toward one institution.,654.0,"676,0,0,,"
655,655,"It's because if you concentrate on one thing, you can dictatorship",655.0,"677,1,0,,"
656,656,To prevent a dictatorship on one side,656.0,"678,0,0,,"
657,657,So that things can go smoothly,657.0,"679,1,0,,"
658,658,It's because it's hard to integrate and operate as one,658.0,"680,1,0,,"
659,659,"To divide the work, to divide the level.",659.0,"681,1,0,,"
660,660,To keep power from being skewed to one side,660.0,"682,1,0,,"
661,661,I'm not going to do it alone. I'm going to do it together,661.0,"683,0,0,,"
662,662,Distribute power to prevent abuse of power.,662.0,"684,0,1,,"
663,663,This is to separate power from focusing on one individual or specific group by separating power into three powers.,663.0,"685,1,0,,"
664,664,To prevent monopolization of power.,664.0,"686,1,0,,"
665,665,To prevent dictatorship.,665.0,"687,0,1,,"
666,666,"Since the state cannot be prevented by one force, each role was determined by dividing it into the National Assembly, the government, and the court.",666.0,"688,1,0,,689,0,0,,"
667,667,To prevent the concentration of power,667.0,"690,1,0,,"
668,668,Not to focus on one individual or a particular group,668.0,"691,0,0,,"
669,669,separation of powers,669.0,"692,0,1,,"
670,670,Because it's right that the power is skewed to one side,670.0,"693,0,0,,"
671,671,It is intended to secure individual freedom by dispersing and weakening state power on the premise of distrust of the state power and the person exercising it.,671.0,"694,0,1,,"
672,672,To prevent power from being skewed into one place,672.0,"695,0,0,,"
673,673,d,673.0,"696,0,1,,"
674,674,"Because if you decide only in one place, the people involved in that place get much better treatment.",674.0,"697,0,0,,"
675,675,So that power is not concentrated in one place.,675.0,"698,0,1,,"
676,676,We're going to split up what we're good at,676.0,"699,0,1,,"
677,677,It's crazy,677.0,"700,1,0,,"
678,678,I can't do many things in one place,678.0,"701,0,0,,"
679,679,In order not to strain either side.,679.0,"702,0,1,,"
680,680,.................,680.0,"703,0,1,,"
681,681,"If you do it in one place, it doesn't look good",681.0,"704,0,1,,"
682,682,Yeah.,682.0,"705,0,1,,"
683,683,"This is because if you hold your power in one place, you can control other institutions there.",683.0,"706,0,0,,"
684,684,I don't understand.,684.0,"707,0,0,,"
685,685,"In order for various agencies to control the state well, not just to one side, but to control the state well",685.0,"708,0,1,,"
686,686,It is to prevent the concentration of power in one institution and to protect the rights of the people.,686.0,"709,0,0,,"
687,687,"Separation of powers, so that power or power is not concentrated in one place",687.0,"710,0,1,,"
688,688,One organ can't have all the power,688.0,"711,0,1,,"
689,689,in order to be fair,689.0,"712,0,1,,"
690,690,What to do. Name,690.0,"713,0,1,,"
691,691,It's to keep an eye on each other.,691.0,"714,0,1,,"
692,692,To prevent dictatorshipIt's hard to do it alone.I divided it up.,692.0,"715,0,1,,"
693,693,This is to separate the three powers so that power does not become a single place.,693.0,"716,1,0,,"
694,694,I'm not sure.,694.0,"717,0,0,,"
695,695,"It's because if one of the three places has a lot of strength, they fight.",695.0,"718,0,1,,719,1,0,,"
696,696,ㅇ,696.0,"720,1,0,,"
697,697,It's hard for a group to do many things at once.,697.0,"721,1,0,,"
698,698,I don't know that either,698.0,"722,1,0,,"
699,699,It's because each of them has a different job,699.0,"723,1,0,,"
700,700,I'm going to take care of it,700.0,"724,1,0,,"
701,701,It's hard for the nation to do it alone,701.0,"725,1,0,,"
702,702,L.,702.0,"726,1,0,,"
703,703,It's hard for one person to take care of it's hard,703.0,"727,1,0,,"
704,704,It's hard to do it in one place,704.0,"728,1,0,,"
705,705,"It's hard to do it in one place, so we divide the roles into several divisions.",705.0,"729,1,0,,"
706,706,Hah!,706.0,"730,1,0,,"
707,707,We all do different things,707.0,"731,1,0,,"
708,708,"""It's better to divide it into three roles than to build up the power of a nation all at once",708.0,"732,1,0,,"
709,709,"Because it helps.""",709.0,"733,0,1,,"
710,710,It's so complicated,710.0,"734,1,0,,"
711,711,I need a lot of things,711.0,"735,0,1,,"
712,712,To be fair,712.0,"736,0,1,,"
713,713,d,713.0,"737,0,0,,"
714,714,Because each job is different and important,714.0,"738,0,1,,"
715,715,To govern the country well?,715.0,"739,0,1,,"
716,716,Because we play different roles,716.0,"740,0,1,,"
717,717,I think it's because it's hard to handle everything in one place.,717.0,"741,0,1,,"
718,718,We're divided on what we do,718.0,"742,0,1,,"
719,719,It's because what Congressional Government Courts do is different,719.0,"743,0,1,,"
720,720,We all have different roles,720.0,"744,0,1,,"
721,721,They have different roles,721.0,"745,1,0,,"
722,722,"If the polar powers are not divided into three, power will be driven to one side and power will be abused. However, if the nation's power and role are divided into parliaments, governments, and courts, power will not flock to each other through checks. For the above reasons, the separation of powers has been achieved.",722.0,"746,1,0,,"
723,723,There are people who are passionate about the National Assembly and people who are passionate about the government,723.0,"747,1,0,,"
724,724,To set each other's roles so that there is no confusion,724.0,"748,1,0,,749,1,0,,"
725,725,Separating the power of the state balances the power of the state because it checks each other from monopolizing and abusing power by an agency,725.0,"750,0,1,,"
726,726,"If the power and role of a nation are concentrated in one organization, the power of that organization becomes so strong that it can monopolize power that it risks causing the nation to fall into chaos.",726.0,"751,0,0,,"
727,727,"They can check each other and catch each other's mistakes, and they can prevent dictatorship because their power is not focused on one side. And I can do things more efficiently by working separately.",727.0,"752,0,0,,"
728,728,"If power is concentrated in one place, dictatorship is likely to occur, so the three powers are separated.",728.0,"753,0,1,,"
729,729,"Because if you have one power, you can use it at your disposal for one power",729.0,"754,0,0,,"
730,730,"""",730.0,"755,0,1,,"
731,731,"If legislative, executive, and judicial powers are concentrated in any one national institution, the work of the state can be done through undemocratic procedures by that national institution. Therefore, in order to prevent this, the National Assembly, the government, and the court were required to balance each other, sometimes check each other, and disperse state power.""",731.0,"756,0,0,,"
732,732,"The legislative, administrative, and judicial functions of the National Assembly, the government, and the court play a major role in operating the state and ensuring the free, equal and safe life of the people. However, if power is concentrated in a government agency, the agency can abuse state power and violate the human rights of the people. In addition, if there is no other agency to check such abuse of power, the phenomenon can continue for a long time, so the power and role of the state can be divided into three major groups to keep each other in check.",732.0,"757,0,0,,"
