,Unnamed: 0,"4. Oxygen, which accounts for about 21% of the air, is colorless, invisible and odorless. But when oxygen is gone, there will be various phenomena on Earth. What happens when oxygen is gone? Let's explain in detail using knowledge of oxygen properties and use. ",Unnamed: 0,q4_combustion,q4_green,q4_life,q4_global environment,q4_combustion1.,q4_green.1,q4_life.1,q4_Earth Environment.1
391,391,"If oxygen is lost, water in all the oceans, rivers, and lakes on Earth will become hydrogen and evaporate, and the structure of oxygen-containing substances will collapse. As oxygen in the atmosphere disappears, ultraviolet rays from the sun directly reach the ground. And all living things on Earth, including humans, cannot breathe, and will die out due to the effects of ultraviolet rays.",391,,,,,,,,
392,392,"Animals will die because they cannot breathe, and plants will die because they cannot breathe through oxygen.",392,,,,,,,,
393,393,Life's breathing will become impossible and all life on Earth will die out.,393,,,,,,,,
394,394,"Oxygen has a significant impact on the ecosystem because it has an important effect on the breathing of various creatures, including humans.",394,,,,,,,,
395,395,"All the water from the sea, lakes, and rivers disappears, and all humans are burned to death. This is because when O disappears from H2O, only hydrogen molecules remain. Hydrogen molecules are strongly acidic. And the crust disappears. This is because oxygen is the second place among the elements that make up the crust. And as a result, I can't breathe.",395,,,,,,,,
396,396,"Oxygen is an essential element for humans and is used as a fuel for human cellular respiration. Oxygen is essential to the human body so that people can work in this way. Oxygen is also needed to make glucose as a necessary element for photosynthesis in plants. After all, oxygen is needed to stabilize the ecosystem.",396,,,,,,,,
397,397,"When oxygen disappears, life becomes almost uninhabitable. At the same time, the water combined with oxygen is decomposed, so the sea disappears, and the weather phenomenon disappears. In addition, many rocks may disappear as silicate minerals, one of the main minerals of rocks, are also separated into silicon.",397,,,,,,,,
398,398,"Oxygen is a necessary factor for living things to breathe now. However, if the oxygen disappears, all living creatures that breathe will disappear from the Earth, and the current weather phenomenon will not occur.",398,,,,,,,,
399,399,"All living creatures that used to breathe using oxygen will die out, and iron will not rust due to no oxidation.",399,,,,,,,,
400,400,"All life on Earth uses an organ called mitochondria to produce energy to live. This mitochondria uses oxygen to break down nutrients, so oxygen is essential for life to survive. Without oxygen, life would not be able to live on Earth. Overall, there is no oxidation in the absence of oxygen.",400,,,,,,,,
401,401,"When oxygen is gone, most organisms on Earth breathe with oxygen, so many will be unique. It will also not be able to produce fire because it requires oxygen in the combustion process.",401,,,,,,,,
402,402,All living things will die on Earth,402,,,,,,,,
403,403,"When oxygen is gone, people cannot live",403,,,,,,,,
404,404,"If oxygen is gone, no one can live",404,,,,,,,,
405,405,"""The wall that allowed me to breathe oxygen...",405,,,,,,,,
406,406,"When oxygen is gone, you can't breathe and die.""",406,,,,,,,,
407,407,"We can't breathe, and all the animals and everything will be gone",407,,,,,,,,
408,408,"""If oxygen disappears, of course, humans cannot survive, and if oxygen disappears,",408,,,,,,,,
409,409,"Even plant animals can't live.""",409,,,,,,,,
410,410,People won't be able to breathe,410,,,,,,,,
411,411,be hard to live without breathing,411,,,,,,,,
412,412,Oxygen is the air that allows us to breathe.,412,,,,,,,,
413,413,All human animals die,413,,,,,,,,
414,414,"When oxygen disappears, most of all, you can't breathe",414,,,,,,,,
415,415,It becomes an environment where people cannot live and animals and plants cannot live.,415,,,,,,,,
416,416,"Once oxygen is gone, humans will die, and all animals that breathe like humans will be gone.",416,,,,,,,,
417,417,"When oxygen is gone, people become extinct",417,,,,,,,,
418,418,"When oxygen disappears, all plants and animals on Earth will die.",418,,,,,,,,
419,419,"If oxygen is lost, almost all animals and plants die.",419,,,,,,,,
420,420,Human beings are extinct,420,,,,,,,,
421,421,"If oxygen is gone, animals and plants will die",421,,,,,,,,
422,422,They can't breathe and the creatures die,422,,,,,,,,
423,423,"Without oxygen, people die",423,,,,,,,,
424,424,How can I solve it if I don't know it?,424,,,,,,,,
425,425,"If oxygen is lost, people and animal life will die once oxygen is lost.",425,,,,,,,,
426,426,"People can't live, animals and plants can't live",426,,,,,,,,
427,427,"If oxygen is gone, humans will die out, and animals will die out",427,,,,,,,,
428,428,Everyone dies,428,,,,,,,,
429,429,Barometric pressure is so low that all biological destruction,429,,,,,,,,
430,430,"We can't breathe, so everyone will eventually die.",430,,,,,,,,
431,431,"When oxygen is gone, all animals and plants will be unable to breathe and fire.",431,,,,,,,,
432,432,People can't breathe without oxygen,432,,,,,,,,
433,433,People die,433,,,,,,,,
434,434,"There is never a fire on Earth, man cannot breathe",434,,,,,,,,
435,435,It's hard to breathe without oxygen.,435,,,,,,,,
436,436,It becomes a world where creatures die and cannot live,436,,,,,,,,
437,437,I don't know,437,,,,,,,,
438,438,"If oxygen is gone, everyone will die",438,,,,,,,,
439,439,You can die because you can't breathe,439,,,,,,,,
440,440,Oxygen,440,,,,,,,,
441,441,"Without oxygen, people die and are uncomfortable to live",441,,,,,,,,
442,442,People don't have air. People die,442,,,,,,,,
443,443,"""Without oxygen, we can't breathe In short, without oxygen, the Earth would perish.",443,,,,,,,,
444,444,"""",444,,,,,,,,
445,445,be beyond life,445,,,,,,,,
446,446,Unknowingness,446,,,,,,,,
447,447,a person's death from being unable to breathe,447,,,,,,,,
448,448,"When oxygen is gone, people wear gas masks and have to pay for air",448,,,,,,,,
449,449,"Without oxygen, you can't breathe, so you die and your eardrum bursts into porridge. I'm going to die anyway.",449,,,,,,,,
450,450,"People die, the natural environment changes and gets worse",450,,,,,,,,
451,451,People will die and the ecosystem will be destroyed.,451,,,,,,,,
452,452,People die.,452,,,,,,,,
453,453,"""Without oxygen, humans, animals, and plants cannot live There are no humans, so the buildings",453,,,,,,,,
454,454,"Guitar lights will become old and dusty, and eventually only plastic will remain on Earth.""",454,,,,,,,,
455,455,"Oxygen is needed to make people, animals, and life impossible to live, and life becomes empty.",455,,,,,,,,
456,456,"Without oxygen, living things cannot live",456,,,,,,,,
457,457,"Without oxygen, people, animals, plants, etc. cannot live.",457,,,,,,,,
458,458,"Oxygen, carbon dioxide, etc",458,,,,,,,,
459,459,"People disappear, plants and animals disappear",459,,,,,,,,
460,460,My knowledge is not up to there,460,,,,,,,,
461,461,Everyone is dead,461,,,,,,,,
462,462,.,462,,,,,,,,
463,463,There is no reason for humans to worry about corrosion of iron.,463,,,,,,,,
464,464,"(cells) It becomes impossible to breathe, which makes it difficult for people to live",464,,,,,,,,
465,465,"The crust is made up of oxygen and silicon If oxygen disappears, much of the crust will disappear, and the entire atmosphere will be lowered, causing animals to burst",465,,,,,,,,
466,466,The environment in which life is difficult to live is created,466,,,,,,,,
467,467,"People will die first No ATP, no photosynthesis, no photosynthesis",467,,,,,,,,
468,468,"When oxygen disappears, oxygen, the main component of the ozone layer, disappears, so the sun's ultraviolet rays will immediately reach the Earth's surface and cause a lot of damage to humans.",468,,,,,,,,
469,469,We can't breathe,469,,,,,,,,
470,470,None.,470,,,,,,,,
471,471,a person's death,471,,,,,,,,
472,472,"Without nitrogen and air on Earth, all of us can't breathe and die of suffocation.",472,,,,,,,,
473,473,Oxygen lets you breathe.,473,,,,,,,,
474,474,A building made of cement collapses without people living there.,474,,,,,,,,
475,475,All plants will die and people will die,475,,,,,,,,
476,476,"""- People can't breathe.",476,,,,,,,,
477,477,#NAME?,477,,,,,,,,
478,478,#NAME?,478,,,,,,,,
479,479,"""",479,,,,,,,,
480,480,"All living things will die, parts of germs will die, and the Earth will be destroyed",480,,,,,,,,
481,481,"When oxygen is gone, people die.",481,,,,,,,,
482,482,I can't breathe.,482,,,,,,,,
483,483,"People need oxygen when they breathe, but if they don't, they die because they can't breathe.",483,,,,,,,,
484,484,People will die because they can't breathe.,484,,,,,,,,
485,485,"Animals, people, and plants can die.",485,,,,,,,,
486,486,"Because oxygen is an ozone layer, the ozone layer will be broken and the sun's light will come in and increase the UV index",486,,,,,,,,
487,487,People die,487,,,,,,,,
488,488,"Oxygen has the property of igniting fire, so we cannot ignite it. It also allows living things to play the most important role (breathing photosynthesis, etc.) in their lives, making them unable to survive on Earth.",488,,,,,,,,
489,489,Earth's creatures may die from difficulty breathing,489,,,,,,,,
490,490,Most of the creatures on Earth will not live.,490,,,,,,,,
491,491,"Even oxygenated animals such as humans, fish, birds, and carnivores will die.",491,,,,,,,,
492,492,I don't know.,492,,,,,,,,
493,493,I don't know.,493,,,,,,,,
494,494,All the creatures die,494,,,,,,,,
495,495,All living things that breathe using oxygen become uninhabitable and fire cannot be used,495,,,,,,,,
496,496,.,496,,,,,,,,
497,497,You're all going to die.,497,,,,,,,,
498,498,All the animals and plants on Earth will die because they cannot breathe.,498,,,,,,,,
499,499,Trees die and all living things die,499,,,,,,,,
500,500,I can't breathe and die,500,,,,,,,,
501,501,"Oxygen is an important thing that allows us to breathe and live, so if it's gone, we'll all die.",501,,,,,,,,
502,502,Animals and plants die out because they can't breathe without a fire,502,,,,,,,,
503,503,Oxygen is an indispensable air for us. You can't live without it.,503,,,,,,,,
504,504,"If oxygen is gone, living things will not survive",504,,,,,,,,
505,505,You can't see the sky blue. Neither plants nor animals can live.,505,,,,,,,,
506,506,"When oxygen is lost, people, living things, or plants die.",506,,,,,,,,
507,507,All living things die because they can't breathe.,507,,,,,,,,
508,508,"When oxygen is gone, all living things will be gone and no fire will be lit",508,,,,,,,,
509,509,"Without oxygen, living things cannot create cell and living energy, and then humans cannot live and do not catch fire.",509,,,,,,,,
510,510,"When oxygen is gone, people cannot breathe and the combustion process is impossible, so there is no fire",510,,,,,,,,
511,511,"When oxygen is gone, you can't breathe.",511,,,,,,,,
512,512,I can't breathe when oxygen is gone,512,,,,,,,,
513,513,"If oxygen is gone, the earth will perish. This is because animals or living things cannot live without oxygen when they breathe with oxygen, so they cannot live without oxygen.",513,,,,,,,,
514,514,I don't know.,514,,,,,,,,
515,515,"All mankind and plants and animals will disappear, and the earth will be devastated over time.",515,,,,,,,,
516,516,"Plants and animals will disappear, use machines that supply oxygen that people use in space, and will not catch fire.",516,,,,,,,,
517,517,M and D,517,,,,,,,,
518,518,None.,518,,,,,,,,
519,519,I'm going to die,519,,,,,,,,
520,520,I don't know.,520,,,,,,,,
521,521,I can't breathe.,521,,,,,,,,
522,522,"Without oxygen, I can't breathe. I die",522,,,,,,,,
523,523,Die.,523,,,,,,,,
524,524,"When oxygen is gone, it dies.",524,,,,,,,,
525,525,All living things die,525,,,,,,,,
526,526,Life can't breathe.,526,,,,,,,,
527,527,"Oxygen helps animals breathe, so all animals die.",527,,,,,,,,
528,528,Die.,528,,,,,,,,
529,529,"When oxygen disappears, the earth dies.",529,,,,,,,,
530,530,"People can't breathe. Animals and plants can't breathe, they can't live",530,,,,,,,,
531,531,I'm not sure,531,,,,,,,,
532,532,"""When oxygen is gone, people exposed to sunlight get burned.",532,,,,,,,,
533,533,"All untreated metals adhere to each other.""",533,,,,,,,,
534,534,Everyone dies.,534,,,,,,,,
535,535,Yeah,535,,,,,,,,
536,536,All humans die within three minutes of burning directly from the sun.,536,,,,,,,,
537,537,The insect grows bigger.,537,,,,,,,,
538,538,You can't make energy. Animals and plants die,538,,,,,,,,
539,539,"When oxygen is gone, all living things will die, plants will dry up, and a lot of water in the ocean will also evaporate",539,,,,,,,,
540,540,"Life becomes unable to breathe, and iron does not corrode. In addition, a combustion reaction cannot occur and the fruit does not brown.",540,,,,,,,,
541,541,"Because oxygen blocks harmful ultraviolet rays, living things will suffer serious burns.",541,,,,,,,,
542,542,"An animal needs oxygen to breathe. Therefore, if oxygen is lost, animals will not be able to live.",542,,,,,,,,
543,543,"When oxygen is gone, the animals that breathe using oxygen will be wiped out and the lights won't turn on.",543,,,,,,,,
544,544,I don't know,544,,,,,,,,
545,545,All living things die,545,,,,,,,,
546,546,"When the oxygen is gone. Once there are no trees or plants that produce oxygen, then herbivores that eat those grasses will die, carnivores that eat those herbivores will die, and we humans that eat those carnivores will die. Grains, of course, fail because they cannot grow. It's very well.",546,,,,,,,,
547,547,I can't breathe.,547,,,,,,,,
548,548,a creature can't breathe,548,,,,,,,,
549,549,You can't breathe if you lose oxygen.,549,,,,,,,,
550,550,Oxygen-breathing creatures begin to die,550,,,,,,,,
551,551,I don't know.,551,,,,,,,,
552,552,"Oxygen disappears, but the animals cannot hobble and will all die.",552,,,,,,,,
553,553,"When oxygen is gone, people die because they cannot breathe.",553,,,,,,,,
554,554,"Without oxygen, plants and animals cannot live",554,,,,,,,,
555,555,Animals adapted to oxygen will die,555,,,,,,,,
556,556,Once all living things cannot continue their life activities and the earth is destroyed,556,,,,,,,,
557,557,"When oxygen is gone, humans cannot live",557,,,,,,,,
558,558,be uninhabitable to living things,558,,,,,,,,
559,559,"Without oxygen, people cannot live and all living things become difficult to live.",559,,,,,,,,
560,560,Nam Hyun-soo,560,,,,,,,,
561,561,I don't know,561,,,,,,,,
562,562,The building collapses,562,,,,,,,,
563,563,I like oxygen,563,,,,,,,,
564,564,M and D,564,,,,,,,,
565,565,the d-hope,565,,,,,,,,
566,566,You're all going to die,566,,,,,,,,
567,567,"Humans cannot breathe, animals and other creatures die, and there will be nothing left on Earth.",567,,,,,,,,
568,568,Earth's creatures perish.,568,,,,,,,,
569,569,1,569,,,,,,,,
570,570,"Oxygen is essential to the breathing of living things, so if oxygen is lost, all living things on Earth will be lost.",570,,,,,,,,
571,571,1,571,,,,,,,,
572,572,I'm a liberal arts major,572,,,,,,,,
573,573,West 566??573.0,"584,0,0,1,0,,,,",,,,,,,,
574,574,Unknowingness,574,,,,,,,,
575,575,People die and plants die,575,,,,,,,,
576,576,Life is dying,576,,,,,,,,
577,577,"When oxygen is gone, all life will die.",577,,,,,,,,
578,578,People burn to death,578,,,,,,,,
579,579,Unknowingness,579,,,,,,,,
580,580,Oxygen will all die if it is lost by the use of many lives when breathing.,580,,,,,,,,
581,581,The creatures die,581,,,,,,,,
582,582,"""1. Most life on Earth will die.",582,,,,,,,,
583,583,"2. Water is made up of hydrogen and oxygen, so water will disappear and hydrogen will spread to the atmosphere.",583,,,,,,,,
584,584,"3. The air pressure will be lowered.""",584,,,,,,,,
585,585,Life will die and the heat the Earth absorbs will decrease and become colder.,585,,,,,,,,
586,586,"""Oxygen-induced redox reaction does not occur.",586,,,,,,,,
587,587,Life will gradually disappear from Earth because they cannot breathe.,587,,,,,,,,
588,588,"The type and number of minerals will decrease dramatically.""",588,,,,,,,,
589,589,"Oxygen is a necessary element for living things.So if oxygen disappears, life will disappear one by one, and eventually the Earth will become a planet without life.",589,,,,,,,,
590,590,Unknowingness,590,,,,,,,,
591,591,"People, animals, plants die because they can't breathe",591,,,,,,,,
592,592,"When oxygen is gone, it can become a world where animals and people cannot live",592,,,,,,,,
593,593,The creatures will die and the earth will be destroyed.,593,,,,,,,,
594,594,"When oxygen is lost, cement buildings will be separated and fine dust will increase, and life will be threatened and even animals will die because humans also need oxygen. That way, the Earth will become a nitrogenous mass planet and the plants will die.",594,,,,,,,,
595,595,Unknowingness,595,,,,,,,,
596,596,fine dust,596,,,,,,,,
597,597,"Without oxygen, half of humanity disappears",597,,,,,,,,
598,598,All living things die,598,,,,,,,,
599,599,People die,599,,,,,,,,
600,600,to be able to breathe,600,,,,,,,,
601,601,People can't breathe and people outdoors will suffer severe burns.,601,,,,,,,,
602,602,Die.,602,,,,,,,,
603,603,The creatures die from being unable to breathe,603,,,,,,,,
604,604,I don't know,604,,,,,,,,
605,605,All the plants and animals die and the earth becomes dry,605,,,,,,,,
606,606,"Without oxygen, animals and people cannot breathe",606,,,,,,,,
607,607,No animal or plant people will live.,607,,,,,,,,
608,608,"When oxygen is gone, most of it will be filled with carbon monoxide, and living creatures will die soon and plants and land will dry up.",608,,,,,,,,
609,609,"Oxygen is needed and used in many ways, so if it is lost, nature and humanity could be lost and destroyed.",609,,,,,,,,
610,610,"If oxygen is lost, people will die because they cannot survive, and fish and animals will also die.",610,,,,,,,,
611,611,"When oxygen is gone, plants, animals, and people die",611,,,,,,,,
612,612,I'm turning it off,612,,,,,,,,
613,613,"""I can't breathe and die.""",613,,,,,,,,
614,614,"""",614,,,,,,,,
615,615,"When oxygen is gone, people die",615,,,,,,,,
616,616,I die because I can't breathe,616,,,,,,,,
617,617,We're going to die,617,,,,,,,,
618,618,"Without oxygen, people can't breathe, things can't stay in shape",618,,,,,,,,
619,619,Chemicals made by combining oxygen will disappear,619,,,,,,,,
620,620,My throat hurts because I breathe when oxygen is gone. And my eyes hurt too hehe,620,,,,,,,,
621,621,"Trees will die out, and so will mankind",621,,,,,,,,
622,622,without oxygen knowing,622,,,,,,,,
623,623,People and animals will not be able to live in organisms that breathe using oxygen.,623,,,,,,,,
624,624,They're all going to die,624,,,,,,,,
625,625,All living things die,625,,,,,,,,
626,626,"When oxygen is gone, water is not produced, so living things cannot live",626,,,,,,,,
627,627,People and animals can't breathe and search,627,,,,,,,,
628,628,The living things don't live,628,,,,,,,,
629,629,Life becomes uninhabitable and the sea evaporates and disappears,629,,,,,,,,
630,630,"It won't catch fire And without oxygen, many lives die",630,,,,,,,,
631,631,"Without oxygen, the world changes completely in five seconds. For example, living things will become 90 percent extinct.",631,,,,,,,,
632,632,"Without oxygen, only properties such as nitrogen and carbon dioxide will remain in the air.This makes it difficult to breathe.You won't be able to make a fire.",632,,,,,,,,
633,633,"Animals and plants will be unable to breathe and various facilities will be paralyzed, and oxygen-bound chemicals will disappear.",633,,,,,,,,
634,634,"When oxygen is gone, we basically can't survive",634,,,,,,,,
635,635,"When oxygen is lost, almost all living things, including humans, die and all ecosystems are destroyed",635,,,,,,,,
636,636,The creatures cannot breathe and will die out,636,,,,,,,,
637,637,a person's death,637,,,,,,,,
638,638,Life goes extinct,638,,,,,,,,
639,639,"When oxygen is gone, we can't breathe and the plants rot",639,,,,,,,,
640,640,People in the world can't breathe,640,,,,,,,,
641,641,Life goes extinct,641,,,,,,,,
642,642,The creature becomes unable to breathe.,642,,,,,,,,
643,643,All living things die because they cannot make energy without oxygen.,643,,,,,,,,
644,644,All living things are important because they cannot make energy without oxygen.,644,,,,,,,,
645,645,All living things are important because they cannot make energy without oxygen,645,,,,,,,,
646,646,"Oxygen is necessary for living things to breathe, so without oxygen, there would be no living things.",646,,,,,,,,
647,647,"It's necessary for living things to breathe, and if it's poor, living things",647,,,,,,,,
648,648,"Oxygen is necessary for living things to breathe, so without oxygen, living things will not be able to survive.",648,,,,,,,,
649,649,Sanso burns well and the fire goes out if the air supply is stopped,649,,,,,,,,
650,650,the loss of life,650,,,,,,,,
651,651,Life is unable to breathe and cannot survive,651,,,,,,,,
652,652,People die.,652,,,,,,,,
653,653,I can't breathe,653,,,,,,,,
654,654,We're going to die.,654,,,,,,,,
655,655,"Choking, using fire, etc",655,,,,,,,,
656,656,the annihilation of the earth,656,,,,,,,,
657,657,I don't know.,657,,,,,,,,
658,658,"Because the air pressure is lowered and water contains oxygen, all water is lost. Therefore, only hydrogen remains, which causes an explosion.",658,,,,,,,,
659,659,Animals and plants cannot live on the ground.,659,,,,,,,,
660,660,"Life will not be able to breathe, and air pressure will be lowered, leading to alpine disease. In addition, all components such as water containing oxygen will disappear.",660,,,,,,,,
661,661,"If O is lost, all molecules, including O, will have problems and the world will be lonely.",661,,,,,,,,
662,662,"Glucose cannot be produced, organic matter will not be allowed to pass away, life will gradually become extinct, and there will be no combustion reaction, so there will be no fire.",662,,,,,,,,
663,663,"When oxygen is lost, photosynthesis of the plant does not occur, and the plant disappears. When plants disappear, herbivores disappear, which shakes the carnivorous system. In other words, animals disappear due to plants, and previously humans die due to lack of oxygen. In other words, life on Earth disappears.",663,,,,,,,,
664,664,"When oxygen is gone, living things that breathe with oxygen die.And it doesn't catch fire in the usual way.",664,,,,,,,,
665,665,"As the greenhouse effect decreases, it gets cold",665,,,,,,,,
666,666,There won't be anyone holding a memorial service.,666,,,,,,,,
667,667,I don't know,667,,,,,,,,
668,668,Life will be impossible for living organisms that need oxygen.,668,,,,,,,,
669,669,"When oxygen is gone, oxygen-consuming creatures will die, and oxygen-induced oxidation will not occur. Also, the oxygen in the water disappears, so it's hard for microbes to survive",669,,,,,,,,
670,670,Life is gone. ?ú„Öú,670,,,,,,,,
671,671,"If oxygen is lost, life cannot breathe.",671,,,,,,,,
672,672,"Without oxygen, living things cannot breathe cells and eventually die.",672,,,,,,,,
673,673,Don't know,673,,,,,,,,
674,674,I don't know.,674,,,,,,,,
675,675,"All living things breathe, so they die without oxygen.",675,,,,,,,,
676,676,"When oxygen is lost, there is no ozone layer, which makes many living things dangerous.",676,,,,,,,,
677,677,All life on earth will disappear.,677,,,,,,,,
678,678,"If the oxygen disappears, everyone will die.",678,,,,,,,,
679,679,"As gas exchange does not occur in the human alveoli, chemical phosphorylation with the human TCA circuit does not occur, so ATP cannot be produced and humans will die. Likewise, organisms that need oxygen, such as animals, plants, and some aerobic microorganisms, die because their metabolism does not occur.",679,,,,,,,,
680,680,"Since most of the Earth's living things use oxygen to decompose organic matter, if oxygen is lost, it cannot produce energy, killing most living things except anaerobic bacteria.",680,,,,,,,,
681,681,Humans all die.,681,,,,,,,,
682,682,Animals and plants die,682,,,,,,,,
683,683,"Oxygen lets us breathe Therefore, without oxygen, I cannot breathe and die",683,,,,,,,,
684,684,"Plants die, people die",684,,,,,,,,
685,685,All the people die,685,,,,,,,,
686,686,"""If oxygen disappears, people, of course, animals.Even the plants die because they can't breathe.",686,,,,,,,,
687,687,"And there's no oxygen, so there's no fire.""",687,,,,,,,,
688,688,"The oxygen is gone, the animals cannot breathe, and all animals die",688,,,,,,,,
689,689,"All living things cannot breathe, destroying the ecosystem",689,,,,,,,,
690,690,"""Oxygen properties: allowing humans to breathe,",690,,,,,,,,
691,691,"If oxygen is lost, trees, people, flowers, and animals all die.""",691,,,,,,,,
692,692,"Oxygen can breathe, so plants and animals cannot live without oxygen",692,,,,,,,,
693,693,"When oxygen is gone, we cannot breathe and die, and environmental pollution becomes more serious, making it difficult for living organisms and plants to live.",693,,,,,,,,
694,694,a person's death,694,,,,,,,,
695,695,"The air that a person needs to breathe is oxygen. If oxygen is gone, people will die and the earth will die",695,,,,,,,,
696,696,The animals die,696,,,,,,,,
697,697,"When oxygen disappears, the air is compressed and the eardrum bursts.",697,,,,,,,,
698,698,"When oxygen is gone, it is not acidified.",698,,,,,,,,
699,699,"When oxygen disappears, we cannot live.",699,,,,,,,,
700,700,People are dying,700,,,,,,,,
701,701,People die because they can't breathe and everything that moves or works by oxygen will disappear,701,,,,,,,,
702,702,They die because they can't breathe because they don't have oxygen,702,,,,,,,,
703,703,"""People can't breathe, they can't turn on the lights, and there's a lot of damage on the planet",703,,,,,,,,
704,704,"Global destruction happens.""",704,,,,,,,,
705,705,"Without oxygen, people could die because they couldn't breathe, and living things would die because they couldn't photosynthesize",705,,,,,,,,
706,706,"If oxygen disappears because it allows us to breathe, not only humans, but all living things on Earth die because they can't breathe",706,,,,,,,,
707,707,"When oxygen is gone, the earth itself becomes vacuum, so concrete buildings collapse, darken in broad daylight, and animals' eardrums explode in all the worlds",707,,,,,,,,
708,708,"When oxygen is gone, living things that breathe with oxygen die.And it doesn't catch fire in the usual way.",708,,,,,,,,
709,709,Humans and animals can't breathe,709,,,,,,,,
710,710,"When oxygen is lost, organisms breathing with oxygen cannot breathe and cannot live.",710,,,,,,,,
711,711,"We're going to die. Unless it is oxygen-free bacteria, all living things on Earth die. The fire also disappears.",711,,,,,,,,
712,712,Life doesn't live.,712,,,,,,,,
713,713,"When oxygen is gone, life cannot breathe, and all life on Earth will disappear.",713,,,,,,,,
714,714,"Oxygen is a substance that allows plants and animals to live through breathing, and if it disappears, plants will die out, and animals will die out, so the balance of the ecological pyramid will eventually be broken and animals will die out.",714,,,,,,,,
715,715,"Oxygen is an essential part of life's breathing, so living things will not be able to survive.",715,,,,,,,,
716,716,"All plants and animals that use oxygen to breathe will die. Also, there will be no oxidation and the bodies of animals and plants will not decay.",716,,,,,,,,
717,717,"If oxygen is gone, it will not catch fire. Also, when oxygen is lost, life becomes uninhabitable.",717,,,,,,,,
718,718,It's all going to die.,718,,,,,,,,
719,719,There will be no life on Earth because all living things will not be able to breathe. It will also be very dark because there will be no combustion.,719,,,,,,,,
720,720,"Oxygen is essential for the metabolism of living things. Therefore, in the absence of oxygen, living things die. In addition, oxygen is an essential element in which fire is formed, so fire does not occur.",720,,,,,,,,
721,721,"The loss of oxygen will cause the extinction of animals on Earth that generate energy through oxygen, and plants that cannot breathe will also become extinct. In addition, the disappearance of oxygen oxidation would have greatly affected the formation of human civilization.",721,,,,,,,,
722,722,"The loss of oxygen will kill all animals that use oxygen to breathe. Also, there will be no more chemical reactions that require oxygen, such as combustion and oxidation.",722,,,,,,,,
723,723,"Basically, oxygen is necessary for the breathing of other living things, including humans, so if oxygen disappears, living things can go extinct, and if oxygen disappears, 30% of the atmosphere disappears, so harmful substances from the outside world that the atmosphere can affect the biosphere.",723,,,,,,,,
724,724,"Oxygen is the first element of the earth's crust. Without oxygen, the crust collapses. Also, all life on Earth is wiped out within minutes because life cannot breathe. And one of the three elements of combustion, oxygen, is gone, so there are no more fires on Earth. Oxygen, which accounts for about 21% of the atmosphere, disappears and air pressure is lowered. Water on Earth is made up of oxygen and hydrogen. When oxygen disappears, all water, including the sea, turns into hydrogen, and then the Earth becomes a dry planet without water. Without water, the daily temperature difference will be extreme because the Earth receives solar radiation energy quickly and then releases Earth radiation energy quickly. Many other problems arise from the absence of water.",724,,,,,,,,
725,725,"Oxygen plays an important role in entering the human body and exchanging substances. Therefore, without oxygen, the release of carbon dioxide from the body will also be difficult. In other words, breathing becomes difficult. Therefore, it becomes difficult for various animals except humans to live, and plants also become difficult to live.",725,,,,,,,,
726,726,"Oxygen is indispensable to the respiration of all animals and plants, including humans. If this oxygen is lost, all plants and animals will die from breathing.",726,,,,,,,,
727,727,"""1. All animals, including breathing humans, are exterminated.",727,,,,,,,,
728,728,2. The atmospheric pressure is lowered.,728,,,,,,,,
729,729,3. The plants slowly exhale oxygen again.,729,,,,,,,,
730,730,"4. At least the surviving animals thrive again.""",730,,,,,,,,
731,731,"Once oxygen is gone, people are uncomfortable breathing. In addition, oxygen has the property of bonding well with metals, and when oxygen disappears, phenomena such as melting metals will disappear.",731,,,,,,,,
732,732,?,732,,,,,,,,
733,733,Well.,733,,,,,,,,
734,734,People die,734,,,,,,,,
735,735,a person's death,735,,,,,,,,
736,736,"of living things, to be unable to live",736,,,,,,,,
737,737,People die,737,,,,,,,,
738,738,"When oxygen is gone, all living things die",738,,,,,,,,
739,739,The creatures die because they can't breathe,739,,,,,,,,
740,740,The creatures can't breathe,740,,,,,,,,
741,741,yes,741,,,,,,,,
742,742,I'm going to die,742,,,,,,,,
743,743,"It becomes impossible for living things to breathe, making them extinct and unable to burn.",743,,,,,,,,
744,744,The ecosystem is destroyed.,744,,,,,,,,
745,745,I can't breathe,745,,,,,,,,
746,746,.,746,,,,,,,,
747,747,Die.,747,,,,,,,,
748,748,All living things that use oxygen will disappear.,748,,,,,,,,
749,749,All living things die of suffocation because they cannot breathe.,749,,,,,,,,
750,750,The ozone layer will disappear and life will be destroyed by direct sunlight.,750,,,,,,,,
751,751,A new environment is likely to unfold.,751,,,,,,,,
752,752,"The composition of water is oxygen. The mule disappears. Furthermore, without water, carbon dioxide, which entered the sea during the Earth's formation, would have caused a greenhouse effect in the atmosphere, raising the temperature.",752,,,,,,,,
753,753,You're going to die.,753,,,,,,,,
754,754,"Except for anaerobic organisms, they cannot survive.",754,,,,,,,,
755,755,I can't breathe.,755,,,,,,,,
756,756,Life goes extinct.,756,,,,,,,,
757,757,"As soon as oxygen disappears, the building collapses. The oxygen layer inside the building holds the building, but when oxygen is gone, there is nothing to support it, so the building collapses and the eardrum bursts.",757,,,,,,,,
758,758,the fall of mankind,758,,,,,,,,
759,759,Animals that breathe using oxygen become extinct.,759,,,,,,,,
760,760,The organs of the body go too far.,760,,,,,,,,
761,761,"When oxygen is gone, the ozone layer disappears and everything on Earth melts",761,,,,,,,,
