,Unnamed: 0,"15. In summer, I heard thunder as lightning struck in the sky. After a little time after the lightning struck first, I heard thunder. Why do lightning come first and thunder comes later? Let's explain it in detail using our knowledge of light and sound.",Unnamed: 0,", q15_speed difference, q15_speed difference.1"
276,276,I don't know,276.0,"285,1,"
277,277,Lightning is faster than thunder,277.0,"286,1,"
278,278,I don't know.,278.0,"287,0,"
279,279,I don't understand.,279.0,"288,0,"
280,280,Unknowingness,280.0,"289,1,"
281,281,The sound is slower than the light,281.0,"290,0,"
282,282,I don't understand.,282.0,"291,1,"
283,283,I don't know,283.0,"292,1,"
284,284,Mall,284.0,"293,0,"
285,285,"Lightning comes down when it shines, and the sound comes the sound",285.0,"294,0,"
286,286,Light is faster than sound,286.0,"295,0,"
287,287,Because light is faster than sound,287.0,"296,1,"
288,288,I don't know,288.0,"297,0,"
289,289,It sounds slower because the speed of light is slower than the sound.,289.0,"298,1,299,1,"
290,290,Unknowingness,290.0,"300,1,"
291,291,I don't understand.,291.0,"301,0,"
292,292,Lightning is heard later because it is much faster than a Mach.,292.0,"302,0,"
293,293,I don't understand.,293.0,"303,1,"
294,294,The sound is so fast,294.0,"304,1,"
295,295,Unknowingness,295.0,"305,1,"
296,296,"It is related to the speed of sound. The farther the distance, the slower the sound is heard.I don't know.",296.0,"306,0,"
297,297,Light is faster,297.0,"307,0,"
298,298,"Light is faster than sound, so lightning strikes first and sounds are heard",298.0,"308,1,"
299,299,Lightning is because light travels faster than sound,299.0,"309,1,"
300,300,?,300.0,"310,1,"
301,301,The light is faster than the sound,301.0,"311,1,"
302,302,"Well, I was curious, but I don't know",302.0,"312,1,"
303,303,It's because it makes sounds and creates light,303.0,"313,1,"
304,304,"Because light is faster than sound, lightning and thunder are originally struck together, but because light is faster than sound, lightning and thunder seem to be striking.",304.0,"314,1,"
305,305,yes,305.0,"315,1,"
306,306,This is because thunder strikes later than lightning.,306.0,"316,1,"
307,307,mmk,307.0,"317,1,"
308,308,It's because light is faster than the sound,308.0,"318,1,"
309,309,The light is faster,309.0,"319,1,"
310,310,Because light is faster than sound,310.0,"320,1,"
311,311,There's a time when lightning makes sounds,311.0,"321,1,"
312,312,There was a thunderstorm because of the lightning,312.0,"322,1,"
313,313,The light is faster than the sound,313.0,"323,1,"
314,314,I can't hear anything,314.0,"324,1,"
315,315,The light is faster,315.0,"325,1,"
316,316,Because the light is the fastest,316.0,"326,1,"
317,317,"Lightning signals the startWell, it's like lightning",317.0,"327,1,"
318,318,Unknowingness,318.0,"328,1,329,0,"
319,319,"Originally, light comes out first and sound comes out later.",319.0,"330,1,"
320,320,Because light is faster than sound,320.0,"331,1,"
321,321,The sound starts from the silence,321.0,"332,1,"
322,322,Because light is faster than sound,322.0,"333,1,"
323,323,Because the light is faster,323.0,"334,1,"
324,324,Because lightning is faster than sound,324.0,"335,1,"
325,325,Thunder is lightning.,325.0,"336,1,"
326,326,Because the sound is faster than debt.,326.0,"337,0,"
327,327,"Light is faster than sound, so thunder is much faster than light, and thunder is slower than light, so thunder hits first, and sound is heard later",327.0,"338,1,"
328,328,"Because light is 310,000 kilometers per second and sound is 340 meters per second, light is bound to be faster than sound, and it cannot catch up with the speed of light",328.0,"339,1,"
329,329,The light is faster than lightning,329.0,"340,1,"
330,330,I don't know,330.0,"341,1,"
331,331,I didn't understand,331.0,"342,1,"
332,332,This is because the speed of sound is slower than that of light.,332.0,"343,1,"
333,333,Light is faster than sound,333.0,"344,0,"
334,334,"""The light is faster than the sound, so that the lightning can be seen first and then the thunder can be heard",334.0,"345,1,"
335,335,"That's how it works""",335.0,"346,1,"
336,336,"It occurs at the same time, but the sound is slower than light, so lightning is seen first and thunder is heard later.",336.0,"347,1,"
337,337,This is because light is faster because lightning is transmitted to me at the speed of light and thunder is transmitted at the speed of sound.,337.0,"348,0,"
338,338,The light is faster,338.0,"349,1,"
339,339,"Light is much faster than sound. Light is 3000000 m/s regardless of the medium, and sound is 333 + 0.6 tons, which varies in speed with temperature. In summer, no matter how high the room temperature is, even if it is assumed to be 50 degrees Celsius, the sound is 361m/s, so lightning, which is light, appears first and thunder is heard a few seconds later. If we find this time difference, we can see the origin (the point at which it occurred) of lightning.",339.0,"350,1,"
340,340,Because the speed of light is faster than that of sound waves,340.0,"351,1,"
341,341,"The speed of light is greater than the speed of sound, so light reaches first",341.0,"352,1,"
342,342,The speed of light is greater than the speed of sound,342.0,"353,1,"
343,343,Because the light is faster.,343.0,"354,1,"
344,344,Speed of light > Sound wave speed,344.0,"355,1,"
345,345,Lightning is faster than the sound,345.0,"356,1,"
346,346,Because light is faster than sound,346.0,"357,1,"
347,347,"Lightning is the speed of light, while sound is 343 m/s. Due to this difference in speed, a time interval occurs when the same distance is changed.",347.0,"358,1,359,1,"
348,348,This is because the speed of light is faster than sound.,348.0,"360,1,"
349,349,"Because the speed of light is faster,",349.0,"361,1,"
350,350,Because light is faster than sound,350.0,"362,1,"
351,351,"Because the speed of light is faster than the speed of sound, lightning strikes first, followed by thunder.",351.0,"363,0,"
352,352,"Because the light is faster, there's a difference in speed",352.0,"364,1,"
353,353,"Because light is faster than sound, light is seen first and sound is heard",353.0,"365,1,"
354,354,Because the bright sound is so fast that it can be heard late,354.0,"366,1,"
355,355,The speed of light and sound are different,355.0,"367,1,"
356,356,"The speed of light and sound is different, so lightning is seen first because the speed of lightning is faster than the sound of lightning.",356.0,"368,1,"
357,357,"Light and sound are faster than sound, so lightning occurs first and then thunder occurs.",357.0,"369,1,"
358,358,The sound is slow,358.0,"370,1,"
359,359,"Because the speed of light is faster than the speed of sound, lightning strikes first, followed by thunder.",359.0,"371,1,"
360,360,This is because light is faster than sound.,360.0,"372,1,"
361,361,Because light is faster than sound,361.0,"373,1,"
362,362,Lightning makes a sound before thunder comes and tells you that thunder is coming,362.0,"374,1,"
363,363,Light is faster than sound,363.0,"375,1,"
364,364,Lightning is light and thunder is sound because light is faster than sound.,364.0,"376,1,"
365,365,The light is faster than the sound,365.0,"377,1,"
366,366,"Because light is faster than sound, light is seen first and thunder is heard.",366.0,"378,1,"
367,367,The light is faster than the sound,367.0,"379,1,"
368,368,Because light is faster than sound.,368.0,"380,0,"
369,369,I don't know.,369.0,"381,1,"
370,370,The light is faster than the sound,370.0,"382,1,"
371,371,Because light is faster than sound.,371.0,"383,0,"
372,372,Lightning is faster than the sound,372.0,"384,0,"
373,373,Unknowingness,373.0,"385,0,"
374,374,This is because the speed of light is faster than the speed of sound.,374.0,"386,1,"
375,375,Light is faster than sound and is a gate.,375.0,"387,0,"
376,376,Light is faster than sound,376.0,"388,1,389,1,"
377,377,The light is faster than sound. a scientifically proven fact,377.0,"390,1,"
378,378,Because the sound is faster than the light,378.0,"391,1,"
379,379,"The light is faster, so I can see the light and I can hear the next sound",379.0,"392,1,"
380,380,Because light is faster than sound,380.0,"393,1,"
381,381,"Light is faster than sound, so lightning strikes first and then sound is heard.",381.0,"394,1,"
382,382,The light is faster than the sound,382.0,"395,1,"
383,383,"Light is faster than sound, so light is seen first and sound is transmitted late.",383.0,"396,1,"
384,384,Because the speed of light is faster than the speed of sound,384.0,"397,1,"
385,385,"Because the speed of light is faster than the speed of sound, the sound is heard after the light of lightning is seen.",385.0,"398,1,"
386,386,"Lightning is the speed of light and sound is the speed of sound and is slower than the speed of light, so it is heard a little after it is seen.",386.0,"399,1,"
387,387,Because light is much faster than sound.,387.0,"400,1,"
388,388,It's like pooing It's farting and buying poo,388.0,"401,1,"
389,389,The speed of light is faster than the speed of sound,389.0,"402,1,"
390,390,This is because the speed of sound is faster than the speed of light.,390.0,"403,1,"
391,391,Because the time the sound is transmitted is different from the time the light is transmitted,391.0,"404,1,"
392,392,Because light is faster than sound,392.0,"405,1,"
393,393,This is because light is faster than the speed of sound.,393.0,"406,1,"
394,394,It's because light is faster than the sound,394.0,"407,1,"
395,395,Because the speed of light is faster than the speed of soundThe light is faster than the sound,395.0,"408,1,"
396,396,The sound can't keep up with the speed of light,396.0,"409,1,"
397,397,Because light is faster than sound.,397.0,"410,0,"
398,398,Because light is faster than sound.,398.0,"411,0,"
399,399,"Because the sound is about 340m/s and the light is about 3000000m/s, light arrives at us and thunder is heard.",399.0,"412,1,"
400,400,Lightning is in the form of light and thunder is sound because light is faster than sound.,400.0,"413,1,"
401,401,"The speed of light is faster than sound. Therefore, light is visible first to our eyes, and thunder at a lower speed is heard later.",401.0,"414,1,"
402,402,Because light is faster than sound,402.0,"415,1,"
403,403,This is because the speed of light is faster than the speed of sound,403.0,"416,1,"
404,404,Unknowingness,404.0,"417,1,"
405,405,Because the speed of light is faster than the speed of sound,405.0,"418,1,419,0,"
406,406,Light is better than soundI'm fast. So I'll blink first and then I'll clap,406.0,"420,1,"
407,407,I don't know ^^,407.0,"421,1,"
408,408,ㄱ and ㅈ,408.0,"422,1,"
409,409,Because the sound is faster than light,409.0,"423,1,"
410,410,This is because the speed of light is faster than that of sound.,410.0,"424,1,"
411,411,I don't know.,411.0,"425,1,"
412,412,"The speed of light is different from the speed of sound, so when lightning strikes from a distance, light reaches me first, and then the sound reaches me, so lightning occurs first and thunder is heard later.",412.0,"426,1,"
413,413,"Thunder and lightning are caused by friction as dust rises into the sky due to the rise in low pressure, and the reason why thunder and lightning strike first is that the speed of light is faster than the speed of sound. In other words, lightning, which is the light, hits first, and then thunder is heard.",413.0,"427,0,"
414,414,"Because light is faster than sound, light flashes and thunder rings first.",414.0,"428,1,"
415,415,Lightning is light and thunder is sound because the speed of light is much faster than that of sound.,415.0,"429,1,"
416,416,Because the sound is faster than the light,416.0,"430,1,"
417,417,"This is because the speed of light is 300,000 km/h and the speed of sound is 340 m/s, and light is faster than sound.",417.0,"431,1,"
418,418,"Because the speed of light is faster than the speed of sound, thunder is heard after lightning strikes first.",418.0,"432,1,"
419,419,"Because light is much faster than sound. Light is about 300,000 kilometers per second, while sound is about 340m/s per second, so lightning strikes first and thunder is heard later. If you check how many seconds after the lightning struck, you can infer the place where the lightning struck.",419.0,"433,1,"
420,420,"Because the speed of light is faster than the speed of sound, the sound is heard after lightning strikes.",420.0,"434,1,"
421,421,"Light travels faster than sound, so lightning occurs first and thunder is heard later.",421.0,"435,1,"
422,422,The light is faster than the sound,422.0,"436,1,"
423,423,"Because the speed of light is faster than the speed of sound, light is seen first before sound is made, followed by sound.",423.0,"437,1,"
424,424,"Because the speed of light is faster than the speed of sound, it takes less time to get to us from one point. Therefore, the light reaches our eyes first, and then the sound reaches our ears and is heard later.",424.0,"438,1,"
425,425,This is because the speed of light is faster than that of sound.,425.0,"439,1,"
426,426,"The speed of light is extremely fast at c, but the speed of sound is relatively slow at 350 per second. In other words, when lightning, the light, strikes, the speed of light is very fast and can be seen directly to our eyes. However, sound is relatively slow and reaches a person's ear later.",426.0,"440,0,"
427,427,"Light travels at 300000 km/s per second, while sound travels at 340 m/s, so light is faster than sound, so it reaches us first. This is because light does not require a medium for movement, but sound travels through a medium called air.",427.0,"441,0,"
428,428,"This is because the speed of light and sound is different. Light travels at 300,000 kilometers per second, while sound travels at several thousand kilometers per second. Because of this speed difference, lightning, which is light, occurs first, and thunder, which is sound, is heard later. Of course, if the distance is close, this phenomenon will not be felt, but this phenomenon is felt at a distance to the extent that the difference in movement speed between light and sound is significant.",428.0,"442,1,"
429,429,"Lightning and thunder occur simultaneously, but lightning is light, and thunder is sound. At this time, light is faster than sound, so lightning occurs first and thunder sounds seem to be heard later.",429.0,"443,1,"
430,430,The light is faster than the sound,430.0,"444,1,"
431,431,"In vacuum, the speed of light is 299792 458 m/s, and the speed of sound in air is 340 m/s based on 100 000 Pa. This shows that light is actually much faster than sound. Therefore, when lightning strikes, light first reaches our eyes, and lightning is supplemented, and later, the sound reaches the ear and hears the sound later.",431.0,"445,1,"
432,432,"This is because the speed of light is much faster than the speed of sound. Therefore, the sound is heard later.",432.0,"446,1,"
433,433,"The light is about 300,000 km/h, and the sound is about 340 m/s, so this difference is caused by the difference in speed between light and sound.",433.0,"447,1,"
434,434,Our ears are deteriorating,434.0,"448,1,449,1,"
435,435,Ankimchi. (Ankimchi in Korean),435.0,"450,1,"
436,436,This is because the speed of sound is slower than the speed of light,436.0,"451,1,"
437,437,This is because the speed of light is faster than the speed of sound.,437.0,"452,1,"
438,438,Because light is faster than sound.,438.0,"453,1,"
439,439,Because light is faster than sound,439.0,"454,1,"
440,440,Because light is faster than sound,440.0,"455,1,"
441,441,This is because the speed of light is faster than the speed of sound.,441.0,"456,0,"
442,442,Because light is faster than sound,442.0,"457,1,"
443,443,Because the light is faster than the sound,443.0,"458,1,"
444,444,The light is faster than the sound,444.0,"459,1,"
445,445,Because the light is faster than the sound,445.0,"460,1,"
446,446,The light is faster than the sound.,446.0,"461,1,"
447,447,The speed of sound is slower than the speed of light,447.0,"462,1,"
448,448,"Light is so fast that you can see it first, and the sound is slower than light, so you can hear it after lightning strikes",448.0,"463,0,"
449,449,Because the speed of light is faster than the speed of sound,449.0,"464,1,"
450,450,"Light is faster than sound, so lightning is light and thunder is sound, so lightning occurs first and thunder is heard later",450.0,"465,1,"
451,451,"Lightning strikes first, then thunder later depending on the distance",451.0,"466,1,"
452,452,"The reason why we can see lightning is because the light from lightning is reflected in our eyes. What is reflected in our eyes is transmitted to us at the speed of light, but thunder is transmitted to us at the speed of sound, which is the speed of sound, which is much slower than the speed of light, so we can see the electric field first and hear the thunder later.",452.0,"467,1,"
453,453,Because the speed of light and sound are different,453.0,"468,1,"
454,454,Because the sound is slower than light,454.0,"469,1,"
455,455,"Because lightning is light and thunder is sound, the speed of sound is not faster than light",455.0,"470,1,"
456,456,The light passes and the sound at 340 meters per second follows,456.0,"471,0,"
457,457,It's probably because the light is faster than the speed of sound,457.0,"472,1,"
458,458,The sound is heard later because the light is faster,458.0,"473,1,"
459,459,Because light is faster than sound.,459.0,"474,1,"
460,460,It's because light is faster than the sound,460.0,"475,0,"
461,461,"Light is faster than sound, but light comes out first because lightning is light and heaven is sound.",461.0,"476,0,"
462,462,The speed of light is faster than that of sound.,462.0,"477,0,"
463,463,"Light is faster than sound, so there is lightning and thunder.",463.0,"478,0,479,0,"
464,464,The size is different,464.0,"480,1,"
465,465,"The sound is faster than light, but lightning is light and thunder is sound",465.0,"481,0,"
466,466,Because light is faster than sound,466.0,"482,1,"
467,467,Because light is faster than sound.,467.0,"483,0,"
468,468,Because light is faster than sound,468.0,"484,1,"
469,469,The sound is slower,469.0,"485,0,"
470,470,The light is faster than the sound,470.0,"486,1,"
471,471,Because light is faster than sound.,471.0,"487,1,"
472,472,"Because the speed of light is faster than the speed of sound,",472.0,"488,1,"
473,473,The light is faster.,473.0,"489,1,"
474,474,Because sound is slower than light,474.0,"490,1,"
475,475,Light is much faster than sound,475.0,"491,0,"
476,476,Light is faster than sound,476.0,"492,0,"
477,477,Because light is faster than sound.,477.0,"493,0,"
478,478,"Light travels straight and very fast. G리ri is fast, but slower than light.",478.0,"494,0,"
479,479,The light is faster than the sound,479.0,"495,1,"
480,480,Why? I'm curious,480.0,"496,1,"
481,481,It's because the light is faster.,481.0,"497,0,"
482,482,The light is faster than the sound,482.0,"498,1,"
483,483,"Because the speed of light is faster than that of sound waves, light is seen first and thunder is heard later.",483.0,"499,1,"
484,484,the speed difference between light and sound,484.0,"500,0,"
485,485,Light is faster than sound,485.0,"501,1,"
486,486,This is because the speed of light is much faster than the speed of sound.,486.0,"502,1,"
487,487,It's far away,487.0,"503,1,"
488,488,Because light is faster than sound.,488.0,"504,1,"
489,489,This is because the speed of light is faster than the speed of sound.,489.0,"505,1,"
490,490,Because the speed of light is faster,490.0,"506,0,"
491,491,Light is much faster than sound.,491.0,"507,1,"
492,492,This is because the speed of light is faster than the propagation speed of sound.,492.0,"508,1,509,0,"
493,493,This is because light is extremely fast and sound moves at 340 meters per second.,493.0,"510,1,"
494,494,The light is faster than the soundI'm faster than anyone else. I'm a traveler on the beat,494.0,"511,1,"
495,495,"Lightning is composed of light particles, and thunder is sound waves. Lightning occurs first and thunder is heard later because the speed at which light particles travel is faster than the speed at which sound spreads.",495.0,"512,0,"
496,496,"Lightning has a speed close to the speed of light. The sound is 340m/s, so lightning is much faster.",496.0,"513,1,"
497,497,"Lightning is the flow of electrons, and the velocity of electrons is almost close to light. Thunder is also the sound. Sound travels at room temperature, 340 meters per second in the atmosphere, but light travels at 300,000 kilometers per second. Because the light is faster, light, lightning that is close to its speed, reaches the surface first, and as it generates light in ionized air, we see this light, and then it happens as sound reaches us.",497.0,"514,0,"
498,498,I don't understand.,498.0,"515,0,"
499,499,"HUENINGKAI, what do you mean?",499.0,"516,0,"
500,500,"I learned it, but I forgot...",500.0,"517,0,"
501,501,Unknowingness,501.0,"518,1,"
502,502,-H6ㄷD55565,502.0,"519,0,"
503,503,"Lightning is light and thunder is sound, so light travels 300,000 kilometers per second, but sound travels 340 meters per second, so lightning strikes first and thunder is heard late",503.0,"520,1,"
504,504,Sound is fast and we hear it with our ears. Light is seen with our eyes,504.0,"521,0,"
505,505,The light is faster than the sound,505.0,"522,0,"
506,506,It's slower than thunder,506.0,"523,0,"
507,507,The light is so fast,507.0,"524,0,"
508,508,What do you mean?,508.0,"525,0,"
509,509,Because light is faster than sound.,509.0,"526,1,"
510,510,The light is faster than the sound,510.0,"527,1,"
511,511,The sound is slower than the light and arrives later.,511.0,"528,0,"
512,512,"Because light is faster than sound, light flashes first and sounds after a few seconds.",512.0,"529,0,"
513,513,be quick of light,513.0,"530,1,"
514,514,This is because light is seen first and sound is heard.,514.0,"531,1,"
515,515,"(Singing ""Banging sound",515.0,"532,0,"
516,516,I don't know why lightning strikes and thunder is heard.,516.0,"533,0,"
517,517,"Lightning: I'll go out first! Thunder: Yeah, I'll be out in a minute ^^",517.0,"534,1,"
518,518,This is because light is faster than sound.,518.0,"535,1,"
519,519,Lightning strikes faster. It's the light,519.0,"536,0,"
520,520,I don't know,520.0,"537,1,"
521,521,Because the light is faster,521.0,"538,1,539,1,"
522,522,This is because the speed of sound is slower than the speed of light.,522.0,"540,0,"
523,523,I don't know. I don't know.,523.0,"541,0,"
524,524,Too fast to shine,524.0,"542,1,"
525,525,The light is faster than the sound,525.0,"543,0,"
526,526,The speed of sound is slower than the speed of light,526.0,"544,1,"
527,527,The speed of sound is slower than the speed of light,527.0,"545,1,"
528,528,The light is faster than the sound,528.0,"546,0,"
529,529,.,529.0,"547,1,"
530,530,"Because light is faster than sound, lightning, which is light, strikes first, and thunder, which is sound, is heard later.",530.0,"548,1,"
531,531,Because light is faster than sound.,531.0,"549,1,"
532,532,Don't know,532.0,"550,0,"
533,533,Light travels around the earth seven and a half times a second as I know it.,533.0,"551,1,"
534,534,"Because the light is faster than the sound, the light arrives first and you can hear the sound",534.0,"552,1,"
535,535,"Lightning meets without sound, and thunder shines with sound",535.0,"553,1,"
536,536,The speed at which light can travel seven times around the earth in one second is 다. So the sound is much faster than the light.,536.0,"554,1,"
537,537,It's hard,537.0,"555,0,"
538,538,Thunder is heard later because light is slower than sound.,538.0,"556,1,"
539,539,I don't know...,539.0,"557,1,"
540,540,Unknowingness,540.0,"558,1,"
541,541,"Both light and sound are known to be very fast, but as evidenced by the thunder after lightning strikes first, light is faster, so even if light and sound depart together, light arrives first. Next is the sound. So I think the sound is a little slower because the light is faster.",541.0,"559,1,"
542,542,Don't know,542.0,"560,1,"
543,543,The sound is slower than the light,543.0,"561,1,"
544,544,?,544.0,"562,1,"
545,545,I want to play it later,545.0,"563,0,"
546,546,the tardiness of thunder,546.0,"564,1,"
547,547,I don't know.,547.0,"565,1,"
548,548,"Thunder falls and the sound follows the thunder, and there will be a distance, so the sound will be heard depending on the distance",548.0,"566,1,"
549,549,Because the light is faster than the sound,549.0,"567,1,"
550,550,"The light is faster, so the sound comes out slower",550.0,"568,1,569,1,"
551,551,Lightning strikes first because it is as fast as a jet stream,551.0,"570,0,"
552,552,Unknowingness,552.0,"571,0,"
553,553,The light is faster than the sound with a large strainer. Light travels fast enough to take 8 minutes and 24 seconds from the sun to Earth.,553.0,"572,1,"
554,554,The sound is slower than the light.,554.0,"573,1,"
555,555,I don't know.,555.0,"574,1,"
556,556,Don't know,556.0,"575,0,"
557,557,This is because light is much faster than sound.,557.0,"576,1,"
558,558,"The speed of thunder is so fast that when our eyes recognize it, lightning has already hit and the speed of our ears is heard up to five seconds after our eyes recognize it, so the sound is slow because our ears cannot recognize it when lightning is the fastest",558.0,"577,0,"
559,559,I don't know.,559.0,"578,1,"
560,560,"Light travels at a tremendous speed because the sound is slower than that, so the sound comes later",560.0,"579,1,"
561,561,Because light is faster than sound because it is over 100 meters per second,561.0,"580,1,"
562,562,"Light is faster than sound, so light comes first, followed by sound.",562.0,"581,0,"
563,563,I don't know.,563.0,"582,0,"
564,564,I don't know,564.0,"583,1,"
565,565,"Sound is not faster than light, so it comes out seconds after lightning strikes.",565.0,"584,1,"
566,566,"When a sound is about to be made, the light is bright, so it is seen first and the sound comes next.",566.0,"585,0,"
567,567,"We started at the same timeEven so, because light is faster than sound, we can see lightning first and hear thunder.",567.0,"586,1,"
568,568,The speed of light is faster,568.0,"587,1,"
569,569,I don't know,569.0,"588,1,"
570,570,"The light is 300000km per second and the sound is 343m per second, so the speed difference is large. Therefore, when thunder strikes, light information enters our sensory organs much faster, so we recognize it quickly.",570.0,"589,0,"
571,571,It is a phenomenon that occurs because light is faster than sound.,571.0,"590,1,"
572,572,"Lightning occurs first because the speed of light is faster. The speed of light is faster than the speed of sound, so lightning occurs first and thunder is heard later.",572.0,"591,0,"
573,573,(Um-Bba~~Um-Bba~)~~~~),573.0,"592,0,"
574,574,"This is because the speed of light is faster than the speed of sound, so light reaches the ground faster than the speed.",574.0,"593,1,"
575,575,The light is faster than the sound,575.0,"594,1,"
576,576,"Lightning is light, and thunder is literally sound, and because the speed of light is faster than the speed of sound, lightning is dusted and thunder is heard afterwards.",576.0,"595,0,"
577,577,"Light is faster than sound, so lightning occurs first.",577.0,"596,0,"
578,578,"Oh, I know",578.0,"597,1,"
579,579,"Lightning is light and thunder is sound, but because the speed of light is incomparable to the speed of sound, light arrives first and sound arrives late.",579.0,"598,1,599,0,"
580,580,The reason why thunder is heard three seconds later is because light reaches the point where it is seen before sound.,580.0,"600,1,"
581,581,The light is faster than the sound,581.0,"601,0,"
582,582,Because light is faster than sound,582.0,"602,1,"
583,583,Because light is faster than sound. So light is seen first and sound is heard later,583.0,"603,1,"
584,584,"Because lightning is light and thunder is sound, lightning, which is light, reaches first.",584.0,"604,1,"
585,585,The sound is slow because the light is too fast,585.0,"605,1,"
586,586,Shall I ask lightning and thunder?,586.0,"606,1,"
587,587,"Lightning, the light, is faster than thunder, the sound. Therefore, light reaches first and thunder arrives late.",587.0,"607,1,"
588,588,Lightning is faster than thunder,588.0,"608,1,"
589,589,"Light is fast enough to orbit the Earth seven times a second, but the sound is not, so lightning strikes first.",589.0,"609,1,"
590,590,Because light (lightning) is faster than sound (thundering).,590.0,"610,1,"
591,591,Lightning occurs first because it is faster than sound.,591.0,"611,1,"
592,592,"Because the speed of light is faster than the speed of sound, lightning, which appears to be light, hits first and thunder, which occurs when lightning strikes, is heard later.",592.0,"612,1,"
593,593,I don't know.f,593.0,"613,1,"
594,594,"Light is generated faster than sound, so lightning strikes first and thunder is heard later.",594.0,"614,1,"
595,595,"This is because light has a speed of 300,000 kilometers per second, but the sound is about 340 meters per second.",595.0,"615,0,"
596,596,Because light is faster than sound.,596.0,"616,1,"
597,597,Unknowingness,597.0,"617,0,"
598,598,The light is faster than the sound,598.0,"618,1,"
599,599,I don't know...,599.0,"619,1,"
600,600,The light is faster than the sound,600.0,"620,1,"
601,601,Because the light is faster.,601.0,"621,1,"
602,602,Because light is faster than sound.,602.0,"622,1,"
603,603,Thunder is the sound that comes after lightning strikes,603.0,"623,0,"
604,604,I have no idea.,604.0,"624,1,"
605,605,"This is because light is 300,000 kilometers per second and sound is only a few hundred meters per minute.",605.0,"625,1,"
606,606,Because light is faster than sound,606.0,"626,0,"
607,607,Do.,607.0,"627,1,"
608,608,"""You react right away when the light shines, but there's a time when the sound comes.""",608.0,"628,1,629,0,"
609,609,"""Because the light is faster than the sound""",609.0,"630,1,"
610,610,The speed difference between light and sound,610.0,"631,0,"
611,611,Because light is very fast.,611.0,"632,1,"
612,612,I don't know.,612.0,"633,1,"
613,613,This is because light is much faster than sound.,613.0,"634,1,"
614,614,Unknowingness,614.0,"635,1,"
615,615,I have no idea.,615.0,"636,1,"
616,616,The light is fast,616.0,"637,1,"
617,617,Because light is faster than sound.,617.0,"638,1,"
618,618,"When lightning strikes, it makes a sound",618.0,"639,1,"
619,619,I don't know,619.0,"640,1,"
620,620,This is because the speed of sound is slower than light.,620.0,"641,1,"
621,621,Because the speed of light and sound are different,621.0,"642,0,"
622,622,The sound cannot keep up with the light,622.0,"643,0,"
623,623,Because light is faster than sound,623.0,"644,0,"
624,624,The light is the fastest,624.0,"645,0,"
625,625,"Because the speed of light is faster than the speed at which sound travels, thunderstorms at long distances detect light first and sound later.",625.0,"646,0,"
626,626,"Because lightning is light, it is faster than sound",626.0,"647,0,"
627,627,Because it faster than the speed of sound is the speed of light.,627.0,"648,0,"
628,628,The light is faster than the sound,628.0,"649,0,"
629,629,Because light is faster than sound.,629.0,"650,0,"
630,630,"This is because the speed of light is faster than the speed of sound. With this difference in speed, you can compare when lightning is visible and when thunder is heard to infer the position up to lightning.",630.0,"651,0,"
631,631,This is because light is faster than sound.,631.0,"652,0,"
632,632,I think it's because light is much faster than sound.,632.0,"653,0,"
633,633,"Because the speed of light is faster than the speed of sound,",633.0,"654,1,"
634,634,Because light is faster than sound.,634.0,"655,0,"
635,635,This is because light travels faster than sound.,635.0,"656,0,"
636,636,"Because sound is slower in particle speed than light, we can see it with our eyes as soon as lightning drops, and thunder, which is sound, takes a few seconds for wavelengths to be transmitted.",636.0,"657,0,"
637,637,"The light is faster, so we can see it first, and then the sound arrives",637.0,"658,1,659,1,"
638,638,Thunder!,638.0,"660,0,"
639,639,The sound is slower than the light,639.0,"661,0,"
640,640,I guess the sound comes out later,640.0,"662,0,"
641,641,"""The speed of light is about 300,000`km/s, and the speed of sound is about 340m/s. Lightning travels about 300,000 kilometers in one second because it is light, and thunder travels about 340 meters in one second because it is sound.Suppose lightning and thunder broke out about 3 kilometers from the school. Light travels about 3 km to school in a very short time of one hundred thousandth of a second. Therefore, lightning can be seen almost simultaneously as it occurs, but thunder is heard about nine seconds later. This is because the sound of thunder travels a distance of about 3km for about 9 seconds.",641.0,"663,1,"
642,642,"[Naver Knowledge Encyclopedia] Light and Sound Fast (Genius Learning Encyclopedia, Elementary Science 5-2, Genius Education)",642.0,"664,1,"
643,643,The light is faster than the sound,643.0,"665,1,"
644,644,Because the light is much faster,644.0,"666,1,"
645,645,The light is faster than the sound,645.0,"667,1,"
646,646,"The light is faster than the sound, so the light flashes first! Then the second place comes and makes a sound",646.0,"668,0,"
647,647,"After the lightning strikes, the impact is that it makes the sound of thunder",647.0,"669,0,"
648,648,"A phenomenon in which a very high voltage difference between a cloud and a cloud or between a cloud and the ground is not tolerated and is instantaneously discharged, and thunder is a sound caused by the high energy of a flowing charge In short, the speed of light is faster than the speed of sound.",648.0,"670,0,"
649,649,Because light is faster than sound.,649.0,"671,1,"
650,650,"Since the speed of sound is slower than the speed of light, light occurs before sound, and thunder is heard after lightning strikes.",650.0,"672,1,"
651,651,"Because the speed of sound is slower than the speed of light, light is generated before sound, so thunder is heard after lightning strikes.",651.0,"673,1,"
652,652,"Because the sound is slower than light, thunder is heard a few seconds after the lightning strikes.",652.0,"674,0,"
653,653,"The air expands due to heat, but the air cannot overcome the expanding force.",653.0,"675,1,"
