,Unnamed: 0,1) How can I make the compass needle move more without moving the compass (you can add it to the electrical circuit if you need something)? ,Unnamed: 0,", q25_electricity, q25_magnetic, q25_electricity.1, q25_magnetic.1"
383,383,Change the direction of the current,383.0,"396,1,0,,"
384,384,It allows more current to flow.,384.0,"397,1,0,,"
385,385,Change from serial to parallel,385.0,"398,1,0,,"
386,386,It makes the current flow harder.,386.0,"399,1,0,,"
387,387,Turn up the voltage,387.0,"400,0,0,,"
388,388,Connect the batteries in series,388.0,"401,1,0,,"
389,389,to increase the current,389.0,"402,0,0,,"
390,390,Add batteries in series,390.0,"403,0,0,,"
391,391,It's hard,391.0,"404,0,0,,"
392,392,It allows more current to flow.,392.0,"405,0,0,,"
393,393,Increase the intensity of the current.,393.0,"406,0,0,,"
394,394,Connect more batteries.,394.0,"407,0,0,,"
395,395,Connect all the batteriesa battery,395.0,"408,0,0,,"
396,396,Increase the voltage by adding batteries,396.0,"409,0,0,,"
397,397,I don't know.,397.0,"410,0,1,,"
398,398,turn on the electrical circuit strongly,398.0,"411,0,0,,"
399,399,Make sure that the compass needle and the dotted line are aligned,399.0,"412,0,1,,"
400,400,Break the compass and ask the expert to make it again,400.0,"413,0,0,,"
401,401,I don't know.,401.0,"414,0,1,,"
402,402,I don't know.,402.0,"415,1,0,,"
403,403,?,403.0,"416,0,0,,"
404,404,Put iron on the compass.,404.0,"417,0,0,,"
405,405,I don't know.,405.0,"418,0,0,,419,1,0,,"
406,406,I don't know.,406.0,"420,1,0,,"
407,407,Using a magnet,407.0,"421,1,0,,"
408,408,Turn on the switch,408.0,"422,1,0,,"
409,409,Move the needle with a magnet.,409.0,"423,1,0,,"
410,410,I don't know.,410.0,"424,1,0,,"
411,411,Because there's a magnet,411.0,"425,1,0,,"
412,412,It allows electricity to flow from both sides.,412.0,"426,1,0,,"
413,413,I don't know.,413.0,"427,1,0,,"
414,414,Don't know,414.0,"428,1,0,,"
415,415,ㅊ,415.0,"429,1,0,,"
416,416,Change the direction of the batteries.,416.0,"430,1,0,,"
417,417,The current flows a little more strongly.,417.0,"431,1,0,,"
418,418,The current needs to flow harder.,418.0,"432,0,1,,"
419,419,Apply a higher voltage.,419.0,"433,1,0,,"
420,420,Add more batteries in series,420.0,"434,0,0,,"
421,421,Increase the intensity of an electric current.,421.0,"435,1,0,,"
422,422,It makes the current flow harder.,422.0,"436,1,0,,"
423,423,Increase the voltage.,423.0,"437,1,0,,"
424,424,Increase the voltage.,424.0,"438,1,0,,"
425,425,Add batteries.(Strengthen the current.),425.0,"439,1,0,,"
426,426,It allows more current to flow.,426.0,"440,1,0,,"
427,427,It sends an electric current more strongly,427.0,"441,1,1,,"
428,428,The current flows and then cuts off.,428.0,"442,0,0,,"
429,429,"You can use the magnetic field, but you don't need it, and it moves a lot if you just shake it hard. The end",429.0,"443,0,0,,"
430,430,It blurs a stronger current. Add an electrical circuit.,430.0,"444,1,0,,"
431,431,I don't know.,431.0,"445,0,1,,"
432,432,Connect several batteries in series.,432.0,"446,1,0,,"
433,433,Connect more cells in series.,433.0,"447,1,0,,"
434,434,Increase the number of batteries to strengthen the current.,434.0,"448,0,0,,449,0,0,,"
435,435,Increase the current (in series of batteries),435.0,"450,0,0,,"
436,436,Open and close the swoosh.,436.0,"451,1,0,,"
437,437,Add batteries.,437.0,"452,0,0,,"
438,438,"A magnetic field flows around the current, and the larger the force, the greater the force of the magnetic field, so if a battery is added and connected in series, the needle of the compass moves more.",438.0,"453,1,0,,"
439,439,?,439.0,"454,1,0,,"
440,440,Remove the needle from the compass and turn it around,440.0,"455,0,0,,"
441,441,Add more electricity,441.0,"456,0,0,,"
442,442,Using Magnets,442.0,"457,1,0,,"
443,443,Connect additional batteries in series,443.0,"458,1,0,,"
444,444,Add batteries.,444.0,"459,1,0,,"
445,445,Don't know,445.0,"460,0,0,,"
446,446,I don't know,446.0,"461,1,0,,"
447,447,He he,447.0,"462,1,1,,"
448,448,Put in more batteries.,448.0,"463,1,0,,"
449,449,I don't know.,449.0,"464,1,0,,"
450,450,Use stronger batteries,450.0,"465,1,0,,"
451,451,It sends the electric current harder,451.0,"466,1,0,,"
452,452,coil a compass,452.0,"467,1,0,,"
453,453,?,453.0,"468,1,0,,"
454,454,Use a more powerful battery.,454.0,"469,1,0,,"
455,455,Add batteries. Add batteries,455.0,"470,1,0,,"
456,456,use a battery with a strong current,456.0,"471,0,0,,"
457,457,.,457.0,"472,1,0,,"
458,458,Add more batteries.,458.0,"473,0,0,,"
459,459,I think we can add a magnet,459.0,"474,1,0,,"
460,460,Increase the voltage by adding batteries,460.0,"475,1,0,,"
461,461,increase the intensity of an electric current,461.0,"476,1,0,,"
462,462,Increases the amount of electric current.,462.0,"477,1,0,,"
463,463,Increase the voltage.,463.0,"478,1,0,,479,1,1,,"
464,464,Increase the intensity of the current.,464.0,"480,0,0,,"
465,465,Add more batteries,465.0,"481,1,0,,"
466,466,Add batteries.,466.0,"482,0,0,,"
467,467,Add more batteries.,467.0,"483,1,0,,"
468,468,I don't know...,468.0,"484,1,0,,"
469,469,Increase the number of batteries,469.0,"485,1,0,,"
470,470,"""I'm done",470.0,"486,1,0,,"
471,471,"""",471.0,"487,1,0,,"
472,472,Add more batteries,472.0,"488,1,0,,"
473,473,Increase the voltage of the battery to increase the intensity of the current.,473.0,"489,1,0,,"
474,474,Place the current-carrying wires on both sides and press the right and left switches alternately.,474.0,"490,0,0,,"
475,475,"Connect the batteries in series and make them stronger, allowing more current to flow",475.0,"491,1,0,,"
476,476,Connect the batteries in series and make them stronger so that more batteries flow,476.0,"492,0,0,,"
477,477,Install a tool that can resist electricity,477.0,"493,1,0,,"
478,478,.,478.0,"494,0,1,,"
479,479,Use more batteries,479.0,"495,1,0,,"
480,480,I don't know.,480.0,"496,1,0,,"
481,481,Add more electrical circuits to supply more electricity,481.0,"497,0,1,,"
482,482,Press the switch.,482.0,"498,1,0,,"
483,483,Connect more batteries.,483.0,"499,1,0,,"
484,484,Add batteries.,484.0,"500,0,0,,"
485,485,Connect more batteries in series.,485.0,"501,1,0,,"
486,486,"If you put more batteries together, the compass moves because of the power of the batteries",486.0,"502,1,0,,"
487,487,Connect additional batteries in series.,487.0,"503,1,0,,"
488,488,That's right?,488.0,"504,0,1,,"
489,489,Use the cell as a stronger one.,489.0,"505,0,0,,"
490,490,Don't know,490.0,"506,1,0,,"
491,491,Further connect the cells in a series structure.,491.0,"507,0,0,,"
492,492,You can use the poles of the magnet,492.0,"508,1,0,,509,0,0,,"
493,493,It increases the intensity of the current flowing through the electrical circuit,493.0,"510,0,0,,"
494,494,Increase the power of electricity by adding batteries.use a magnet,494.0,"511,1,0,,"
495,495,It allows more current to flow.,495.0,"512,0,0,,"
496,496,Repeat after connecting the electrical circuit,496.0,"513,0,0,,"
497,497,an asterisk,497.0,"514,0,0,,"
498,498,use electricity to generate magnetic force,498.0,"515,0,0,,"
499,499,Electricity is applied to the compass.,499.0,"516,0,0,,"
500,500,Remove the battery and turn it into electricity,500.0,"517,0,1,,"
501,501,Magnet,501.0,"518,1,0,,"
502,502,All right.,502.0,"519,0,0,,"
503,503,battery,503.0,"520,1,0,,"
504,504,I don't know.,504.0,"521,1,0,,"
505,505,battery,505.0,"522,0,0,,"
506,506,I don't understand.,506.0,"523,1,0,,"
507,507,"""",507.0,"524,0,0,,"
508,508,"""I don't know""",508.0,"525,0,0,,"
509,509,Add a lot of electrical circuits,509.0,"526,0,0,,"
510,510,I don't know.,510.0,"527,1,0,,"
511,511,The compass can be tested without moving,511.0,"528,1,1,,"
512,512,Don't know,512.0,"529,1,0,,"
513,513,I don't know.,513.0,"530,0,0,,"
514,514,I don't know.,514.0,"531,0,0,,"
515,515,"""I'm holding a magnet",515.0,"532,1,0,,"
516,516,"""",516.0,"533,0,0,,"
517,517,Add an electrical circuit,517.0,"534,1,0,,"
518,518,I don't know.,518.0,"535,0,1,,"
519,519,Add batteries,519.0,"536,1,0,,"
520,520,Add more batteries.,520.0,"537,1,0,,"
521,521,Uncover the compass and turn the needle with the propeller.,521.0,"538,1,0,,539,1,0,,"
522,522,Battery,522.0,"540,0,0,,"
523,523,?,523.0,"541,1,0,,"
524,524,to bring an iron-based on the iron stuff,524.0,"542,1,1,,"
525,525,Don't know,525.0,"543,1,0,,"
526,526,"Change the positions of the N and S poles of the wire, change the direction of the current.",526.0,"544,1,0,,"
527,527,Add a magnet.,527.0,"545,0,0,,"
528,528,battery,528.0,"546,1,0,,"
529,529,damn,529.0,"547,1,0,,"
530,530,Change the flow,530.0,"548,1,0,,"
531,531,Add an electrical circuit to move the needle more,531.0,"549,0,0,,"
532,532,Hmm? What?,532.0,"550,1,0,,"
533,533,You can add it,533.0,"551,1,0,,"
534,534,Magnet,534.0,"552,1,0,,"
535,535,change the direction of an electric current,535.0,"553,1,1,,"
536,536,"""Sends more current",536.0,"554,0,0,,"
537,537,"All you need is a battery that sends you more energy.""",537.0,"555,1,0,,"
538,538,Add more batteries,538.0,"556,0,0,,"
539,539,It allows an electric current to flow.,539.0,"557,1,0,,"
540,540,Press the switch,540.0,"558,1,0,,"
541,541,to increase the current,541.0,"559,1,0,,"
542,542,You need to have more magnetism,542.0,"560,1,0,,"
543,543,It sends out greater energy.,543.0,"561,0,1,,"
544,544,Changing the ice direction of electric current in an electric circuit,544.0,"562,1,0,,"
545,545,I don't know yet.,545.0,"563,1,0,,"
546,546,Connect the same pole to the compass using one more battery.,546.0,"564,1,0,,"
547,547,It makes the current flowing stronger.,547.0,"565,1,0,,"
548,548,It allows the current to flow more.,548.0,"566,0,0,,"
549,549,Turn around.,549.0,"567,1,0,,"
550,550,Move more wires,550.0,"568,1,0,,569,0,0,,"
551,551,Connect a lot of batteries.,551.0,"570,0,0,,"
552,552,send more electricity,552.0,"571,0,0,,"
553,553,Use stronger magnets.,553.0,"572,1,0,,"
554,554,I don't know.,554.0,"573,0,0,,"
555,555,I think we need to put more wires and batteries.,555.0,"574,0,0,,"
556,556,I opened the switch Close and repeat.,556.0,"575,1,0,,"
557,557,causing more current to flow,557.0,"576,0,0,,"
558,558,Repeat the switch a lot,558.0,"577,0,0,,"
559,559,causing more current to flow,559.0,"578,0,0,,"
560,560,I think we can make more electricity flow,560.0,"579,0,0,,"
561,561,use a magnet,561.0,"580,0,0,,"
562,562,increase the amount of electricity,562.0,"581,0,0,,"
563,563,It makes the current flow strongly.,563.0,"582,1,0,,"
564,564,Replace batteries with new ones or change electricity.,564.0,"583,1,0,,"
565,565,The current flow is better attached so that it can move well.,565.0,"584,1,1,,"
566,566,"If you play more accurately side by side, you will move more.",566.0,"585,0,1,,"
567,567,It uses more batteries.,567.0,"586,1,0,,"
568,568,You'll just have to let more current flow.,568.0,"587,0,0,,"
569,569,I don't know.,569.0,"588,1,0,,"
570,570,I don't know.,570.0,"589,1,0,,"
571,571,I don't know.,571.0,"590,0,0,,"
572,572,"If the current moves in many directions, the needle on the compass will move more.",572.0,"591,1,0,,"
573,573,Keep turning the desk,573.0,"592,1,0,,"
574,574,I don't know.,574.0,"593,1,1,,"
575,575,Abbreviate electrical current.,575.0,"594,1,1,,"
576,576,I don't know,576.0,"595,1,0,,"
577,577,?,577.0,"596,1,1,,"
578,578,I don't know.,578.0,"597,1,1,,"
579,579,I don't know,579.0,"598,1,0,,599,1,1,,"
580,580,I don't know.,580.0,"600,1,1,,"
581,581,???????????????????????????????????????????????????????????????????????????,581.0,"601,1,0,,"
582,582,Increase the temperature of the electrical circuit.,582.0,"602,1,0,,"
583,583,Add batteries.,583.0,"603,0,0,,"
584,584,It uses electricity and magnets to make it fail.,584.0,"604,0,0,,"
585,585,Put a magnet in.,585.0,"605,1,0,,"
586,586,You can use electricity.,586.0,"606,1,0,,"
587,587,I don't know,587.0,"607,0,0,,"
588,588,I'm going to put on more batteries,588.0,"608,1,0,,"
589,589,Add more batteries to the electrical circuit because more electricity is needed.,589.0,"609,1,0,,"
590,590,"water, sunlight, soil",590.0,"610,1,0,,"
591,591,Electricity is enhanced by adding electric wires to the electrical circuit.,591.0,"611,1,0,,"
592,592,to send an electric current through,592.0,"612,1,0,,"
593,593,It makes the magnet biggerUse magnets or throttle (?).,593.0,"613,1,0,,"
594,594,Add the amount of current.,594.0,"614,1,0,,"
595,595,Make the magnet stronger and buy the necessary tools.,595.0,"615,1,0,,"
596,596,"I don't know, but I think we can just put the magnet and spin it around.",596.0,"616,1,0,,"
597,597,to use a car battery,597.0,"617,0,0,,"
598,598,Use a magnet.,598.0,"618,1,0,,"
599,599,Put a magnet on it.,599.0,"619,0,0,,"
600,600,Add more batteries.,600.0,"620,0,0,,"
601,601,Close the switch to change the direction in which the current flows.,601.0,"621,0,0,,"
602,602,unlearned,602.0,"622,1,0,,"
603,603,You can use centrifugal force to close and open the switch at the right timing.,603.0,"623,0,0,,"
604,604,"If it doesn't move, we'll add more electrical circuits",604.0,"624,1,0,,"
605,605,cause a stronger current to flow,605.0,"625,0,0,,"
606,606,I didn't even learn,606.0,"626,1,0,,"
607,607,Connect the car battery.,607.0,"627,1,0,,"
608,608,"If you let the electricity flow fast and a lot,",608.0,"628,0,1,,629,1,0,,"
609,609,Add batteries,609.0,"630,1,0,,"
610,610,It sends more electric current.,610.0,"631,1,0,,"
611,611,make electricity stronger,611.0,"632,1,0,,"
612,612,"Add another battery. Instead of connecting in series, connect in parallel so that you can receive more force.",612.0,"633,1,0,,"
613,613,Add batteries or substances with current flow electricity,613.0,"634,1,0,,"
614,614,Try moving the switch.,614.0,"635,1,0,,"
615,615,Put the batteries in,615.0,"636,0,0,,"
616,616,Move the desk.,616.0,"637,1,0,,"
617,617,Add more batteries.,617.0,"638,1,0,,"
618,618,I don't know.,618.0,"639,1,0,,"
619,619,I don't know.,619.0,"640,1,0,,"
620,620,I don't know,620.0,"641,1,0,,"
621,621,Increases the magnitude of the current.,621.0,"642,1,0,,"
622,622,.,622.0,"643,1,0,,"
623,623,Connect several batteries.,623.0,"644,1,0,,"
624,624,I don't know,624.0,"645,1,0,,"
625,625,It makes the current flow more,625.0,"646,1,0,,"
626,626,Let's say the battery is strong,626.0,"647,1,0,,"
627,627,Bring a magnet.,627.0,"648,0,0,,"
628,628,Increase the amount of current flowing through the wire.,628.0,"649,0,0,,"
629,629,It makes the current flow harder.,629.0,"650,1,0,,"
630,630,"If you increase the intensity of electricity and speed up the flow of current, the compass needle will move more.",630.0,"651,1,0,,"
631,631,More undercurrents are likely to be needed.,631.0,"652,1,0,,"
632,632,The battery is further connected to allow a strong current to flow.,632.0,"653,1,0,,"
633,633,We need to add batteries,633.0,"654,1,0,,"
634,634,Use a more powerful battery. Use more batteries.,634.0,"655,0,0,,"
635,635,I don't know,635.0,"656,1,0,,"
636,636,cause the current to flow harder,636.0,"657,1,0,,"
637,637,Add batteries or use strong batteries,637.0,"658,1,0,,659,1,0,,"
638,638,Add batteries.,638.0,"660,1,0,,"
639,639,Increase the number of batteries.,639.0,"661,1,0,,"
640,640,Add Battery,640.0,"662,1,0,,"
641,641,Add batteries to allow more current to flow.,641.0,"663,1,0,,"
642,642,Change the positions of the + and - poles of electricity.,642.0,"664,1,0,,"
643,643,Add a battery to allow more current to flow.,643.0,"665,0,1,,"
644,644,use more batteries,644.0,"666,0,0,,"
645,645,Add more batteries to make the current stronger,645.0,"667,1,1,,"
646,646,Add batteries and connect them in series to strengthen the current.,646.0,"668,0,0,,"
647,647,I don't know,647.0,"669,1,0,,"
648,648,Press and release the switch quickly,648.0,"670,1,0,,"
649,649,increase the electric current,649.0,"671,1,0,,"
650,650,Add more batteries.,650.0,"672,1,0,,"
651,651,I'm going to add one more electrical circuit,651.0,"673,0,0,,"
652,652,Increases the power of electrons?,652.0,"674,0,0,,"
653,653,Add an electrical circuit,653.0,"675,0,0,,"
654,654,.,654.0,"676,1,0,,"
655,655,It allows a stronger current to flow.,655.0,"677,1,0,,"
656,656,Add batteries.,656.0,"678,1,0,,"
657,657,Connect more batteries to make the current stronger.,657.0,"679,1,0,,"
658,658,Change the direction of the current.,658.0,"680,1,0,,"
659,659,The current needs to be stronger.,659.0,"681,1,0,,"
660,660,to increase the current,660.0,"682,1,0,,"
661,661,Serial battery connection,661.0,"683,1,0,,"
662,662,Add batteries.,662.0,"684,1,0,,"
663,663,Connect the batteries in series.,663.0,"685,1,0,,"
664,664,Take a magnet and put it on the compass and the needle will move more.,664.0,"686,1,0,,"
665,665,Forgetting,665.0,"687,1,0,,"
666,666,"The number of batteries can be connected more in series. The reason why the needle of the compass moves is due to the magnetic force due to the electric force, and since the intensity of the electric force and the intensity of the magnetic force are proportional, increase the number of batteries that can increase the intensity of the current.",666.0,"688,1,0,,689,1,0,,"
667,667,I don't know,667.0,"690,1,0,,"
668,668,A circuit should be added to allow the compass to move due to friction between the N and S poles.,668.0,"691,0,0,,"
669,669,Turn on the electrical circuit,669.0,"692,0,0,,"
670,670,Let the same biographies meet,670.0,"693,1,0,,"
671,671,to make the current flow more strongly,671.0,"694,0,1,,"
672,672,Place the wires on the compass.,672.0,"695,0,0,,"
673,673,I don't know...,673.0,"696,1,0,,"
674,674,(I don't know),674.0,"697,1,1,,"
675,675,Switch on and off and repeat,675.0,"698,1,0,,"
676,676,Let's make more electrical circuits.,676.0,"699,1,1,,"
677,677,It allows an electric current to flow.,677.0,"700,1,0,,"
678,678,You have to press the switch more to make the current flow better,678.0,"701,1,1,,"
679,679,Connect the battery more by connecting it in series.,679.0,"702,1,0,,"
680,680,Maybe we can make more electricity flow,680.0,"703,1,0,,"
681,681,Add more batteries and batteries,681.0,"704,1,0,,"
682,682,Add batteries and close the switch,682.0,"705,0,0,,"
683,683,a lot of electricity,683.0,"706,1,0,,"
684,684,Add and connect circuits.,684.0,"707,0,0,,"
685,685,"If you connect multiple electrical circuits and place them on a compass, they will move more.",685.0,"708,1,0,,"
686,686,Add an electrical circuit.,686.0,"709,0,1,,"
687,687,Connect more batteries to increase the strength of electricity.,687.0,"710,1,1,,"
688,688,Connect two more wires.,688.0,"711,0,1,,"
689,689,Connect more electrical circuits.,689.0,"712,0,1,,"
690,690,N o m n o m n o m,690.0,"713,0,0,,"
691,691,I don't know,691.0,"714,1,0,,"
692,692,Connect one more battery in seriesput a magnet around,692.0,"715,1,0,,"
693,693,I don't know,693.0,"716,1,0,,"
694,694,Add wires to make more current flow.,694.0,"717,1,0,,"
695,695,"The compass moves according to the magnet, but when you make electricity flow through the wire, the needle in the compass moves",695.0,"718,0,1,,719,1,1,,"
696,696,Use more electricity to make it move,696.0,"720,1,0,,"
697,697,Electricity and magnetism?,697.0,"721,1,0,,"
698,698,Add batteries.,698.0,"722,1,1,,"
699,699,"The compass moves according to the magnet, and the needle of the compass moves when current flows through the wire.",699.0,"723,1,0,,"
700,700,Use battery and cable lines to move,700.0,"724,1,1,,"
701,701,Experiment with two layers of wires.,701.0,"725,1,1,,"
702,702,use more electricity,702.0,"726,1,0,,"
703,703,No.,703.0,"727,0,0,,"
704,704,Add batteries,704.0,"728,1,1,,"
705,705,d,705.0,"729,1,0,,"
706,706,use more electricity,706.0,"730,1,0,,"
707,707,Using a magnet is... What do you think?,707.0,"731,1,0,,"
708,708,I think it would be good to use a magnet instead of electricity.,708.0,"732,1,0,,"
709,709,I think you can put a big magnet on the compass needle and turn it around.,709.0,"733,0,0,,"
710,710,Use a magnet to change the direction of the compass,710.0,"734,0,1,,"
711,711,Move the compass needle and wire in the direction,711.0,"735,1,0,,"
712,712,Let the electricity flow more,712.0,"736,1,0,,"
713,713,You can connect it with two electricity,713.0,"737,1,1,,"
714,714,"A few more batteries are connected in series to increase the intensity of the current, making the needle of the compass move more.",714.0,"738,1,0,,"
715,715,use more electricity,715.0,"739,0,0,,"
716,716,use a magnet,716.0,"740,1,1,,"
717,717,"""What should I do to make the compass needle move more without moving the compass (if you need anything, you can add it to the electrical circuit)? *",717.0,"741,0,0,,"
718,718,"""As the current becomes stronger, the magnetic field around the conductor becomes stronger, so the needle in the compass reacts more loudly by the stronger magnetic field, and the needle in the compass moves more.""",718.0,"742,1,0,,"
719,719,Connect more batteries to increase the current or change the metal used for conducting wires to lower resistance for better electrical conduction. Reduce resistance by shortening the length of the wire and thickening the head system.,719.0,"743,0,0,,"
720,720,"If the battery is possible, connecting a lot in series will make the current stronger, so the compass will move a lot.",720.0,"744,1,0,,"
721,721,Adding a diode to the electrical circuit and continuously changing the direction of the current by continuously changing the direction of the magnetic field can make the compass needle move more.,721.0,"745,1,0,,"
722,722,It makes electricity stronger.,722.0,"746,1,1,,"
723,723,"There is a way to add batteries. The addition of batteries will increase the amount of current flowing through the electrical circuit, thereby making the magnetic field force around the circuit more powerful, so the compass needle made of magnets will also move more.",723.0,"747,1,0,,"
724,724,"This experiment is important because if current flows through a wire, a magnetic field is generated around it. There was no magnetic field in the past, but when the electric current flows to the wire, the magnetic field is formed, so if you use a stronger battery or connect two batteries to make the current stronger, the magnetic field will become stronger and wider, and the needle in the compass will move more.",724.0,"748,1,0,,749,0,0,,"
725,725,The electrical circuit is continuously energized Design and install a device that can be given and given.,725.0,"750,0,0,,"
726,726,I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.,726.0,"751,0,0,,"
727,727,"The reason why the compass moves is that the compass needle, which is a magnet, moves because an electric current flows to form a magnetic field. There is a condition that an electric current must flow for the compass needle to move. In order for the compass to move more, more current must flow. In order to let more current flow, more batteries need to be added. Adding a battery will increase the amount of current flowing, so the compass will move more. This method can also make the compass needle move more, as more current can be seen if the wire is thickened.",727.0,"752,0,0,,"
728,728,Connect additional batteries in series.,728.0,"753,0,1,,"
729,729,"Increase the number of cells to increase the intensity of the current. Alternatively, the electric wire is changed to something made of a material with a small resistance to reduce the resistance and increase the strength of the current.",729.0,"754,0,0,,"
730,730,"The movement of the compass needle is affected by the intensity of the current. To make the needle move more, there is a way to increase the intensity of electricity by adding a battery.",730.0,"755,0,1,,"
731,731,"In a situation where the current in the electric circuit flows, if the pole pointed to by the compass is the same as the pole in the electric circuit, it will move a lot.",731.0,"756,0,0,,"
732,732,Move the red in reverse,732.0,"757,0,0,,"
733,733,an electromagnet,733.0,"758,1,0,,"
734,734,I use more batteries,734.0,"759,0,1,,"
735,735,We need to make the power of electricity stronger,735.0,"760,1,0,,"
736,736,Add an electromagnet,736.0,"761,1,0,,"
737,737,Add another battery.,737.0,"762,1,1,,"
738,738,Replacement of .+rang-seul,738.0,"763,1,0,,"
739,739,Use a powerful current or magnet,739.0,"764,1,0,,"
740,740,I don't know,740.0,"765,0,1,,"
741,741,Add more batteries.,741.0,"766,1,0,,"
742,742,an electric wire,742.0,"767,0,0,,"
743,743,Close the switch and the compass moves as the current flows,743.0,"768,1,1,,"
744,744,"The stronger the current, the more it will move For example, connect two batteries in series.",744.0,"769,1,0,,"
745,745,Raise the intensity of the magnetic force line by raising the intensity of the electron.,745.0,"770,0,0,,"
746,746,Increases the intensity of an electric current.,746.0,"771,1,0,,"
747,747,Add batteries in series.,747.0,"772,0,0,,"
748,748,"To move the compass, there are ways to change the wire to a material with less resistance and to make the wire shorter and thicker.",748.0,"773,1,0,,"
749,749,I don't know.,749.0,"774,0,0,,"
750,750,I didn't learned it yet,750.0,"775,1,0,,"
751,751,I don't know,751.0,"776,1,0,,"
752,752,Magnet,752.0,"777,1,0,,"
753,753,I didn't learn it.,753.0,"778,1,0,,779,1,1,,"
754,754,Magnet,754.0,"780,1,0,,"
755,755,I didn't learn it,755.0,"781,1,0,,"
756,756,I don't know.,756.0,"782,1,0,,"
757,757,Turn it in the direction of the current,757.0,"783,1,0,,"
758,758,Move the magnet.,758.0,"784,1,0,,"
759,759,Add another battery,759.0,"785,1,0,,"
760,760,Add an electrical circuit,760.0,"786,1,0,,"
761,761,We need to increase the magnetic force,761.0,"787,1,0,,"
762,762,Add an electrical circuit.,762.0,"788,1,0,,"
763,763,Connect more batteries,763.0,"789,1,0,,"
764,764,Move the compass needle with a magnet.,764.0,"790,1,0,,"
765,765,Position the electrical circuit.,765.0,"791,1,0,,"
766,766,I don't know,766.0,"792,1,0,,"
767,767,Place a magnet near the electrical circuit (additionally),767.0,"793,0,0,,"
768,768,Place wires and compasses side by side to allow more current to flow.,768.0,"794,0,0,,"
769,769,No learning,769.0,"795,1,1,,"
770,770,"""Use batteries and electric wires to make electricity flow.",770.0,"796,1,0,,"
771,771,(The compass moves on current.),771.0,"797,0,1,,"
772,772,I don't know,772.0,"798,1,0,,"
773,773,Put more wires on the compass.,773.0,"799,1,0,,"
774,774,Light it up,774.0,"800,1,0,,"
775,775,increase the intensity of an electric current Connect more in series or increase the voltage.,775.0,"801,1,0,,"
776,776,Increase the intensity of the electric current.,776.0,"802,1,0,,"
777,777,It makes the current stronger.,777.0,"803,1,0,,"
778,778,Increase the voltage.,778.0,"804,1,0,,"
779,779,Put a magnet on it.,779.0,"805,1,0,,"
780,780,Add more batteries.,780.0,"806,1,0,,"
781,781,Insert more batteries.,781.0,"807,1,0,,"
782,782,Add the battery as a serial connection. Bring the wires closer together.,782.0,"808,0,0,,809,1,0,,"
783,783,Use a stronger battery.,783.0,"810,1,0,,"
784,784,Increase the intensity of the current or bring the wire closer to the compass.,784.0,"811,1,0,,"
785,785,Increase the number of batteries.,785.0,"812,1,0,,"
786,786,Reduce resistance or connect cells in series.,786.0,"813,1,0,,"
787,787,Harder batteries,787.0,"814,1,0,,"
788,788,Increase the number of batteries.,788.0,"815,1,0,,"
789,789,Increase the current intensity.,789.0,"816,1,0,,"
790,790,Add batteries in series.,790.0,"817,1,0,,"
791,791,"Increase the voltage.Reduced resistance, increased battery voltage, increased current",791.0,"818,1,0,,"
792,792,He's doing it the opposite,792.0,"819,1,0,,"
793,793,move the front,793.0,"820,1,0,,"
794,794,"The needle of the compass is moved by a magnetic field flowing around the wire. Therefore, in order to move the needle of the compass larger, you can increase the intensity of the magnetic force flowing around the magnetic field, so you can use a battery with a higher voltage.",794.0,"821,1,0,,"
795,795,Connect the batteries to both sides,795.0,"822,0,0,,"
796,796,It uses a magnet.,796.0,"823,1,0,,"
797,797,It causes the current to flow hard.,797.0,"824,1,1,,"
798,798,Apply more power.,798.0,"825,0,0,,"
799,799,lift only three electric currents,799.0,"826,0,1,,"
800,800,Change the battery to something with a stronger current,800.0,"827,1,0,,"
801,801,It makes the battery stronger.,801.0,"828,1,0,,"
802,802,Use a stronger battery.,802.0,"829,0,0,,"
803,803,It allows an electric current to flow.,803.0,"830,1,0,,"
804,804,It gives a stronger current.,804.0,"831,1,0,,"
805,805,Power up the current.,805.0,"832,1,0,,"
806,806,Use more batteries,806.0,"833,1,0,,"
807,807,Turn the switch off and on quickly.,807.0,"834,0,0,,"
808,808,I think you can use a stronger battery.,808.0,"835,1,0,,"
809,809,Power up the current.,809.0,"836,1,0,,"
810,810,Use a battery with a higher voltage or connect the battery in series to allow a larger current to flow through the circuit.,810.0,"837,1,0,,"
811,811,Use stronger cells or connect more cells to allow larger currents to flow.,811.0,"838,1,0,,839,0,0,,"
812,812,It sends the electric current harder,812.0,"840,0,0,,"
813,813,Add more batteries.,813.0,"841,1,0,,"
814,814,Change to a strong battery or connect several batteries.,814.0,"842,1,0,,"
815,815,It makes the cell stronger.,815.0,"843,0,0,,"
816,816,Reduce resistance by connecting more batteries or increasing the thickness of the wires.,816.0,"844,1,0,,"
817,817,Add a battery to increase the magnitude of the current.,817.0,"845,1,1,,"
818,818,Increase the voltage. (Connect the cells in series.),818.0,"846,0,0,,"
819,819,Add more batteries and connect them in series.,819.0,"847,1,0,,"
