,Unnamed: 0,24. 'Korea' was created when the word 'Goryeo' was spread abroad by Arabian merchants. Let's explain the economy of the Goryeo Dynasty that can be seen through this fact. ,Unnamed: 0,", q24_trade, q24_commercial development, q24_political power, q24_trade.1, q24_commercial development.1,q24_Political power.1"
263,263,brisk trade,263.0,"272,0,0,0,,,"
264,264,This is because trade activities are active,264.0,"273,1,0,1,,,"
265,265,I don't know,265.0,"274,1,0,0,,,"
266,266,Trade was brisk.,266.0,"275,1,0,0,,,"
267,267,I interacted with Arabian merchants,267.0,"276,0,0,0,,,"
268,268,I don't understand.,268.0,"277,0,0,0,,,"
269,269,M and D,269.0,"278,0,0,0,,,"
270,270,I don't understand.,270.0,"279,0,0,0,,,"
271,271,The exchange was active,271.0,"280,1,0,0,,,"
272,272,Unknowingness,272.0,"281,0,0,0,,,"
273,273,"Considering that the Arabian people are talking about Goryeo, it seems that Goryeo has done a lot of ancient things with our country",273.0,"282,1,0,0,,,"
274,274,I don't know.,274.0,"283,0,0,0,,,"
275,275,diplomatic and exchange activities,275.0,"284,1,0,0,,,"
276,276,Even Abaria was considered and passed down,276.0,"285,0,0,0,,,"
277,277,I can see that I have had a lot of relationships with many countries,277.0,"286,1,0,0,,,"
278,278,?,278.0,"287,0,0,0,,,"
279,279,M and D,279.0,"288,0,0,0,,,"
280,280,What's this?,280.0,"289,0,0,0,,,"
281,281,Our country is good,281.0,"290,0,1,0,,,"
282,282,Oh! Our country was known more abroad in the past. I guess we traded in the past.,282.0,"291,0,0,0,,,"
283,283,yes,283.0,"292,0,0,1,,,"
284,284,"During the Goryeo Dynasty, trade with other countries was active.",284.0,"293,0,0,0,,,"
285,285,ㅓ,285.0,"294,0,0,0,,,"
286,286,interaction with other countries,286.0,"295,0,0,0,,,"
287,287,Well.,287.0,"296,1,0,0,,,"
288,288,You can see that he has interacted with many countries like Arabia,288.0,"297,0,0,0,,,"
289,289,It's changing,289.0,"298,1,0,0,,,299,0,0,0,,,"
290,290,I don't know,290.0,"300,1,0,0,,,"
291,291,Arabian merchants must have used many stores in Korea,291.0,"301,0,0,0,,,"
292,292,The economy is good,292.0,"302,1,0,0,,,"
293,293,"I've never been to the past, so I don't know. The Joseon Dynasty is just a prediction",293.0,"303,0,0,0,,,"
294,294,Korea can see that diplomacy was active,294.0,"304,1,1,0,,,"
295,295,It was tough,295.0,"305,1,0,0,,,"
296,296,"It was difficult.If you're curious, go to the internet",296.0,"306,0,0,0,,,"
297,297,I had a lot of exchanges with Arabia,297.0,"307,0,0,0,,,"
298,298,I don't know.,298.0,"308,1,0,0,,,"
299,299,"During the Goryeo Dynasty, they exchanged with each other overseas",299.0,"309,1,0,0,,,"
300,300,I don't know,300.0,"310,0,0,0,,,"
301,301,I lived with many countries,301.0,"311,1,0,0,,,"
302,302,LOL,302.0,"312,1,0,0,,,"
303,303,We had an exchange.,303.0,"313,1,0,0,,,"
304,304,"During the Goryeo Dynasty, the economy seemed to have been a little unstable when many seals were sent abroad",304.0,"314,1,0,0,,,"
305,305,"Goryeo had the economic power to the point where Arabian merchants came in and out, and overseas exchanges were also active",305.0,"315,1,0,0,,,"
306,306,"At that time, Goryeo sold wild ginseng to Arabian merchants because it was famous",306.0,"316,1,0,0,,,"
307,307,Find it yourself if you're curious,307.0,"317,1,0,0,,,"
308,308,"Oh, victory. Korea",308.0,"318,1,0,0,,,"
309,309,It can be seen that they exchanged a lot with other countries during the Goryeo Dynasty.,309.0,"319,1,0,0,,,"
310,310,I had a lot of interaction with the Arabs,310.0,"320,1,0,0,,,"
311,311,I don't know.,311.0,"321,1,0,0,,,"
312,312,"In addition to China and Japan, he also interacted with Western restaurants such as Arabi.",312.0,"322,1,0,0,,,"
313,313,Very actively interacted with other countries.,313.0,"323,1,1,0,,,"
314,314,I traded with Arabia,314.0,"324,0,0,0,,,"
315,315,active trade with other countries,315.0,"325,1,0,0,,,"
316,316,a trading vessel,316.0,"326,1,0,0,,,"
317,317,I traded with a foreign country.,317.0,"327,1,0,0,,,"
318,318,An international trade port existed.,318.0,"328,1,0,1,,,329,0,0,0,,,"
319,319,foreign trade,319.0,"330,1,0,0,,,"
320,320,be active in exchange,320.0,"331,1,0,0,,,"
321,321,It actively interacted with outside regions and other countries.,321.0,"332,1,0,0,,,"
322,322,Foreign trade would have been brisk.,322.0,"333,1,0,0,,,"
323,323,"During the Goryeo Dynasty, active exchanges took place with foreign countries.",323.0,"334,1,0,0,,,"
324,324,It was the center of trade that not only exchanges in Korea but also overseas. Trade earned the nation's wealth.,324.0,"335,1,0,0,,,"
325,325,Unknowingness,325.0,"336,1,0,0,,,"
326,326,We actively interacted in foreign countries,326.0,"337,0,0,0,,,"
327,327,Trade has developed,327.0,"338,0,0,0,,,"
328,328,"As trade develops,",328.0,"339,0,1,0,,,"
329,329,Trade with other countries was active and culture of other countries was accepted a lot,329.0,"340,0,1,0,,,"
330,330,You're so,330.0,"341,1,0,0,,,"
331,331,Trade has developed,331.0,"342,1,0,0,,,"
332,332,Trade between merchants and our country was brisk.,332.0,"343,1,0,0,,,"
333,333,Trade was active not only in Asia but also in Europe.,333.0,"344,1,0,0,,,"
334,334,Trade was brisk,334.0,"345,1,0,0,,,"
335,335,Trade has developed,335.0,"346,1,0,0,,,"
336,336,I had a lot of trade and exchanges with other countries.,336.0,"347,1,0,0,,,"
337,337,We had a lot of exchanges,337.0,"348,0,1,0,,,"
338,338,"There are many products recognized by foreign countries, so I think the economy was not rich, but it was worth living",338.0,"349,1,0,0,,,"
339,339,"As expected, Global Korea",339.0,"350,1,0,0,,,"
340,340,There were so many items that people from other countries came.,340.0,"351,1,0,0,,,"
341,341,Economic activity was brisk,341.0,"352,1,0,0,,,"
342,342,Goryeo had a lot of exchanges with other countries.,342.0,"353,1,0,0,,,"
343,343,Trade with various countries was brisk,343.0,"354,0,0,0,,,"
344,344,It can be seen that we exchanged with many countries during the Goryeo Dynasty.,344.0,"355,1,0,0,,,"
345,345,"In this era, Korea traded goods with other countries",345.0,"356,1,0,0,,,"
346,346,"When foreign merchants came in, the word Corea came into being.""",346.0,"357,1,0,0,,,"
347,347,I had exchanges with many countries,347.0,"358,1,0,0,,,359,1,0,0,,,"
348,348,I had exchanges with many countries,348.0,"360,1,0,0,,,"
349,349,I can see that I have had a lot of exchanges with other countries,349.0,"361,1,0,0,,,"
350,350,"At that time, a lot of supplies came into Goryeo and a lot of material resources came from Arabia",350.0,"362,1,1,0,,,"
351,351,You can see that Goryeo interacted with many countries around the world.,351.0,"363,0,0,1,,,"
352,352,You can see that I had a lot of exchanges with foreign countries.,352.0,"364,0,0,0,,,"
353,353,I interacted with Arabia.,353.0,"365,0,0,0,,,"
354,354,I had a lot of exchanges with Arabian merchants.,354.0,"366,1,1,0,,,"
355,355,I traded with Arabian merchants,355.0,"367,1,0,0,,,"
356,356,I don't know,356.0,"368,1,0,0,,,"
357,357,"During the Goryeo Dynasty, many international trade took place, including Arabian merchants.",357.0,"369,1,1,0,,,"
358,358,"During the Goryeo Dynasty, our country was a trading power.",358.0,"370,0,0,0,,,"
359,359,"During the Goryeo Dynasty, our country traded with Arabian merchants",359.0,"371,1,0,0,,,"
360,360,"He also traded with foreigners, not only domestic economic activities.",360.0,"372,0,0,1,,,"
361,361,"During the Goryeo Dynasty, merchants interacted a lot with Arabian merchants.",361.0,"373,1,0,0,,,"
362,362,"It can be seen that Goryeo traded not only to nearby countries such as China and Japan, but also to distant regions such as Arabia.",362.0,"374,1,0,0,,,"
363,363,I traded with foreigners.,363.0,"375,1,0,0,,,"
364,364,Goryeo developed its economy by trading with Arabian merchants.,364.0,"376,1,0,0,,,"
365,365,You can see that he's doing diplomacy Byeokran-do is the best,365.0,"377,1,0,0,,,"
366,366,The economy of the Goryeo Dynasty is in its infancy,366.0,"378,0,0,0,,,"
367,367,I don't know,367.0,"379,1,0,0,,,"
368,368,"Through Byeokran Island, economic growth was achieved through many trade with various countries",368.0,"380,0,0,0,,,"
369,369,I lived in communication with foreigners,369.0,"381,1,0,0,,,"
370,370,Trade with other countries has developed.,370.0,"382,0,0,0,,,"
371,371,"During the Goryeo Dynasty, not only Arabian merchants but also around the world through Byeokrando Island, and the economy grew very much.",371.0,"383,0,0,0,,,"
372,372,The economic trade was so huge,372.0,"384,0,0,0,,,"
373,373,"During the Goryeo Dynasty, they exchanged with Arabian merchants",373.0,"385,1,0,0,,,"
374,374,"During the Goryeo Dynasty, I was influenced by other countries and followed them",374.0,"386,1,0,0,,,"
375,375,The Goryeo people interacted with foreign merchants through Byeokrando Island.,375.0,"387,1,0,0,,,"
376,376,The Goryeo people interacted with foreign merchants through Byeokrando Island.,376.0,"388,1,1,0,,,389,1,0,0,,,"
377,377,You can see that they traded with Arabian merchants through Byeokran-do during the Goryeo Dynasty.,377.0,"390,1,0,1,,,"
378,378,"It can be seen that during the Goryeo Dynasty, there were many exchanges with Arabai merchants.",378.0,"391,0,1,0,,,"
379,379,International trade was brisk,379.0,"392,1,0,0,,,"
380,380,Unknowingness,380.0,"393,1,0,0,,,"
381,381,"It can be seen that during the Goryeo Dynasty, he had a lot of exchanges with other countries.",381.0,"394,1,0,0,,,"
382,382,M and D,382.0,"395,0,0,0,,,"
383,383,I had an exchange with Arabian merchants,383.0,"396,1,0,0,,,"
384,384,I don't know,384.0,"397,1,0,0,,,"
385,385,I won't tell you ^^,385.0,"398,1,0,0,,,"
386,386,sorry,386.0,"399,1,0,0,,,"
387,387,It was forming a trade economy.,387.0,"400,1,0,0,,,"
388,388,"It can be seen that during the Goryeo Dynasty, they traded with Arabian merchants.",388.0,"401,1,0,0,,,"
389,389,I think you can see that I traded a lot with other countries.,389.0,"402,1,0,0,,,"
390,390,"During the Goryeo Dynasty, Goryeo would have been economically prosperous by trading a lot with other countries",390.0,"403,1,0,0,,,"
391,391,Trade is fairly advanced.,391.0,"404,0,0,0,,,"
392,392,I have done diplomacy with other countries since the Goryeo Dynasty. Our country was good at developing through exchange.,392.0,"405,1,0,1,,,"
393,393,Business has developed,393.0,"406,1,0,0,,,"
394,394,"You can also see that you interacted with the merchants of Ariba, that you communicated with the merchants of Arabia, and so on.",394.0,"407,1,1,0,,,"
395,395,Trade with foreign countries was brisk.Trade with other countries was very advanced.,395.0,"408,1,0,0,,,"
396,396,"During the Goryeo Dynasty, Korea was built through the port of Byeokrando.",396.0,"409,0,0,0,,,"
397,397,"Not only in Korea, but also in the East and the West.",397.0,"410,1,0,0,,,"
398,398,"During the Goryeo Dynasty, people spent a lot of time interacting with foreign people.",398.0,"411,0,0,0,,,"
399,399,I traded with people from other countries.,399.0,"412,1,0,0,,,"
400,400,"During the Goryeo Dynasty, trade was so active that it was traded with Arabian merchants.",400.0,"413,1,1,0,,,"
401,401,There was frequent interaction with Arabian merchants.,401.0,"414,1,0,0,,,"
402,402,"It can be seen that during the Goryeo Dynasty, they actively engaged in trade activities with foreign countries.",402.0,"415,1,0,0,,,"
403,403,"At that time, there was an exchange with foreign countries.",403.0,"416,1,0,0,,,"
404,404,I traded with many countries.,404.0,"417,1,0,0,,,"
405,405,"The economy of the Goryeo Dynasty seems to have a state-led open economy. Trade in exchange for various technologies and products would not have been possible in a feudal society without institutional support from the government. Therefore, it seems that the state took the lead in the open economy.",405.0,"418,1,0,0,,,419,0,1,0,,,"
406,406,The economy of the Goryeo Dynasty must have had an international character that actively traded not only with domestic and neighboring countries but also with countries on the far side of the globe.,406.0,"420,0,0,0,,,"
407,407,Trade developed and traded with Arabian merchants on Byeollando Island,407.0,"421,0,0,0,,,"
408,408,"During the Goryeo Dynasty, exchanges with foreign countries were active enough to trade with Arabia, earned foreign currency well, and the economy worked well.",408.0,"422,1,0,0,,,"
409,409,"There was a Byeokran-do in Goryeo. Through this trading port, it was opened to Arabian merchants. What can be seen from this is that trade took place very actively during the Goryeo Dynasty.",409.0,"423,1,0,0,,,"
410,410,",",410.0,"424,1,0,0,,,"
411,411,"""Koryo's pronunciation is similar to the word, so it feels like it was bad.""",411.0,"425,1,0,0,,,"
412,412,"It is very surprising that we interacted with Arabia in the context of the times.""",412.0,"426,1,0,0,,,"
413,413,Ankimchi. (Ankimchi in Korean),413.0,"427,0,0,0,,,"
414,414,I also traded with an Arabian merchant,414.0,"428,1,0,0,,,"
415,415,Trade with other countries was active and the economy was active.,415.0,"429,0,0,0,,,"
416,416,I interacted a lot with other countries.,416.0,"430,1,0,0,,,"
417,417,It can be seen that Goryeo traded with many countries at that time. ^^7,417.0,"431,0,0,0,,,"
418,418,"During the Goryeo Dynasty, exchanges with other countries were active",418.0,"432,0,0,0,,,"
419,419,I traded a lot with other countries.,419.0,"433,1,0,0,,,"
420,420,"During the Goryeo Dynasty, he interacted with Arabian merchants and communicated verbally.",420.0,"434,0,1,0,,,"
421,421,The economy seems to have been active,421.0,"435,1,0,0,,,"
422,422,i love korea,422.0,"436,1,0,0,,,"
423,423,I love korea,423.0,"437,1,0,0,,,"
424,424,Many exchanges with Arabian merchants,424.0,"438,1,0,0,,,"
425,425,There was a lot of interaction with Arabian merchants,425.0,"439,1,0,0,,,"
426,426,It can be seen that they exchanged and traded with foreign merchants in the port,426.0,"440,1,0,0,,,"
427,427,It is an economy that trades with other countries.,427.0,"441,1,0,0,,,"
428,428,I traded with many countries.,428.0,"442,1,0,0,,,"
429,429,the birth of a land system,429.0,"443,1,0,0,,,"
430,430,"During the Goryeo Dynasty, the word Korea was born, which means that Western countries pronounced Goryeo Korea because they were not good at Korean, indicating that exchanges with the West were active during the Goryeo Dynasty.",430.0,"444,0,0,0,,,"
431,431,I don't know.,431.0,"445,1,0,0,,,"
432,432,"During the Goryeo Dynasty, there were many communication and exchanges with foreign countries",432.0,"446,1,0,0,,,"
433,433,It is interesting that our country is remembered as Goryeo instead of Korea,433.0,"447,1,0,0,,,"
434,434,I experimented with antenna electricity,434.0,"448,1,0,0,,,449,0,0,0,,,"
435,435,Goryeo was the center of trade.,435.0,"450,0,0,0,,,"
436,436,This is because Goryeo accepted Goguryeo's cultural heritage and was actively carried out in the national economy,436.0,"451,1,0,0,,,"
437,437,"Goryeo also interacted with merchants from the West, including merchants from Arabia",437.0,"452,0,0,0,,,"
438,438,I had a lot of exchanges with foreign countries.,438.0,"453,1,0,0,,,"
439,439,"Due to the development of an international trade port called Byeokrando Island, external exchanges were active.",439.0,"454,0,0,0,,,"
440,440,A local trading port called Byeokrando was activated and even Arabian merchants traveled.,440.0,"455,1,0,0,,,"
441,441,Goryeo interacted with many countries.,441.0,"456,1,0,0,,,"
442,442,Trading with Arabian merchants.,442.0,"457,0,0,0,,,"
443,443,active foreign exchange,443.0,"458,1,1,0,,,"
444,444,"During the Goryeo Dynasty, there was active foreign exchange",444.0,"459,1,0,0,,,"
445,445,Trade flourished in Byeollando Island.,445.0,"460,1,0,0,,,"
446,446,It's because we've improved,446.0,"461,0,0,0,,,"
447,447,Overseas exports are the best,447.0,"462,1,0,0,,,"
448,448,Overseas trade was brisk,448.0,"463,0,0,0,,,"
449,449,Trade has developed.,449.0,"464,1,0,0,,,"
450,450,You can see that there was also interaction with Arabia,450.0,"465,1,0,0,,,"
451,451,I worked hard until Arabia.,451.0,"466,0,0,0,,,"
452,452,That's nice,452.0,"467,1,0,0,,,"
453,453,Alternating current activation,453.0,"468,1,0,0,,,"
454,454,It was lively.,454.0,"469,1,0,0,,,"
455,455,Trade with countries beyond the sea through Byeokran Island,455.0,"470,1,0,0,,,"
456,456,I don't know,456.0,"471,1,0,0,,,"
457,457,Trade and exchanges with foreign countries were active,457.0,"472,1,1,0,,,"
458,458,The trade has developed to the point where Arabian merchants come and go.,458.0,"473,1,1,0,,,"
459,459,It's active,459.0,"474,1,1,0,,,"
460,460,The economy of the Goryeo Dynasty seemed to have developed so much that it was widely known through many trade with other countries.,460.0,"475,1,0,0,,,"
461,461,He engaged in active trade with Arabian merchants.,461.0,"476,0,0,0,,,"
462,462,It was active in exchange with foreign countries.,462.0,"477,1,0,0,,,"
463,463,I don't know.,463.0,"478,0,0,0,,,479,0,0,0,,,"
464,464,They traded with faraway countries like Arabian merchants,464.0,"480,1,0,0,,,"
465,465,The beginning of Silky Boys,465.0,"481,1,0,0,,,"
466,466,It can be seen that the economy of the Goryeo Dynasty traded with foreign countries through a port called Byeokrando.,466.0,"482,1,0,0,,,"
467,467,"It can be seen that during the Goryeo Dynasty, they engaged in trade activities with Arabian merchants.",467.0,"483,0,1,0,,,"
468,468,"Many foreign merchants, including Arabia, were able to enter Goryeo",468.0,"484,0,0,0,,,"
469,469,"During the Goryeo Dynasty, trade was actively carried out with foreign countries.",469.0,"485,1,1,0,,,"
470,470,Goryeo traded with western countries such as Arabia.,470.0,"486,1,0,0,,,"
471,471,Trade has developed.,471.0,"487,1,0,0,,,"
472,472,It can be seen that trade activities were carried out with various countries through the port called Byeokrando Island.,472.0,"488,0,0,0,,,"
473,473,Trade has developed.,473.0,"489,1,0,0,,,"
474,474,"During the Goryeo Dynasty, the port of Byeokran-do was used to exchange not only with China and Japan, but also with far-flung countries. (The geographical nature of the peninsula also influenced the international exchange of Goryeo.)",474.0,"490,0,0,0,,,"
475,475,"It was an economically open country to the point of international trade on Byeokran Island, an economic society with developed commerce and a developed trade economy.",475.0,"491,1,0,0,,,"
476,476,It was an international economy that could trade with Arabian merchants.,476.0,"492,0,0,0,,,"
477,477,I had exchanges with many countries,477.0,"493,0,0,0,,,"
478,478,Unknowingness,478.0,"494,0,0,0,,,"
479,479,Goryeo had excellent trade,479.0,"495,1,0,0,,,"
480,480,Unknowingness,480.0,"496,0,0,0,,,"
481,481,Unknowingness,481.0,"497,0,0,0,,,"
482,482,There was active exchange in foreign countries,482.0,"498,1,1,0,,,"
483,483,an exchange society,483.0,"499,1,0,0,,,"
484,484,We exchanged a lot,484.0,"500,1,0,0,,,"
485,485,The economy has picked up.,485.0,"501,0,0,0,,,"
486,486,You've improved a lot,486.0,"502,1,0,0,,,"
487,487,"As famous ginseng and celadon became known around the world during the Goryeo Dynasty, Goryeo traded with many foreign countries, and Goryeo's economy would have soared.",487.0,"503,0,1,0,,,"
488,488,Korea's trade was so active.,488.0,"504,0,1,0,,,"
489,489,I interacted with Arabia.,489.0,"505,0,0,0,,,"
490,490,Goryeo also knew the existence of Arabia.,490.0,"506,0,0,0,,,"
491,491,active exchange with foreign countries,491.0,"507,1,0,0,,,"
492,492,Unknowingness,492.0,"508,0,0,0,,,509,1,0,0,,,"
493,493,I made a trade.,493.0,"510,1,0,0,,,"
494,494,a good situationI don't know.,494.0,"511,1,0,0,,,"
495,495,Many Arabs and foreigners came and went to our country. There were many merchants.,495.0,"512,0,0,0,,,"
496,496,I had exchanges with other countries.,496.0,"513,1,0,0,,,"
497,497,I don't know.,497.0,"514,1,0,0,,,"
498,498,I don't know,498.0,"515,1,1,0,,,"
499,499,"During the Goryeo Dynasty, the economy was developed by trading with many countries such as Arabia.",499.0,"516,1,0,0,,,"
500,500,Foreign and economic activities were active and Korea's existence was announced abroad.,500.0,"517,1,0,0,,,"
501,501,I had a lot of exchanges with Arabian merchants. The same goes for China,501.0,"518,0,0,0,,,"
502,502,Don't know,502.0,"519,1,0,0,,,"
503,503,He actively engaged in exchanges with various countries.,503.0,"520,1,0,0,,,"
504,504,very wealthy,504.0,"521,0,0,0,,,"
505,505,wealth,505.0,"522,0,0,0,,,"
506,506,Goryeo communicates a lot with neighboring countries.,506.0,"523,0,0,0,,,"
507,507,I don't know.,507.0,"524,1,0,0,,,"
508,508,You can see that they traded with Arabian merchants.,508.0,"525,1,0,0,,,"
509,509,I don't know.,509.0,"526,0,0,0,,,"
510,510,The Goryeo Dynasty was active in foreign countries and in ancient times,510.0,"527,1,0,0,,,"
511,511,Our country seems to have also traded with Arabian merchants.,511.0,"528,1,0,0,,,"
512,512,"He interacted with many countries, including Arabia.",512.0,"529,0,0,0,,,"
513,513,I don't know,513.0,"530,0,0,0,,,"
514,514,They trade with neighboring countries like Arabia.,514.0,"531,1,0,0,,,"
515,515,"""",515.0,"532,1,0,0,,,"
516,516,It can be seen that the Goryeo Dynasty actively engaged in exchanges with countries abroad.,516.0,"533,1,0,0,,,"
517,517,"During the Goryeo Dynasty, there were many exchanges with various countries and the economy was likely to be active.",517.0,"534,1,0,0,,,"
518,518,We exchanged with distant countries such as Arabia and our country was known far away.,518.0,"535,1,0,0,,,"
519,519,"Goryeo had a lot of exchanges with foreigners, and many foreigners went to Goryeo.",519.0,"536,1,0,0,,,"
520,520,Goryeo had a lot of exchanges with Arabian merchants,520.0,"537,1,0,0,,,"
521,521,They also traded with countries far away outside of China and Japan.,521.0,"538,1,0,0,,,539,1,0,0,,,"
522,522,boosted trade,522.0,"540,0,0,0,,,"
523,523,.,523.0,"541,1,0,0,,,"
524,524,I don't know.,524.0,"542,1,0,0,,,"
525,525,I don't know.,525.0,"543,0,0,0,,,"
526,526,the economic age of trade,526.0,"544,1,0,0,,,"
527,527,He actively engaged in exchanges with other countries,527.0,"545,1,0,0,,,"
528,528,Unknowingness,528.0,"546,1,0,0,,,"
529,529,Good at interacting?,529.0,"547,1,0,0,,,"
530,530,The exchange was active,530.0,"548,1,0,0,,,"
531,531,Unknowingness,531.0,"549,1,0,0,,,"
532,532,Unknowingness,532.0,"550,0,0,0,,,"
533,533,The exchange between our country and Arabia was active.,533.0,"551,1,0,0,,,"
534,534,an economy with a lot of interaction with other countries,534.0,"552,1,0,0,,,"
535,535,active exchange,535.0,"553,1,1,0,,,"
536,536,It can be seen that Goryeo traded a lot with many countries.,536.0,"554,1,0,0,,,"
537,537,"""If you look at the economy at that time, the people of Arabia on the other side came to trade",537.0,"555,1,0,0,,,"
538,538,"""At that time, the economic situation of Goryeo was very developed.""",538.0,"556,1,0,0,,,"
539,539,I had a lot of exchanges with other countries.,539.0,"557,0,1,0,,,"
540,540,We have a lot of exchanges,540.0,"558,1,0,0,,,"
541,541,The exchange was active and I think there would have been a lot of Arabian merchants,541.0,"559,0,0,0,,,"
542,542,I was active in trade activities.,542.0,"560,1,1,1,,,"
543,543,I don't know,543.0,"561,1,1,0,,,"
544,544,It was famous for buying and selling,544.0,"562,1,0,0,,,"
545,545,I had a lot of exchanges with merchants from other countries.,545.0,"563,1,0,0,,,"
546,546,I don't know,546.0,"564,1,0,0,,,"
547,547,I engaged in trade activities with many countries,547.0,"565,1,1,0,,,"
548,548,"The fact that Arabian merchants named them can be said to have engaged in economic activities not only in Korea's internal economy, but also outside.  And the information that our country was spread by Arabian merchants through the spread abroad would have made trade more active during the Goryeo Dynasty.",548.0,"566,1,0,0,,,"
549,549,"It can be seen that during the Goryeo Dynasty, they already exchanged with various countries. It can be seen that Goryeo's representative products were popular with Arabian merchants or there were many interesting things, so Goryeo was widely spread.",549.0,"567,1,0,0,,,"
550,550,He traded extensively with various countries.,550.0,"568,1,0,0,,,569,1,1,1,,,"
551,551,We had a lot of international exchanges. It served as a center of international exchange.,551.0,"570,1,0,0,,,"
552,552,"It can be seen that Goryeo did not rely solely on the internal economy to engage in economic activities, but also pioneered routes and created ports based on the domestic economy and traded with various countries around the world.",552.0,"571,1,1,0,,,"
553,553,Under the sun~~~~~~,553.0,"572,1,0,0,,,"
554,554,"Through Byeokran Island, exchanges with foreign countries were active.",554.0,"573,1,0,0,,,"
555,555,trade is brisk,555.0,"574,1,0,0,,,"
556,556,"Trade is brisk, commercial and handicraft development is developed.",556.0,"575,0,0,0,,,"
557,557,Trade is brisk.,557.0,"576,1,0,0,,,"
558,558,active communion with other countries,558.0,"577,0,0,0,,,"
559,559,"During the Goryeo Dynasty, trade centered on Byeokrando Island in the west of Kaesong developed. It mainly traded with the Song Dynasty, with the Japanese, and with Arabian merchants in the West. It also traded with the Kitan and Yeojin people through land, and trade on Japanese goods was mainly carried out in Busan. Therefore, it can be seen that Goryeo had an economy that mainly focused on trade.",559.0,"578,1,1,0,,,"
560,560,It proves that Goryeo commerce was active,560.0,"579,1,0,0,,,"
561,561,I also interacted with Middle Eastern countries through ports,561.0,"580,1,0,0,,,"
562,562,Many Arabian merchants came.,562.0,"581,0,1,0,,,"
563,563,"We achieved economic growth by trading. Unlike the Joseon Dynasty, the government implemented an open policy, not a policy of a powerhouse.",563.0,"582,1,0,0,,,"
564,564,"During the Goryeo Dynasty, it can be thought that the trade economy was activated through active exchanges with foreign countries. In particular, it can be seen that the size of the economy has increased as it exchanges with countries in southwest Asia.",564.0,"583,1,1,0,,,"
565,565,brisk trade,565.0,"584,1,0,0,,,"
566,566,Merchants come and exchange in person.,566.0,"585,0,0,0,,,"
567,567,in exchange,567.0,"586,1,0,0,,,"
568,568,Active trade created a currency for commercial and handicraft development,568.0,"587,1,0,0,,,"
569,569,They interacted with distant countries such as Arabia.,569.0,"588,0,1,0,,,"
570,570,Trade is brisk.,570.0,"589,1,0,0,,,"
571,571,Trade becomes brisk.,571.0,"590,0,1,0,,,"
572,572,"It is thought that trade activities during the Goryeo Dynasty proceeded around the world, maintaining smooth relations with foreign countries, and developing the economy.",572.0,"591,1,0,0,,,"
573,573,I had an exchange with another country.,573.0,"592,1,0,0,,,"
574,574,"""Sea trade flourished and flourished all the Arabian Sea trade flourished",574.0,"593,1,0,0,,,"
575,575,So the economy == grows on a trade basis,575.0,"594,1,0,0,,,"
576,576,"""",576.0,"595,1,0,0,,,"
577,577,Trade was active and made money.,577.0,"596,0,0,0,,,"
578,578,"During the Goryeo Dynasty, trade through the sea was activated, and ceramics and ginseng were traded to the nearby Song Dynasty, Japan, and far west regions.",578.0,"597,1,0,0,,,"
579,579,Trade,579.0,"598,1,0,0,,,599,1,0,0,,,"
580,580,Stay,580.0,"600,1,0,0,,,"
581,581,I had a lot of exchanges with other countries,581.0,"601,1,0,0,,,"
582,582,I don't know...,582.0,"602,1,0,1,,,"
583,583,I made money through trade with many countries.,583.0,"603,1,0,0,,,"
584,584,Interact with other countries.,584.0,"604,1,0,0,,,"
585,585,I had a lot of exchanges with Arabian merchants.,585.0,"605,0,0,1,,,"
586,586,Korea's economy was excellent,586.0,"606,1,0,0,,,"
587,587,"Unlike the Khitan people and the Yeojin people, Goryeo got along well with the Song Dynasty in mainland China, and Song Dynasty was also suffering from Khitan and Yeojin, so they wanted to cooperate with Goryeo.",587.0,"607,1,0,0,,,"
588,588,,588.0,"608,1,0,0,,,"
589,589,"Since it was very difficult to go to the Song Dynasty by land from Goryeo, the waterway was mainly used, and Byeokrando Island at the mouth of the Yeseonggang River was a large port to and from the Song Dynasty.",589.0,"609,0,0,1,,,"
590,590,,590.0,"610,1,0,0,,,"
591,591,"Between Goryeo and the Song Dynasty, many merchants visited the country and trade was active. Around this time, merchants from the Song Dynasty as well as Arabia and Southeast Asia frequented Goryeo.",591.0,"611,1,0,0,,,"
592,592,,592.0,"612,1,0,0,,,"
593,593,"As a result, Byeokrando Island was full of foreign merchants who brought rare items. The goods exported from Goryeo were underground resources such as gold, silver, and copper, as well as wild ginseng, pine nuts, fan, ramie, and paper, and mainly imported from the Song Dynasty were books, silk, and porcelain. Also, Arabian merchants came and went to Byeokran Island with things like mercury and spices, and the name Goryeo was known to the West by them at this time, and foreign countries still call our country Core.""I made a lot of money through trade.",593.0,"613,1,1,0,,,"
594,594,"During the Goryeo Dynasty, I was able to meet merchants from many countries through many exchanges.",594.0,"614,1,1,0,,,"
595,595,Unknowingness,595.0,"615,1,1,0,,,"
596,596,"During the Goryeo Dynasty, trade with Arabs was active",596.0,"616,0,0,0,,,"
597,597,Trade,597.0,"617,0,0,0,,,"
598,598,The economy was active during the Goryeo Dynasty.,598.0,"618,0,0,0,,,"
599,599,"Unlike the Khitan people and the Yeojin people, Goryeo got along well with the Song Dynasty in mainland China, and Song Dynasty was also suffering from Khitan and Yeojin, so they wanted to cooperate with Goryeo.",599.0,"619,1,1,0,,,"
