,Unnamed: 0,"17. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base.",Unnamed: 0,", q17_acid-based adaptation, q17_equivalent ratio, q17_loss of properties, q17_conflict properties, q17_acid-based adaptation.1,q17_equivalent ratio.1,q17_Loss of Properties1.q17_Contrary Properties.1"
211,211,"The opposite properties, the base and the acid, meet and dilute, getting closer to the water and weakening both.",211.0,"218,0,0,0,0... because the properties of acids and bases are neutralized"
212,212,Basicity weakens the acid.,212.0,"219,0,0,0,0 because acids and bases are neutralized when they meet"
213,213,"""The acid and the base, which have the opposite properties, meet,",213.0,"220, 0, 0, 1, 0,,, because acids and bases meet, they are neutralized"
214,214,"Diluted and approached medium water (ph-7), both weakened",214.0,"221,0,0,1,0,, because the acid and base meet, they are neutralized"
215,215,I don't know.,215.0,"222,0,0,0,0,0 because acids and bases meet and they are neutralized"
216,216,"The lower the PH grade difference, the stronger the acidity, the more the lie is a sorok base, but when the difference is large, the air is sulfurized and the air is neutralized",216.0,"223,0,0,0,1, because acids and bases meet and neutralize"
217,217,It's neutralized by mixing different ingredients,217.0,"224,1,0,1,1,... because acids and bases meet, they are neutralized"
218,218,I don't know,218.0,"225,0,0,0,0,, because acids and bases meet and neutralize"
219,219,Acids and bases don't agree with each other,219.0,"226,0,0,1,1, because acids and bases meet and they're neutralized"
220,220,I don't know,220.0,"227,0,0,0,1, because the mixture of acid and base neutralizes"
221,221,I don't know,221.0,"228,0,0,1,1,,, because it is neutralized when acid and base are mixed,"
222,222,"Acid becomes more neutral when mixed with basicity. If you want to get the evidence, you can add sodium hydroxide directly to hydrochloric acid",222.0,"229,0,0,1,0,, because when acid and base are mixed, they are neutralized,"
223,223,Because it becomes neutralized,223.0,"230, 0, 0, 0, 1, ... because when acid and base are mixed, they are neutralized"
224,224,Acids and bases have different elements,224.0,"231,0,0,1,0... because the acid and the base are mixed to neutralize"
225,225,It's because the acid and the basicity are different,225.0,"232,0,1,0,0,,, because it is neutralized when acid and base are mixed,"
226,226,"When acidity meets basicity, acidity weakens, and when basicity meets acidity, acidity and basicity weaken because they are different components.",226.0,"233,0,0,1,0,, because acid and base are mixed to neutralize"
227,227,Because of the indicator,227.0,"234,1,0,1,0,,, because when acid and base are mixed, they are neutralized"
228,228,They are neutralized because they are opposite to each other.,228.0,"235,0,0,0,1, because when acid and base meet, they are neutralized"
229,229,Because they have different properties,229.0,"236,0,0,0,1, because acid and base meet, they are neutralized"
230,230,"Since the divinity and the base are different, the acidity weakens when added, and the acidity weakens when added",230.0,"237,0,0,0,0,,, because when acid and base meet, they are neutralized,"
231,231,Because acidity and basicity weaken each other,231.0,"238,0,0,1,1, because when acid and base meet, they are neutralized239,0,0,1,1, because when acid and base meet, they are neutralized"
232,232,Because acidity and basicity are different solutions.,232.0,"240,0,0,1,1, because the acid and the base meet, they are neutralized"
233,233,"""It is often said that acids and bases meet to become neutral.",233.0,"241,1,0,1,0,,, because when acid and base meet, they are neutralized"
234,234,Acid is a hydrogen ion,234.0,"242,1,0,1,0... because when acid and base meet, they are neutralized"
235,235,The base releases hydroxide ions.,235.0,"243,1,0,1,0,,, because it is neutralized when acid and base are mixed"
236,236,Hydrogen ions are cations and hydroxide ions are anions.,236.0,"244,0,0,1,0,,, because it is neutralized when acid and base are mixed,"
237,237,"When the hydrogen ions (H+) of the acid meet the hydroxyl ions (OH-) of the base,",237.0,"245,0,0,1,0,, because it is neutralized when acid and basicity are mixed"
238,238,It's chemically water (H2O),238.0,"246,0,0,0,0,,, because the mixture of acid and basicity neutralizes"
239,239,A neutral liquid with a ph concentration of 7 is to become water,239.0,"247,0,0,0,0,,, because when acid and base are mixed, they are neutralized"
240,240,Because acidity and basicity match,240.0,"248,0,0,0,0,,, because the mixture of acid and basicity neutralizes,"
241,241,"""Because acidity and basicity are different from each other, if you add acidity, the basicity will be weakened, and if you add basicity, the phase will be weakened",241.0,"249,0,0,0,0,, because the mixture of acid and basicity neutralizes"
242,242,"""",242.0,"250,0,0,0,0,,, because when acid and base are mixed, they are neutralized"
243,243,"""",243.0,"251,0,0,0,0... The properties of acids and bases are weakened because they meet and neutralize"
244,244,,244.0,"252,0,0,0,0,,, the properties of acids and bases weaken because they become neutralized when they meet,"
245,245,,245.0,"253,0,0,0,0... The properties of acids and bases weaken because they neutralize when they meet"
246,246,,246.0,"254,0,0,0,0,, the acid and base become neutralized when they meet, so the acid and base become weak,"
247,247,"It refers to the property of dissolving in acidity and water to release hydrogen ions, and basic refers to the property of dissolving in water to release hydroxide ions. Hydrogen ions in an acidic solution and hydroxide ions in a basic solution become water If the amount of acidic and basic solutions is the same, hydrogen ions and hydroxyl ions meet and become neutral. If the acidic solution is more than basic solution, part of hydrogen ions and hydroxide ions react to water So the amount of mixing changes whether it's acidic, neutral, or basic, and it depends on the hydrogen ion or the hydroxide ion in the solution",247.0,"255,0,0,0,0,,, the acid and base become neutralized when they meet, so the acid and base become weak"
248,248,,248.0,"256,0,0,0,0,,, the acid and base become neutralized when they meet, so the acid and the base become weak"
249,249,,249.0,"257,0,0,0,0... The properties of acids and bases are weakened because they are neutralized when they meet,"
250,250,"""",250.0,"258,0,0,0,0,,, the properties of acids and bases weaken because they are neutralized when they meet,"
251,251,This is because acidity and basicity dissolve in water and are different solutions.,251.0,"259,0,0,0,0... The properties of acids and bases weaken because they are neutralized when they meet"
252,252,This is because acidity and basicity are dissolved in water and the two are different solutions.,252.0,"260,0,0,0,0... The acid and base become neutralized when they meet, so the acid and base become weak"
253,253,"""I don't know.",253.0,"261,0,0,0,0,,, the acid and base become neutralized when they meet, so the acid and base become weak"
254,254,"""",254.0,"262,0,0,0,0…, the acid and the base become neutralized when they meet, so the acid and the base become weak"
255,255,"Since the acidity and the basicity are different, the basicity is weakened if you add the acidity, and the acidity will be weakened if you add basicity",255.0,"263,0,0,0,0,,,the properties of acids and bases are weakened because they are neutralized when acids and bases are mixed,"
256,256,"Since acidity and basicity are opposite to each other, if you add acidity, the basicity weakens, and if you add basicity, the acidity weakens.",256.0,"264,0,0,1,0,, the properties of acids and bases are weakened because they are neutralized when acids and bases are mixed"
257,257,"Since acidity and basicity are opposite to each other, adding acidity weakens the basicity and adding basicity weakens the acidity.",257.0,"265,0,0,0,0,, the properties of acids and bases are weakened because they are neutralized when they are mixed"
258,258,"When acidic and basic substances meet, acidity and basicity disappear or become yellow",258.0,"266,0,0,0,0,, acid and base are neutralized when mixed, so acid and base are weakened,"
259,259,"When acidic substances and basic substances meet, the acidity and basicity disappear or become yellow.",259.0,"267,0,0,0,0,, the acid and base are neutralized when mixed, so the acid and base become weak"
260,260,"""The more acid and basic stones are, the weaker the acidity and basicity of each other gets",260.0,"268,0,0,0,0,,, when acid and base are mixed, they are neutralized, so their acidity and basicity are weakened269,0,0,0,0,, acid and base are neutralized when mixed, so the properties of acid and base are weakened,"
261,261,"It's neutral""",261.0,"270,0,0,0,0,,, the properties of acids and bases are weakened because they are neutralized when acids and bases are mixed"
262,262,Because it becomes neutral,262.0,"271,0,0,0,0,,, the properties of acids and bases weaken because they are neutralized when they are mixed with acids and"
263,263,Because it becomes neutral,263.0,"272,0,0,0,0,, acid and base are neutralized when mixed, so the acid and base become weak,"
264,264,edwedwed,264.0,"273,0,0,1,0,, acid and base are neutralized when mixed, so the acid and base become weak"
265,265,I don't know.,265.0,"274,0,0,0,0,,, the acid and the base are neutralized when they are mixed, so the acid and the base are weakened"
266,266,M and D,266.0,"275,0,0,0,0,,, the properties of acids and bases are weakened because they are neutralized when acid and base meet,"
267,267,I don't know,267.0,"276,0,0,0,0,,, the properties of acids and bases weaken because they are neutralized when acid and base meet"
268,268,I don't understand.,268.0,"277,0,0,0,0... When acid and base meet, the properties of acids and bases are weakened because they are neutralized"
269,269,I don't know,269.0,"278,0,0,0,0,,, the acidity and basicity become weak because they are neutralized when acid and basicity meet,"
270,270,I don't know.,270.0,"279,1,0,0,,,The acidity and base become neutralized when acid and base meet, so the acidity and base become weak"
271,271,I don't know.,271.0,"280,1,0,1,0... When acid meets basicity, it neutralizes and weakens the acidity and basicity"
272,272,I don't understand.,272.0,"281,0,0,0,0... The properties of acids and bases are weakened because they are neutralized when acid and base meet"
273,273,I don't know,273.0,"282,1,0,1,0…, the properties of acids and bases weaken because they are neutralized when acid and base meet"
274,274,I don't understand.,274.0,"283,0,0,0,0... When acid and base meet, the properties of acid and base become neutralized, so the properties of acid and base become weak"
275,275,I don't understand.,275.0,"284,0,0,0,0,,, the acidity and basicity are weakened because they are neutralized when acid and basicity meet,"
276,276,I don't know,276.0,"285,0,0,0,0,,, the acidity and basicity become neutralized when the acid and basicity meet, so the acidity and basicity become weak"
277,277,Mall,277.0,"286,0,0,0,0... When acid meets basicity, it neutralizes and weakens the acidity and basicity"
278,278,base,278.0,"287,0,0,0,0,,, the acid and base are neutralized when they are mixed, so the properties of the acid and base are weakened,"
279,279,I don't know,279.0,"288,1,0,1,0,,, the properties of acids and bases are weakened because they are neutralized when acid and base are mixed"
280,280,I don't know.,280.0,"289,0,0,0,0…, the acid and base mix neutralize and weaken the properties of the acid and base"
281,281,I don't know,281.0,"290,0,0,0,0,,, the acidity and basicity become weak because they are neutralized when the acidity and basicity are mixed,"
282,282,"When mixed, it weakens because it is neither acidic nor basic.",282.0,"291,0,0,0,0,, the acidity and basicity are neutralized when mixed, so the acidity and basicity are weakened"
283,283,I don't know,283.0,"292,0,0,0,0,,, the acidity and basicity are neutralized, so the acidity and basicity are weakened"
284,284,I don't understand.,284.0,"293,0,0,0,0,,, the acid and base are neutralized by mixing acid and base, so the properties of the acid and base are weakened,"
285,285,I don't know.,285.0,"294,0,0,0,0,,, the properties of acids and bases are weakened because they are neutralized when acid and base are mixed"
286,286,I don't understand.,286.0,"295,0,0,0,0,,, the acid and base mix neutralize and weaken the properties of the acid and base"
287,287,.,287.0,"296,0,0,0,0,,, the acidity and basicity become weak because the mixture of acid and basicity is neutralized,"
288,288,I don't know,288.0,"297,0,0,0,1,,, the acidity and basicity become neutralized, so the acidity and basicity are weakened"
289,289,.,289.0,"298,1,0,1,0,,, the acidity and base become neutralized, so the acidity and base become weak299,0,0,0,0,,,,"
290,290,I don't know.,290.0,"300,0,0,1,0,,,,"
291,291,Neutralized by combining the two,291.0,"301,0,0,0,0,,,,"
292,292,I don't know.,292.0,"302,1,0,0,0,,,,"
293,293,It's acidic and basic,293.0,"303,0,0,1,1,,,,"
294,294,?,294.0,"304,1,0,1,0,,,,"
295,295,Don't know,295.0,"305,0,0,0,1,,,,"
296,296,"I used to do it in science class, but it was because of you, so I had a hard timeWhen an acid meets a base, it turns red",296.0,"306,0,0,0,0,,,,"
297,297,"Acids and bases are opposite to each other, but when the two are mixed, they become neutral.",297.0,"307,0,0,0,0,,,,"
298,298,yes,298.0,"308,1,0,1,0,,,,"
299,299,"This is because when acidity and basicity meet, they become neutralized.",299.0,"309,0,0,0,0,,,,"
300,300,ㅑㅓㅏㅏㅑ,300.0,"310,1,0,0,1,,,,"
301,301,It's because it's a mixture of acidity and basicity,301.0,"311,0,0,1,0,,,,"
302,302,It's been so long,302.0,"312,1,0,1,0,,,,"
303,303,be more basic than acid,303.0,"313,0,0,1,0,,,,"
304,304,The colors are different,304.0,"314,1,0,1,0,,,,"
305,305,"When the color change of the red cabbage indicator is confirmed, the more basic solution is added to the acidic solution, the weaker the acidity becomes, and the more acidic solution is added to the basic solution, the weaker the basicity becomes. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Use your knowledge of acids and bases to understand why acids and bases weaken when they meet",305.0,"315,1,0,1,0,,,,"
306,306,I don't know.,306.0,"316,1,0,1,0,,,,"
307,307,Acid is weaker than base,307.0,"317,1,0,1,0,,,,"
308,308,I don't remember the answer,308.0,"318,0,0,1,0,,,,"
309,309,"Before the acid and the base were mixed, they were completely acid and base, but they were mixed together",309.0,"319,0,0,1,0,,,,"
310,310,"If you add a lot, it'll be more acidic",310.0,"320,0,0,1,0,,,,"
311,311,It's weak in acidity,311.0,"321,0,0,1,0,,,,"
312,312,"I learned it, but I forgot the limit of my head",312.0,"322,1,0,1,0,,,,"
313,313,The acidity and basicity don't match,313.0,"323,1,0,1,0,,,,"
314,314,"Since basic and acidic properties are opposite to each other,",314.0,"324,0,0,1,0,,,,"
315,315,"If the acidic solution is mixed with the basic solution, the basic solution neutralizes the acidic solution",315.0,"325,0,0,0,0,,,,"
316,316,I don't know.,316.0,"326,0,0,0,0,,,,"
317,317,The two of them have the same ingredients,317.0,"327,0,0,0,0,,,,"
318,318,Put a red solution in the cabbage,318.0,"328,0,0,0,0,,,,329,0,0,0,0,,,,"
319,319,"""",319.0,"330,0,0,0,0,,,,"
320,320,"Acid and basic are stone.""",320.0,"331,1,0,1,0,,,,"
321,321,"Acid and basicity are different properties, so they weaken each other when they meet",321.0,"332,0,0,1,1,,,,"
322,322,"""When hydrochloric acid and sodium hydroxide meet, oxygen of hydrochloric acid and hydrogen of sodium hydroxide meet to become water and chlorine and sodium meet to become salt",322.0,"333,0,0,0,0,,,,"
323,323,"As acid and base meet, their properties weaken and eventually become neutral.""",323.0,"334,0,0,0,0,,,,"
324,324,The quality is different and the solution difference is different,324.0,"335,0,0,0,0,,,,"
325,325,Black and white,325.0,"336,0,0,0,0,,,,"
326,326,I guess I don't have any knowledge,326.0,"337,0,0,0,0,,,,"
327,327,"When acidity and basicity meet, the two neutralize each other, weakening the acidity and basicity.",327.0,"338,0,0,0,0,,,,"
328,328,"Since that's how the substance is made up of it,",328.0,"339,0,0,0,1,,,,"
329,329,"Of course, acidity and basicity are substances of different components, so when mixed, each component degenerates",329.0,"340,0,0,1,0,,,,"
330,330,This is because acid and basic substances exchange electrons with each other to become neutral.,330.0,"341,0,0,0,0,,,,"
331,331,The acid H+ meets the OH- of the base and neutralizes it,331.0,"342,0,0,0,0,,,,"
332,332,by neutralization,332.0,"343,1,0,1,0,,,,"
333,333,"The neutralizing plate (neutralization heat generation) H+ and OH- meet to produce water, weakening acid/base properties",333.0,"344,0,0,0,0,,,,"
334,334,"When an acid meets a base, water and salt are formed",334.0,"345,0,0,1,0,,,,"
335,335,Proton and hydroxide ions meet to become water,335.0,"346,0,0,1,0,,,,"
336,336,Hydronium ions and hydroxide ions meet to produce water.,336.0,"347,0,0,0,0,,,,"
337,337,Water is formed. H+ + OH -> H2O,337.0,"348,0,0,0,0,,,,"
338,338,neutralization reaction,338.0,"349,0,0,0,1,,,,"
339,339,H+ is neutralized,339.0,"350,1,0,1,0,,,,"
340,340,This is because acid base neutralization reactions of acidic and basic solutions occur.,340.0,"351,0,0,1,0,,,,"
341,341,"According to Arenius's definition, acids are substances that produce H+ and bases OH-. Therefore, when the two meet, they become water, so they consider each other's abilities.",341.0,"352,0,0,0,1,,,,"
342,342,"H+ (acid) and OH- (base) meet to form water, and each property is weakened by neutralization.",342.0,"353,1,0,1,0,,,,"
343,343,It becomes neutral,343.0,"354,0,0,0,0,,,,"
344,344,I don't know.,344.0,"355,0,0,1,0,,,,"
345,345,I don't know the properties of acidity and basicityㅜㅜ,345.0,"356,1,0,1,0,,,,"
346,346,I don't know,346.0,"357,1,0,1,0,,,,"
347,347,I don't know.,347.0,"358,1,1,1,0,,,,359,1,0,1,0,,,,"
348,348,"Yeah, I don't know",348.0,"360,0,0,1,0,,,,"
349,349,I don't know the properties of acidity and basicity,349.0,"361,1,0,1,0,,,,"
350,350,"When a basic solution is mixed with the acidic solution, the acidic reaction is weakened since the acidic solution approaches neutrality, and when the acidic solution is mixed, the basic reaction is weakened because it approaches neutrality.",350.0,"362,1,0,1,0,,,,"
351,351,"Acid and basicity are opposite properties.Therefore, if basic acidity is added to the acidity, the acidity is weakened, and if basic acidity is added, the basicity is weakened.",351.0,"363,0,0,0,0,,,,"
352,352,Because of the hydrogen ion,352.0,"364,0,0,0,1,,,,"
353,353,I don't know the properties of acidity and basicityㅜㅜ,353.0,"365,0,0,0,0,,,,"
354,354,I don't know,354.0,"366,0,0,0,1,,,,"
355,355,I can't remember.,355.0,"367,0,0,0,0,,,,"
356,356,I don't know.,356.0,"368,0,0,0,1,,,,"
357,357,Hahahahahahahaha I know this question but I won't answer it.,357.0,"369,0,0,0,1,,,,"
358,358,It's the opposite of each other,358.0,"370,0,0,1,0,,,,"
359,359,"Acid and basicity are diluted and weakened, but if there is a lot of basicity, it becomes basic, and if there is a lot of acid, it becomes acidic",359.0,"371,0,0,1,0,,,,"
360,360,I don't know.,360.0,"372,0,0,0,0,,,,"
361,361,"Assuming that the acidity is negative and the base is positive, if the neutrality is zero, the more negative + positive, the closer it is to zero",361.0,"373,1,0,1,0,,,,"
362,362,"When acids and bases meet, they react",362.0,"374,1,0,1,0,,,,"
363,363,I don't know.,363.0,"375,1,0,1,0,,,,"
364,364,It gets weak when it's acidic and basic,364.0,"376,0,0,1,0,,,,"
365,365,This is because acids and bases weaken when they meet each other.,365.0,"377,1,0,1,0,,,,"
366,366,The ratio is 5d5,366.0,"378,0,0,0,0,,,,"
367,367,I don't know,367.0,"379,0,0,0,1,,,,"
368,368,Because they're at odds with each other.,368.0,"380,0,0,0,0,,,,"
369,369,"This is because acidity weakens when it meets basicity, and when acidity is added to basicity, basicity weakens.",369.0,"381,0,0,0,0,,,,"
370,370,Because it neutralizes and eventually becomes neutral,370.0,"382,0,0,0,0,,,,"
371,371,Acids and bases have different properties,371.0,"383,0,0,0,0,,,,"
372,372,Because the acid and the base meet and neutralize. Hydrogen ions in the acid and hydroxide ions in the base meet to become water.,372.0,"384,0,0,0,0,,,,"
373,373,I don't know,373.0,"385,0,0,0,1,,,,"
374,374,Because it neutralizes,374.0,"386,1,0,1,0,,,,"
375,375,"There are hydrogen ions in the acid and hydroxide ions in the base, but when the two meet, the acid and the base become weak because they become water.",375.0,"387,0,0,0,0,,,,"
376,376,"When an acid and a base meet, they become neutral because the base neutralizes the acid and the acid neutralizes the base",376.0,"388,0,0,0,0,,,,389,0,0,1,0,,,,"
377,377,"This is because when an acid and a base meet, hydrogen ions and hydroxide ions meet and combine at a one-to-one water ratio, and water is produced and neutralized by water produced by the solution.",377.0,"390,0,0,0,0,,,,"
378,378,"It's because when acid and salt meet, water is produced",378.0,"391,1,0,1,0,,,,"
379,379,"Acid and base react to neutralize, weakening the acidity or basicity.",379.0,"392,0,0,0,0,,,,"
380,380,This is because hydrogen ions in the acid and hydroxide ions in the base combine to form water.,380.0,"393,0,0,1,0,,,,"
381,381,"This is because when acidity and basicity meet, a neutralization reaction occurs.",381.0,"394,0,0,0,0,,,,"
382,382,I don't know,382.0,"395,1,0,1,0,,,,"
383,383,"Of course, it'll weaken because it's the opposite, right?",383.0,"396,1,0,0,0,,,,"
384,384,I don't know,384.0,"397,0,0,0,1,,,,"
385,385,It's a contrasting nature,385.0,"398,0,0,1,1,,,,"
386,386,Because acid and base are not close,386.0,"399,0,0,1,0,,,,"
387,387,It's because the basic and acidic properties are different,387.0,"400,1,0,1,0,,,,"
388,388,It's because there's a difference between acidic hydrogen ions and basic ions,388.0,"401,1,0,1,0,,,,"
389,389,neutralization reaction,389.0,"402,0,0,1,0,,,,"
390,390,Acid and smoke neutralize with water,390.0,"403,1,0,1,0,,,,"
391,391,The base is weaker than the acid,391.0,"404,1,0,1,0,,,,"
392,392,This is because each ion decreases because acidic hydrogen ions and basic hydroxide ions react to generate water.,392.0,"405,1,0,1,0,,,,"
393,393,This is because acidic hydrogen ions and basic hydroxide ions reacted to generate water and each ion decreased.,393.0,"406,1,0,1,0,,,,"
394,394,"Acid hydrogen ions and basic hydroxide ions meet to generate water, which reduces the number of hydrogen ions and hydroxide ions, thereby weakening acidity and basicity.",394.0,"407,1,0,1,0,,,,"
395,395,"Because it turns neutral.Acid is a substance that releases hydrogen ions when dissolved in a solution. Basic is a substance that releases hydroxide ions when dissolved in a solution. When hydrogen ions and hydroxide ions meet, a neutralization reaction occurs to form water. Therefore, when the acid and the base are mixed, hydroxide ions of the hydrogen ion base of the acid react to form water, and thus hydrogen ions and hydroxide ions decrease, weakening acidity and basicity.",395.0,"408,1,0,1,0,,,,"
396,396,I don't know,396.0,"409,1,0,1,0,,,,"
397,397,It's because we're at odds with each other,397.0,"410,0,0,0,0,,,,"
398,398,M and D,398.0,"411,0,0,0,0,,,,"
399,399,I don't know,399.0,"412,0,0,1,0,,,,"
400,400,I don't know,400.0,"413,1,0,1,0,,,,"
401,401,I love you ^^,401.0,"414,1,0,1,0,,,,"
402,402,ㄱ and ㅈ,402.0,"415,1,0,1,0,,,,"
403,403,Because the PH concentration is different.,403.0,"416,0,0,0,0,,,,"
404,404,This is because acidity and basicity are mixed and neutralized.,404.0,"417,0,0,1,0,,,,"
405,405,This is because it is more basic than acid.,405.0,"418,1,1,1,0,,,,419,0,0,0,1,,,,"
406,406,I don't understand.,406.0,"420,0,0,0,1,,,,"
407,407,Because it's becoming more neutral.,407.0,"421,0,0,0,1,,,,"
408,408,I don't know,408.0,"422,0,0,1,0,,,,"
409,409,"Low ph concentration is acidic, high is basic, because when the two are mixed, they become neutral",409.0,"423,1,0,1,1,,,,"
410,410,It is because the ph concentration varies.,410.0,"424,1,0,1,0,,,,"
411,411,This is because the ph of each drug is mixed and goes down to a ph close to neutral.,411.0,"425,1,0,1,0,,,,"
412,412,I don't know,412.0,"426,1,0,1,0,,,,"
413,413,"When acidity and basicity meet, they are weakened by a neutralization reaction. Acid and basic are expressed by hydrogen ions and hydroxide ions, and since the hydrogen ions are OH-, when the two meet, H2O, that is, water is formed by a one-to-one reaction, and the number of hydrogen ions and hydroxide ions decreases, the acidity and basicity are weakened.",413.0,"427,1,0,0,0,,,,"
414,414,This is because the solution particles of each other are mixed between the particles of the acidic solution and the basic solution and dilute.,414.0,"428,1,0,1,0,,,,"
415,415,This is because acidity and basicity have opposite properties.,415.0,"429,0,0,0,0,,,,"
416,416,"Acid and basicity are opposite properties, so they are neutralized when they meet.",416.0,"430,0,0,1,0,,,,"
417,417,"Acid releases H+ and base releases OH-. When the two are mixed, the two meet to form a water molecule H2O. So when you mix the two together, the acidity and basicity are weakened because H2O is produced to some extent",417.0,"431,1,0,1,0,,,,"
418,418,"The acidic solution contains hydrogen ions and the basic solution contains hydroxide ions. When the acidic solution is mixed with the basic solution, the two ions above react to form water. Accordingly, the concentration of hydrogen ions and hydroxide ions is weakened, and the acidity and basicity are weakened.",418.0,"432,0,0,0,0,,,,"
419,419,"When acids and bases meet, neutralization reactions that make water and generate heat occur, weakening acidity and basicity.",419.0,"433,0,0,1,0,,,,"
420,420,"Acid is the ratio of hydrogen ions present in a substance, and basicity is the ratio of hydroxide ions in a substance. That is, when a base is added to an acid or vice versa, the amount of hydrogen ions or hydroxide ions is the same, but the amount of the solution increases and the ratio of hydrogen ions or hydroxide ions is relatively smaller, thereby weakening the acid or base.",420.0,"434,0,0,0,1,,,,"
421,421,"The factors that determines the strength of the mountain was in the solution contained hydrogen ion solution is to determine the number and intensity of the base of the hydroxide ion, contained in the number of. Acid and hydrogen ion, by mixing an alkaline solution and basic ions and hydroxyl ion and neutral hydrogen atoms in a solution because water, meet the reduced number of acidic and will weaken the basic.",421.0,"435,0,0,1,0,,,,"
422,422,Hydrogen ion and the base of the mountain with ion because the water to be a hydroxl ion the number of being reduced.,422.0,"436,0,0,0,0,,,,"
423,423,"Hydroxide ion, and the number of acidic hydrogen ions present at a state of freedom and basic a solution to the number of decisions. Alkaline and acidic hydrogen ions when they meet hydroxide ions combine with alkaline and acidic water to form a molecule, will be weakened.",423.0,"437,0,0,0,0,,,,"
424,424,Neutralization reaction when see the mountains and the base and acidic or basic are weak.,424.0,"438,1,0,1,0,,,,"
425,425,Neutralization reaction when you meet the mountains and the base. Neutral in the process closer to the original acidic and basic as they get weaker.,425.0,"439,1,0,1,0,,,,"
426,426,Becoming a neutral phenomenon to becoming acidic and basic.,426.0,"440,0,0,0,1,,,,"
427,427,"""산성은 수소 이온으로 인해 산성을 띠게 되고, 염기성은  수산화 이온으로 인해 염기성을 띠게 되는데 이 물질들이 섞이게 되면 수소 이온과 수산화 이온이 결합하여 물이 되어 두 성질이 모두 약해지기",427.0,"441,0,0,0,0,,,,"
428,428,,428.0,"442,1,0,1,0,,,,"
429,429,"The side. """,429.0,"443,0,0,0,0,,,,"
430,430,"Crack crack crack crack crack interpret material damage, interpret material substance material substance material substance material haedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljil haedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljil haedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljil haedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljil haedongmuljilhaedongmuljilhaedongmuljirida.",430.0,"444,0,0,1,0,,,,"
431,431,Angistri to Mochi,431.0,"445,0,0,1,0,,,,"
432,432,Hydroxide ion is in the hydrogen ions and an alkaline solution in the acid into water.,432.0,"446,1,0,1,0,,,,"
433,433,Blended into China with each other.,433.0,"447,1,0,1,0,,,,"
434,434,Mountains and properly when they meet the base to be neutralized.,434.0,"448,0,0,0,0,,,,449,1,0,1,0,,,,"
435,435,This is because acids and bases are neutralized when they meet properly.,435.0,"450,0,0,0,0,,,,"
436,436,It's because it's weaker than acid,436.0,"451,1,0,1,0,,,,"
437,437,Neutralization occurs and weakens.,437.0,"452,1,0,1,0,,,,"
438,438,"This is because when acidity and basicity meet at similar rates, a neutralization reaction occurs.",438.0,"453,1,0,1,0,,,,"
439,439,It's because they're different,439.0,"454,0,0,0,0,,,,"
440,440,I got tired of fighting,440.0,"455,1,0,1,0,,,,"
441,441,I got tired of fighting,441.0,"456,0,0,0,0,,,,"
442,442,Because of the neutralization reaction,442.0,"457,0,0,0,0,,,,"
443,443,"It's because when things that are opposed to buying meet, a neutralization reaction occurs",443.0,"458,0,0,0,1,,,,"
444,444,"When the acidic solution is mixed with the basic solution, it becomes neutral, weakening the acidity and, conversely, weakening the basicity",444.0,"459,1,0,1,0,,,,"
445,445,"When an acid meets a base, a neutralization reaction occurs that produces water and salt",445.0,"460,0,0,0,0,,,,"
446,446,"As the acid and base meet, they become neutral, so the acid and base become weaker.",446.0,"461,0,0,1,0,,,,"
447,447,It mixes up and becomes a different substance,447.0,"462,0,0,1,0,,,,"
448,448,"When an acid and a base meet, hydrogen ions and hydroxide ions meet and neutralize. Therefore, it is natural that the acid and the base meet and weaken.",448.0,"463,0,0,0,0,,,,"
449,449,I don't know.,449.0,"464,0,0,1,0,,,,"
450,450,Because of the neutral reaction,450.0,"465,1,0,1,0,,,,"
451,451,"When acid and base meet, hydrogen ions and hydroxide ions meet and neutralize, which weakens the acid and base.",451.0,"466,1,0,1,0,,,,"
452,452,"""Basically, chlorine bleach is caused by the redox reaction",452.0,"467,0,0,1,0,,,,"
453,453,Chlorine gas is produced every time bleach is used,453.0,"468,1,0,1,0,,,,"
454,454,by weakening the acid and weakening the acid,454.0,"469,1,0,1,0,,,,"
455,455,Because the solutions are different from each other.,455.0,"470,0,0,0,0,,,,"
456,456,"This is because if acidity is basic and mala, it approaches neutrality.",456.0,"471,0,0,1,0,,,,"
457,457,Because acids and bases are not strong,457.0,"472,1,0,1,0,,,,"
458,458,I don't understand.,458.0,"473,1,0,1,0,,,,"
459,459,"This is because water is created as the two are synthesized, weakening their properties.",459.0,"474,1,0,1,0,,,,"
