,Unnamed: 0,"8. Patients who have a sudden heart attack risk serious brain damage. At this time, performing CPR on the patient as shown in the picture can prevent brain damage. Why can CPR prevent brain damage? Let's focus on the circulation of blood in our bodies and explain why.",Unnamed: 0,",q63_blood,q63_heart,q63_ oxygen, blood circulation, heart function> Isn't this blood circulation and oxygen supply?,,, oxygen and substance exchange"
249,249,"If the brain is not oxygenated, brain damage can occur in a short period of time. To prevent this, cardiopulmonary resuscitation is performed because the blood circulates throughout the body, that is, to the heart, and in this process, oxygen is also transmitted. Therefore, thanks to the oxygen supplied through CPR, brain damage can be prevented.",249.0,"257,1,0,0,,,"
250,250,"The human body is made up of all organs in circulation, and when you breathe in by giving a rebound to the heart and lungs, the brain also moves, breathing small and preventing brain damage.",250.0,"258,1,0,0,,,"
251,251,It makes your heart beat. It makes your brain come alive,251.0,"259,0,0,1,,,"
252,252,This is because the heart stopped during cardiopulmonary resuscitation so that blood circulation can be improved and blood is sent to the brain,252.0,"260,0,0,0,,,"
253,253,"When a heart attack occurs, the heart fails to function properly and cannot beat, so the act of pressing with your hands helps the heart beat, which can spread blood from the heart to the whole body again. So CPR can prevent brain damage.",253.0,"261,1,0,0,,,"
254,254,I don't know.,254.0,"262,1,0,0,,,"
255,255,"If a person does not breathe, there is no air supply to the brain, which causes brain damage. CPR can reduce brain damage by supplying air to the brain",255.0,"263,1,0,0,,,"
256,256,It's supplied to the brain,256.0,"264,1,0,0,,,"
257,257,Blood needs to flow to get air,257.0,"265,1,0,0,,,"
258,258,"If oxygen does not go to the brain, brain damage occurs, but if the heart does not beat, oxygen does not go, so CPR is performed.",258.0,"266,0,0,0,,,"
259,259,This is because the brain exercises only when blood circulation occurs,259.0,"267,1,0,0,,,"
260,260,Cardiopulmonary resuscitation can prevent brain damage because it supplies blood to the brain and oxygen in the blood is also supplied to the brain.,260.0,"268,1,0,0,,,269,1,0,0,,,"
261,261,I don't know,261.0,"270,1,0,0,,,"
262,262,Because it won't stop my heart,262.0,"271,1,0,0,,,"
263,263,I don't know.,263.0,"272,1,0,0,,,"
264,264,"When a heart attack occurs, the heart that circulates blood cannot work, so blood does not circulate, which can cause damage to the head.",264.0,"273,1,0,0,,,"
265,265,"Hemoglobin in the blood combines with oxygen and carries oxygen to the brain and the whole body when circulating blood. Therefore, re-supplying oxygen to the brain through CPR can prevent brain damage.",265.0,"274,0,0,1,,,"
266,266,"My heart is beating, so my body is bleeding",266.0,"275,1,0,0,,,"
267,267,"Cardiopulmonary resuscitation marks the heart, making it easier for the body's blood to circulate",267.0,"276,0,0,0,,,"
268,268,"This seems to be because CPR can pressure the heart as if it were beating, which can prevent blood from being supplied to the brain by active circulation.",268.0,"277,0,0,1,,,"
269,269,Because it allows you to breathe.,269.0,"278,1,0,0,,,"
270,270,"""God's Touch""",270.0,"279,1,0,0,,,"
271,271,"""",271.0,"280,0,0,0,,,"
272,272,"The reason for brain damage is that blood circulation is poor and oxygen supplied to the brain is insufficient, so cardiopulmonary resuscitation can be performed to supply oxygen to the brain.",272.0,"281,1,0,0,,,"
273,273,"""If you press the heart, the blood will turn again, so it seems like you're doing CPR",273.0,"282,1,0,0,,,"
274,274,"""",274.0,"283,0,1,0,,,"
275,275,Cardiopulmonary resuscitation can prevent blood circulation back to the brain.,275.0,"284,1,0,0,,,"
276,276,"By pressing the heart, oxygen can be contained in the blood and carried to the brain and various organs to prevent brain damage.",276.0,"285,1,0,0,,,"
277,277,I don't know.,277.0,"286,0,0,0,,,"
278,278,"If the heart that supplies blood stops and blood circulates to the brain, it will cause brain damage, so it stimulates the heart to circulate blood",278.0,"287,1,0,0,,,"
279,279,"The heart is supposed to oxygenate the head, but the heart stops and CPR is done",279.0,"288,1,0,0,,,"
280,280,"Blood carries oxygen, and if blood is not supplied to the brain, oxygen is also not supplied to the brain, which can cause serious damage to the brain.",280.0,"289,1,0,0,,,"
281,281,"When the heart is paralyzed, blood does not circulate, so blood is not supplied to the brain, and oxygen is not supplied, causing brain damage. At this time, CPR can prevent brain damage by making the heart beat again.",281.0,"290,1,0,0,,,"
282,282,"The activity of sending blood to the whole body and then returning to the heart as the heart beats is called blood circulation, which supplies blood to the brain, but the human brain uses blood very much, so the brain is damaged first when it is in cardiac arrest.",282.0,"291,1,0,0,,,"
283,283,Cardiopulmonary resuscitation can prevent brain damage due to lack of oxygen in the brain by supplying blood to the entire body.,283.0,"292,0,0,1,,,"
284,284,"Blood circulates in our bodies and supplies our bodies with the nutrients or oxygen they need. If oxygen is not supplied to the brain during ash, brain cells are damaged. The heart acts like a pump and circulates blood through our bodies. Since the heart cannot beat on its own during a heart attack, it presses the heart from the outside and circulates the body's blood.",284.0,"293,1,0,0,,,"
285,285,"Since the heart is suddenly stopped, cardiopulmonary resuscitation is performed to connect the brain and the heart, and blood is not moved to the brain, so blood is supplied through CPR.",285.0,"294,1,0,0,,,"
286,286,It supplies oxygen by external force.,286.0,"295,1,0,0,,,"
287,287,"Cardiopulmonary resuscitation is a process that causes the stopped heart to beat passively, and it continues to supply blood to the brain by maintaining blood circulation. In other words, it supplies oxygen to the brain. Without oxygen in the brain, brain damage occurs, and CPR prevents it, which can prevent brain damage.",287.0,"296,1,0,0,,,"
288,288,It is because it sends blood to the whole body.,288.0,"297,1,0,0,,,"
289,289,It prevents brain damage by allowing blood to travel normally to the brain.,289.0,"298,1,0,0,,,299,1,0,0,,,"
290,290,"When the heart is pressed, the heart contracts and circulates blood to supply oxygen to the brain.",290.0,"300,1,0,0,,,"
291,291,"Cardiopulmonary resuscitation compresses the heart and damages some blood. As a result, oxygen is supplied to the brain through the blood to prevent brain damage.",291.0,"301,0,0,0,,,"
292,292,"artificially beating the heart, circulating the blood, supplying oxygen to the brain",292.0,"302,0,0,0,,,"
293,293,It circulates blood through CPR and delivers oxygen to the brain.,293.0,"303,0,0,0,,,"
294,294,"This is because CPR induces blood circulation, which also supplies oxygen to the brain.",294.0,"304,1,0,0,,,"
295,295,It delivers blood throughout the body.,295.0,"305,0,0,1,,,"
296,296,"This is because it regenerates the heartbeat through CPR, causing blood circulation to the entire body, and blood is supplied to the brain.When you have a heart attack, your heart doesn't beat and blood doesn't go to your brain, because it manually presses your heart to send blood to your brain and circulates blood",296.0,"306,1,0,0,,,"
297,297,Because I have a seizure,297.0,"307,1,0,0,,,"
298,298,I don't know.,298.0,"308,1,0,0,,,"
299,299,"The heart is the center of blood circulation, and if you have a heart attack, your blood circulation may stop and you may suffer brain damage",299.0,"309,1,0,0,,,"
300,300,"The heart needs to beat in order to circulate blood, but when a heart attack occurs, the brain becomes stiff and becomes damaged.",300.0,"310,1,0,0,,,"
301,301,"""",301.0,"311,1,0,0,,,"
302,302,My heart is beating again and my blood circulates back into my head.,302.0,"312,0,0,1,,,"
303,303,It shocks the heart and makes it beat again,303.0,"313,1,0,0,,,"
304,304,This is because blood circulation is good when the heart beats.,304.0,"314,0,0,1,,,"
305,305,Because it makes the heart beat and makes the heart beat and blood circulation.,305.0,"315,0,0,0,,,"
306,306,"Cardiopulmonary resuscitation that helps blood circulation by compressing the heart so that blood can be delivered to the brain, can prevent brain damage.",306.0,"316,1,0,0,,,"
307,307,Blood circulates well because it compresses the heart.,307.0,"317,1,0,0,,,"
308,308,in order to secure the airway,308.0,"318,0,0,1,,,"
309,309,"This is because when the heart beats, it becomes a total circulation from the heart to the brain.",309.0,"319,0,0,0,,,"
310,310,"Since blood cells enter and exit the heart, cardiopulmonary resuscitation is performed to help the movement of the gall fluid smoothly.",310.0,"320,1,0,0,,,"
311,311,"Since the center of blood circulation is the heart, if the heart is pressed to circulate, blood circulates in the brain.",311.0,"321,1,0,0,,,"
312,312,"There is a golden time after a heart attack, and after that golden time, the brain gradually begins to get damaged. Cardiopulmonary resuscitation can prevent brain damage.",312.0,"322,0,0,0,,,"
313,313,This is because blood is supplied again.,313.0,"323,1,0,0,,,"
314,314,Cardiopulmonary resuscitation can prevent brain damage by moving the body and circulating the blood widely because the blood is pushy around the heart,314.0,"324,1,0,0,,,"
315,315,Sympesosymbiosis leads to blood circulation,315.0,"325,1,0,0,,,"
316,316,The reason why it can prevent brain damage is that the brain hardens after the golden time. Cardiopulmonary resuscitation is what makes the heart beat so that the blood works Cardiopulmonary resuscitation will cause blood to flow and prevent the brain from hardening.,316.0,"326,1,0,0,,,"
317,317,"It's because if you harm cardiopulmonary resuscitation, blood circulates and transmits it to the brain",317.0,"327,1,0,0,,,"
318,318,It's because blood doesn't go to the head.,318.0,"328,1,0,0,,,329,1,0,0,,,"
319,319,"The heart is an important organ that supplies blood to our bodies. If this organ stops, the whole body's blood nucleus circulation stops, which can cause brain damage. However, CPR can prevent brain damage by circulating the heart's blood.",319.0,"330,1,0,0,,,"
320,320,Because it can deliver oxygen,320.0,"331,0,1,0,,,"
321,321,"Compression of the paralyzed heart by CPR does not stop the circulation of the whole body, which can deliver oxygen to the brain",321.0,"332,1,0,0,,,"
322,322,It provides air to prevent brain damage,322.0,"333,1,0,0,,,"
323,323,It makes your heart beat with your hands and makes your blood circulate,323.0,"334,1,0,0,,,"
324,324,It pumps the heart and artificially circulates the blood,324.0,"335,1,0,0,,,"
325,325,It makes my heart race,325.0,"336,1,0,0,,,"
326,326,Because it compresses the chest and sends blood to the brain,326.0,"337,0,0,1,,,"
327,327,This is because CPR allows blood in the heart to rise to the brain under the pressure of CPR.,327.0,"338,1,0,0,,,"
328,328,"The heart slows down due to a heart attack, which does not actively circulate blood in the body, so it promotes blood circulation through heart pressure through cardiopulmonary resuscitation and makes it active.",328.0,"339,1,0,0,,,"
329,329,Pressure on the heart causes blood to be supplied to the brain.,329.0,"340,0,1,0,,,"
330,330,Cardiopulmonary resuscitation can prevent brain damage because blood is supplied from the heart faster,330.0,"341,1,0,0,,,"
331,331,"Because the blood is not circulating, it puts pressure on the heart and allows the veins to flow well, so it can prevent brain damage",331.0,"342,0,0,0,,,"
332,332,It keeps pressing the heart repeatedly and sends blood to the head to prevent brain damage,332.0,"343,0,1,0,,,"
333,333,It stimulates the heart,333.0,"344,0,0,0,,,"
334,334,Heart,334.0,"345,1,0,0,,,"
335,335,"If you don't have blood circulation, the cells in your brain die. However, CPR like the stomach can prevent brain damage by causing blood circulation.",335.0,"346,1,0,0,,,"
336,336,It is to apply pressure to the heart when the heart is not beating so that it can flow through the blood.,336.0,"347,1,0,0,,,"
337,337,It allows blood to circulate from the heart to the brain,337.0,"348,1,0,0,,,"
338,338,"Since the heart has stopped, it is difficult to supply blood to the body, so simpesosynthesis is performed to squeeze blood from the heart. Then oxygen and blood are supplied to the brain to prevent brain damage.",338.0,"349,0,0,0,,,"
339,339,"""My heart pumps and supplies blood to my whole body, so if I do CPR,",339.0,"350,1,0,0,,,"
340,340,"It pumps the heart at random, so it's able to pump it all over your body",340.0,"351,1,0,0,,,"
341,341,"It's because you lose.""",341.0,"352,1,0,0,,,"
342,342,It can prevent brain damage because it helps the heart contract and relax so that blood can reach the brain.,342.0,"353,1,0,0,,,"
343,343,Maybe the heart and the brain are connected,343.0,"354,1,0,0,,,"
344,344,"Since the heart has a ventricle and atrium through which blood circulates, CPR circulates blood and prevents cerebral blood vessels from clogging.",344.0,"355,0,0,0,,,"
345,345,"Cardiopulmonary resuscitation seems to be able to supply blood to the brain by applying pressure to the heart and forcing blood circulation. Since blood comes out of the heart, circulates throughout the body, and returns to the heart, CPR will circulate blood to the brain.",345.0,"356,0,0,0,,,"
346,346,.,346.0,"357,1,0,0,,,"
347,347,"By performing CPR, the heart and lungs are stimulated and blood and oxygen are supplied to the brain to prevent brain damage.",347.0,"358,0,1,0,,,359,1,0,0,,,"
348,348,"If the brain is not oxygenated, brain damage can occur in a short period of time. To prevent this, cardiopulmonary resuscitation is performed because the blood circulates throughout the body, that is, to the heart, and in this process, oxygen is also transmitted. Therefore, thanks to the oxygen supplied through CPR, brain damage can be prevented.",348.0,"360,0,0,0,,,"
349,349,"The human body is made up of all organs in circulation, and when you breathe in by giving a rebound to the heart and lungs, the brain also moves, breathing small and preventing brain damage.",349.0,"361,1,0,0,,,"
350,350,It makes your heart beat. It makes your brain come alive,350.0,"362,1,0,0,,,"
351,351,This is because the heart stopped during cardiopulmonary resuscitation so that blood circulation can be improved and blood is sent to the brain,351.0,"363,0,0,0,,,"
352,352,"When a heart attack occurs, the heart fails to function properly and cannot beat, so the act of pressing with your hands helps the heart beat, which can spread blood from the heart to the whole body again. So CPR can prevent brain damage.",352.0,"364,1,0,0,,,"
353,353,I don't know.,353.0,"365,0,0,0,,,"
354,354,"If a person does not breathe, there is no air supply to the brain, which causes brain damage. CPR can reduce brain damage by supplying air to the brain",354.0,"366,0,0,0,,,"
355,355,It's supplied to the brain,355.0,"367,0,0,1,,,"
356,356,Blood needs to flow to get air,356.0,"368,1,0,0,,,"
357,357,"If oxygen does not go to the brain, brain damage occurs, but if the heart does not beat, oxygen does not go, so CPR is performed.",357.0,"369,1,0,0,,,"
358,358,This is because the brain exercises only when blood circulation occurs,358.0,"370,1,0,0,,,"
359,359,Cardiopulmonary resuscitation can prevent brain damage because it supplies blood to the brain and oxygen in the blood is also supplied to the brain.,359.0,"371,0,1,0,,,"
360,360,I don't know,360.0,"372,0,1,0,,,"
361,361,Because it won't stop my heart,361.0,"373,1,0,0,,,"
362,362,I don't know.,362.0,"374,1,0,0,,,"
363,363,"When a heart attack occurs, the heart that circulates blood cannot work, so blood does not circulate, which can cause damage to the head.",363.0,"375,1,0,0,,,"
364,364,"Hemoglobin in the blood combines with oxygen and carries oxygen to the brain and the whole body when circulating blood. Therefore, re-supplying oxygen to the brain through CPR can prevent brain damage.",364.0,"376,1,0,0,,,"
365,365,"My heart is beating, so my body is bleeding",365.0,"377,1,0,0,,,"
366,366,"Cardiopulmonary resuscitation marks the heart, making it easier for the body's blood to circulate",366.0,"378,1,0,0,,,"
367,367,"This seems to be because CPR can pressure the heart as if it were beating, which can prevent blood from being supplied to the brain by active circulation.",367.0,"379,1,0,0,,,"
368,368,Because it allows you to breathe.,368.0,"380,1,0,0,,,"
369,369,"""God's Touch""",369.0,"381,1,0,0,,,"
370,370,"""",370.0,"382,1,0,0,,,"
371,371,"The reason for brain damage is that blood circulation is poor and oxygen supplied to the brain is insufficient, so cardiopulmonary resuscitation can be performed to supply oxygen to the brain.",371.0,"383,1,0,0,,,"
372,372,"""If you press the heart, the blood will turn again, so it seems like you're doing CPR",372.0,"384,0,0,1,,,"
373,373,"""",373.0,"385,0,1,0,,,"
374,374,Cardiopulmonary resuscitation can prevent blood circulation back to the brain.,374.0,"386,1,0,0,,,"
375,375,"By pressing the heart, oxygen can be contained in the blood and carried to the brain and various organs to prevent brain damage.",375.0,"387,1,0,0,,,"
376,376,I don't know.,376.0,"388,0,0,1,,,389,0,0,1,,,"
377,377,"If the heart that supplies blood stops and blood circulates to the brain, it will cause brain damage, so it stimulates the heart to circulate blood",377.0,"390,1,0,0,,,"
378,378,"The heart is supposed to oxygenate the head, but the heart stops and CPR is done",378.0,"391,1,0,0,,,"
379,379,"Blood carries oxygen, and if blood is not supplied to the brain, oxygen is also not supplied to the brain, which can cause serious damage to the brain.",379.0,"392,0,0,1,,,"
380,380,"When the heart is paralyzed, blood does not circulate, so blood is not supplied to the brain, and oxygen is not supplied, causing brain damage. At this time, CPR can prevent brain damage by making the heart beat again.",380.0,"393,1,0,0,,,"
381,381,"The activity of sending blood to the whole body and then returning to the heart as the heart beats is called blood circulation, which supplies blood to the brain, but the human brain uses blood very much, so the brain is damaged first when it is in cardiac arrest.",381.0,"394,1,0,0,,,"
382,382,Cardiopulmonary resuscitation can prevent brain damage due to lack of oxygen in the brain by supplying blood to the entire body.,382.0,"395,0,0,1,,,"
383,383,"Blood circulates in our bodies and supplies our bodies with the nutrients or oxygen they need. If oxygen is not supplied to the brain during ash, brain cells are damaged. The heart acts like a pump and circulates blood through our bodies. Since the heart cannot beat on its own during a heart attack, it presses the heart from the outside and circulates the body's blood.",383.0,"396,1,0,0,,,"
384,384,"Since the heart is suddenly stopped, cardiopulmonary resuscitation is performed to connect the brain and the heart, and blood is not moved to the brain, so blood is supplied through CPR.",384.0,"397,1,0,0,,,"
385,385,It supplies oxygen by external force.,385.0,"398,1,0,0,,,"
386,386,"Cardiopulmonary resuscitation is a process that causes the stopped heart to beat passively, and it continues to supply blood to the brain by maintaining blood circulation. In other words, it supplies oxygen to the brain. Without oxygen in the brain, brain damage occurs, and CPR prevents it, which can prevent brain damage.",386.0,"399,0,0,0,,,"
387,387,It is because it sends blood to the whole body.,387.0,"400,1,0,0,,,"
388,388,It prevents brain damage by allowing blood to travel normally to the brain.,388.0,"401,0,1,0,,,"
389,389,"When the heart is pressed, the heart contracts and circulates blood to supply oxygen to the brain.",389.0,"402,0,0,0,,,"
390,390,"Cardiopulmonary resuscitation compresses the heart and damages some blood. As a result, oxygen is supplied to the brain through the blood to prevent brain damage.",390.0,"403,0,0,1,,,"
391,391,"artificially beating the heart, circulating the blood, supplying oxygen to the brain",391.0,"404,0,0,0,,,"
392,392,It circulates blood through CPR and delivers oxygen to the brain.,392.0,"405,1,0,0,,,"
393,393,"This is because CPR induces blood circulation, which also supplies oxygen to the brain.",393.0,"406,1,0,0,,,"
394,394,It delivers blood throughout the body.,394.0,"407,0,0,1,,,"
395,395,"This is because it regenerates the heartbeat through CPR, causing blood circulation to the entire body, and blood is supplied to the brain.When you have a heart attack, your heart doesn't beat and blood doesn't go to your brain, because it manually presses your heart to send blood to your brain and circulates blood",395.0,"408,1,0,0,,,"
396,396,Because I have a seizure,396.0,"409,0,0,1,,,"
397,397,I don't know.,397.0,"410,0,0,1,,,"
398,398,"The heart is the center of blood circulation, and if you have a heart attack, your blood circulation may stop and you may suffer brain damage",398.0,"411,0,0,0,,,"
399,399,"The heart needs to beat in order to circulate blood, but when a heart attack occurs, the brain becomes stiff and becomes damaged.",399.0,"412,1,0,0,,,"
400,400,"""",400.0,"413,1,0,0,,,"
401,401,My heart is beating again and my blood circulates back into my head.,401.0,"414,1,0,0,,,"
402,402,It shocks the heart and makes it beat again,402.0,"415,1,0,0,,,"
403,403,This is because blood circulation is good when the heart beats.,403.0,"416,1,0,0,,,"
404,404,Because it makes the heart beat and makes the heart beat and blood circulation.,404.0,"417,1,0,0,,,"
405,405,"Cardiopulmonary resuscitation that helps blood circulation by compressing the heart so that blood can be delivered to the brain, can prevent brain damage.",405.0,"418,1,0,0,,,419,0,0,1,,,"
406,406,Blood circulates well because it compresses the heart.,406.0,"420,0,0,1,,,"
407,407,in order to secure the airway,407.0,"421,1,0,0,,,"
408,408,"This is because when the heart beats, it becomes a total circulation from the heart to the brain.",408.0,"422,0,0,1,,,"
409,409,"Since blood cells enter and exit the heart, cardiopulmonary resuscitation is performed to help the movement of the gall fluid smoothly.",409.0,"423,0,0,1,,,"
410,410,"Since the center of blood circulation is the heart, if the heart is pressed to circulate, blood circulates in the brain.",410.0,"424,0,0,1,,,"
411,411,"There is a golden time after a heart attack, and after that golden time, the brain gradually begins to get damaged. Cardiopulmonary resuscitation can prevent brain damage.",411.0,"425,1,0,0,,,"
412,412,This is because blood is supplied again.,412.0,"426,0,0,1,,,"
413,413,Cardiopulmonary resuscitation can prevent brain damage by moving the body and circulating the blood widely because the blood is pushy around the heart,413.0,"427,1,0,0,,,"
414,414,Sympesosymbiosis leads to blood circulation,414.0,"428,1,0,0,,,"
415,415,The reason why it can prevent brain damage is that the brain hardens after the golden time. Cardiopulmonary resuscitation is what makes the heart beat so that the blood works Cardiopulmonary resuscitation will cause blood to flow and prevent the brain from hardening.,415.0,"429,1,0,0,,,"
416,416,"It's because if you harm cardiopulmonary resuscitation, blood circulates and transmits it to the brain",416.0,"430,1,0,0,,,"
417,417,It's because blood doesn't go to the head.,417.0,"431,1,0,0,,,"
418,418,"The heart is an important organ that supplies blood to our bodies. If this organ stops, the whole body's blood nucleus circulation stops, which can cause brain damage. However, CPR can prevent brain damage by circulating the heart's blood.",418.0,"432,0,0,1,,,"
419,419,Because it can deliver oxygen,419.0,"433,1,0,0,,,"
420,420,"Compression of the paralyzed heart by CPR does not stop the circulation of the whole body, which can deliver oxygen to the brain",420.0,"434,1,0,0,,,"
421,421,It provides air to prevent brain damage,421.0,"435,1,0,0,,,"
422,422,It makes your heart beat with your hands and makes your blood circulate,422.0,"436,0,0,1,,,"
423,423,It pumps the heart and artificially circulates the blood,423.0,"437,1,0,0,,,"
424,424,It makes my heart race,424.0,"438,1,0,0,,,"
425,425,Because it compresses the chest and sends blood to the brain,425.0,"439,1,0,0,,,"
426,426,This is because CPR allows blood in the heart to rise to the brain under the pressure of CPR.,426.0,"440,1,0,0,,,"
427,427,"The heart slows down due to a heart attack, which does not actively circulate blood in the body, so it promotes blood circulation through heart pressure through cardiopulmonary resuscitation and makes it active.",427.0,"441,1,0,0,,,"
428,428,Pressure on the heart causes blood to be supplied to the brain.,428.0,"442,1,0,0,,,"
429,429,Cardiopulmonary resuscitation can prevent brain damage because blood is supplied from the heart faster,429.0,"443,0,1,0,,,"
430,430,"Because the blood is not circulating, it puts pressure on the heart and allows the veins to flow well, so it can prevent brain damage",430.0,"444,0,0,1,,,"
431,431,It keeps pressing the heart repeatedly and sends blood to the head to prevent brain damage,431.0,"445,0,1,0,,,"
432,432,It stimulates the heart,432.0,"446,0,0,1,,,"
433,433,Heart,433.0,"447,0,0,1,,,"
434,434,"If you don't have blood circulation, the cells in your brain die. However, CPR like the stomach can prevent brain damage by causing blood circulation.",434.0,"448,0,1,0,,,449,0,0,1,,,"
435,435,It is to apply pressure to the heart when the heart is not beating so that it can flow through the blood.,435.0,"450,1,0,0,,,"
436,436,It allows blood to circulate from the heart to the brain,436.0,"451,0,0,0,,,"
437,437,"Since the heart has stopped, it is difficult to supply blood to the body, so simpesosynthesis is performed to squeeze blood from the heart. Then oxygen and blood are supplied to the brain to prevent brain damage.",437.0,"452,0,0,0,,,"
438,438,"""My heart pumps and supplies blood to my whole body, so if I do CPR,",438.0,"453,0,0,1,,,"
439,439,"It pumps the heart at random, so it's able to pump it all over your body",439.0,"454,1,0,0,,,"
440,440,"It's because you lose.""",440.0,"455,0,0,1,,,"
441,441,It can prevent brain damage because it helps the heart contract and relax so that blood can reach the brain.,441.0,"456,0,0,0,,,"
442,442,Maybe the heart and the brain are connected,442.0,"457,1,0,0,,,"
443,443,"Since the heart has a ventricle and atrium through which blood circulates, CPR circulates blood and prevents cerebral blood vessels from clogging.",443.0,"458,0,0,1,,,"
444,444,"Cardiopulmonary resuscitation seems to be able to supply blood to the brain by applying pressure to the heart and forcing blood circulation. Since blood comes out of the heart, circulates throughout the body, and returns to the heart, CPR will circulate blood to the brain.",444.0,"459,0,0,1,,,"
445,445,.,445.0,"460,0,1,0,,,"
446,446,"By performing CPR, the heart and lungs are stimulated and blood and oxygen are supplied to the brain to prevent brain damage.",446.0,"461,1,0,0,,,"
447,447,"If the brain is not oxygenated, brain damage can occur in a short period of time. To prevent this, cardiopulmonary resuscitation is performed because the blood circulates throughout the body, that is, to the heart, and in this process, oxygen is also transmitted. Therefore, thanks to the oxygen supplied through CPR, brain damage can be prevented.",447.0,"462,1,0,0,,,"
448,448,"The human body is made up of all organs in circulation, and when you breathe in by giving a rebound to the heart and lungs, the brain also moves, breathing small and preventing brain damage.",448.0,"463,1,0,0,,,"
449,449,It makes your heart beat. It makes your brain come alive,449.0,"464,0,0,1,,,"
450,450,This is because the heart stopped during cardiopulmonary resuscitation so that blood circulation can be improved and blood is sent to the brain,450.0,"465,1,0,0,,,"
451,451,"When a heart attack occurs, the heart fails to function properly and cannot beat, so the act of pressing with your hands helps the heart beat, which can spread blood from the heart to the whole body again. So CPR can prevent brain damage.",451.0,"466,1,0,0,,,"
452,452,I don't know.,452.0,"467,1,0,0,,,"
453,453,"If a person does not breathe, there is no air supply to the brain, which causes brain damage. CPR can reduce brain damage by supplying air to the brain",453.0,"468,0,0,1,,,"
454,454,It's supplied to the brain,454.0,"469,0,0,1,,,"
455,455,Blood needs to flow to get air,455.0,"470,1,0,0,,,"
456,456,"If oxygen does not go to the brain, brain damage occurs, but if the heart does not beat, oxygen does not go, so CPR is performed.",456.0,"471,0,0,1,,,"
457,457,This is because the brain exercises only when blood circulation occurs,457.0,"472,1,0,0,,,"
458,458,Cardiopulmonary resuscitation can prevent brain damage because it supplies blood to the brain and oxygen in the blood is also supplied to the brain.,458.0,"473,1,0,0,,,"
459,459,I don't know,459.0,"474,0,0,1,,,"
460,460,Because it won't stop my heart,460.0,"475,0,0,1,,,"
461,461,I don't know.,461.0,"476,1,0,0,,,"
462,462,"When a heart attack occurs, the heart that circulates blood cannot work, so blood does not circulate, which can cause damage to the head.",462.0,"477,0,0,1,,,"
463,463,"Hemoglobin in the blood combines with oxygen and carries oxygen to the brain and the whole body when circulating blood. Therefore, re-supplying oxygen to the brain through CPR can prevent brain damage.",463.0,"478,1,0,0,,,479,1,0,0,,,"
464,464,"My heart is beating, so my body is bleeding",464.0,"480,1,0,0,,,"
465,465,"Cardiopulmonary resuscitation marks the heart, making it easier for the body's blood to circulate",465.0,"481,0,0,1,,,"
466,466,"This seems to be because CPR can pressure the heart as if it were beating, which can prevent blood from being supplied to the brain by active circulation.",466.0,"482,1,0,0,,,"
467,467,Because it allows you to breathe.,467.0,"483,0,0,0,,,"
468,468,"""God's Touch""",468.0,"484,1,0,0,,,"
469,469,"""",469.0,"485,0,0,0,,,"
470,470,"The reason for brain damage is that blood circulation is poor and oxygen supplied to the brain is insufficient, so cardiopulmonary resuscitation can be performed to supply oxygen to the brain.",470.0,"486,1,0,0,,,"
471,471,"""If you press the heart, the blood will turn again, so it seems like you're doing CPR",471.0,"487,0,0,1,,,"
472,472,"""",472.0,"488,1,0,0,,,"
473,473,Cardiopulmonary resuscitation can prevent blood circulation back to the brain.,473.0,"489,0,1,0,,,"
474,474,"By pressing the heart, oxygen can be contained in the blood and carried to the brain and various organs to prevent brain damage.",474.0,"490,1,0,0,,,"
475,475,I don't know.,475.0,"491,0,0,0,,,"
476,476,"If the heart that supplies blood stops and blood circulates to the brain, it will cause brain damage, so it stimulates the heart to circulate blood",476.0,"492,1,0,0,,,"
477,477,"The heart is supposed to oxygenate the head, but the heart stops and CPR is done",477.0,"493,0,0,1,,,"
478,478,"Blood carries oxygen, and if blood is not supplied to the brain, oxygen is also not supplied to the brain, which can cause serious damage to the brain.",478.0,"494,0,0,1,,,"
479,479,"When the heart is paralyzed, blood does not circulate, so blood is not supplied to the brain, and oxygen is not supplied, causing brain damage. At this time, CPR can prevent brain damage by making the heart beat again.",479.0,"495,0,0,0,,,"
480,480,"The activity of sending blood to the whole body and then returning to the heart as the heart beats is called blood circulation, which supplies blood to the brain, but the human brain uses blood very much, so the brain is damaged first when it is in cardiac arrest.",480.0,"496,1,0,0,,,"
481,481,Cardiopulmonary resuscitation can prevent brain damage due to lack of oxygen in the brain by supplying blood to the entire body.,481.0,"497,0,1,0,,,"
482,482,"Blood circulates in our bodies and supplies our bodies with the nutrients or oxygen they need. If oxygen is not supplied to the brain during ash, brain cells are damaged. The heart acts like a pump and circulates blood through our bodies. Since the heart cannot beat on its own during a heart attack, it presses the heart from the outside and circulates the body's blood.",482.0,"498,0,1,0,,,"
483,483,"Since the heart is suddenly stopped, cardiopulmonary resuscitation is performed to connect the brain and the heart, and blood is not moved to the brain, so blood is supplied through CPR.",483.0,"499,1,0,0,,,"
484,484,It supplies oxygen by external force.,484.0,"500,0,0,1,,,"
485,485,"Cardiopulmonary resuscitation is a process that causes the stopped heart to beat passively, and it continues to supply blood to the brain by maintaining blood circulation. In other words, it supplies oxygen to the brain. Without oxygen in the brain, brain damage occurs, and CPR prevents it, which can prevent brain damage.",485.0,"501,0,0,1,,,"
