,Unnamed: 0,1) What happened to the air in the bag after several breaths?,Unnamed: 0,", q41_oxygen, q41_carbon dioxide, q41_moisture, q41_oxygen.1, q41_carbon dioxide.1,q41_Moisture.1"
197,197,It seems that the volume of air in the bag has been reduced as the air has escaped little by little.There is not much air.,197.0,"203,0,0,0, the concentration of oxygen decreases.Increase the amount of carbon dioxide"
198,198,Oxygen is reduced,198.0,"The concentration of oxygen decreases at 204,0,0,0.The amount of carbon dioxide increases"
199,199,"""When we breathe in, when we breathe in, when we breathe in air, oxygen goes in",199.0,"205,0,0,1, oxygen concentration decreases, carbon dioxide increases,"
200,200,"When you release oxygen, it releases carbon dioxide, so after inhaling several numbers,",200.0,"The concentration ratio of 206,0,1,0, and oxygen decreases.There's a lot of carbon dioxide"
201,201,"The air in the bag is getting more and more carbon dioxide in the bag, instead of oxygen",201.0,"The concentration ratio of 207,0,0,0, and oxygen decreases.Increase in carbon dioxide ratio"
202,202,"Because I breathed, it was humid and looked blurry from the bag",202.0,"The concentration ratio of 208,0,1,0, and oxygen decreases.Increase in carbon dioxide ratio209,1,1,0, oxygen concentration ratio decreases, carbon dioxide ratio increases,"
203,203,The air in the plastic bag turned into carbon dioxide.,203.0,"It reduces the number of moles of oxygen, of oxygen, is reduced.Higher carbon dioxide ratios"
204,204,Because fresh air is mixed with carbon dioxide.,204.0,"211,1,1,0, the number of moles of oxygen decreases.Higher carbon dioxide rates"
205,205,It's getting damp,205.0,"212, 0, 0, 0, the number of moles of oxygen decreases.Higher carbon dioxide ratios"
206,206,I think there's going to be a gas.,206.0,"213,0,0,1, the amount of oxygen decreases.,increasing carbon dioxide ratio"
207,207,The air is about to escape out.,207.0,"214,0, 0, 0, 0, the amount of oxygen decreases.,increase in carbon dioxide proportion"
208,208,It's getting damp,208.0,"215,1,1,0, oxygen reduction, carbon dioxide ratio increased"
209,209,It's filled with carbon dioxide,209.0,"216,0,1,0, get less oxygen.Increase in the amount of carbon dioxide"
210,210,The amount of air will decrease,210.0,"217,1,0,0, decreasing oxygen ratio, increasing the amount of carbon dioxide"
211,211,"The air in the bag has almost turned into carbon dioxide, and the surface of the bag is steaming.",211.0,"218,0,1,0, decreasing oxygen ratio, increasing the amount of carbon dioxide"
212,212,"Oxygen disappears when inhaling and carbon dioxide is released when exhaling, reducing oxygen and increasing carbon dioxide.",212.0,"219,0,1,0, decreasing oxygen ratio, increasing carbon dioxide content,"
213,213,The air in the bag will be warm.,213.0,"220, 0, 1, 0, decreasing the amount of oxygen, increasing the amount of carbon dioxide"
214,214,The bag would have become cloudy and the air would have been more carbon dioxide than oxygen.,214.0,"221,1,1,0, less oxygen, more carbon dioxide"
215,215,The air is going in,215.0,"222, 0, 1, 0, O2 becomes less.,CO2 increases.,"
216,216,It's foggy,216.0,"223,0,1,0, and O2 decrease.,CO2 increases.,"
217,217,I think the bag will turn blurry.,217.0,"224,0,0,0 and O2 decrease.,CO2 increases.,"
218,218,Oxygen was lost and carbon dioxide occupied a high place.,218.0,"The ratio of 225,0,1,1 and O2 is reduced.,the rate of CO2 increases.,"
219,219,It will be warm and full of carbon dioxide.,219.0,"The ratio of 226,0,1,0,O2 decreases.,the rate of CO2 increases.,"
220,220,The oxygen in the bag is gradually disappearing.,220.0,"The ratio of 227,0,1,0, and O2 decreases.,the rate of CO2 increases.,"
221,221,It turns into carbon dioxide.,221.0,"The ratio of 228,1,1,0, and O2 is lowered.,the rate of CO2 increases.,"
222,222,The air in the bag turns into carbon dioxide.,222.0,"The concentration of 229,1,1,0, and O2 is reduced.The concentration of CO2 increases.,"
223,223,It's full of carbon dioxide.,223.0,"The concentration of 230, 1, 0, and O2 decreases.The concentration of CO2 increases"
224,224,All the oxygen is gone and only carbon dioxide is left,224.0,"The concentration of 231,1,1,0 and O2 decreases.The concentration of CO2 increases.,"
225,225,There is more carbon dioxide,225.0,"The concentration of 232, 0, 1, 0, and O2 is lowered.The concentration of CO2 increases.,"
226,226,It's hard to breathe when you breathe and blow carbon dioxide into the bag,226.0,"The concentration ratio of 233,1,1,0, and O2 is reduced.,the concentration ratio of CO2 increases.,"
227,227,The amount of air has decreased,227.0,"The concentration ratio of 234,0,1,0,O2 decreases., the concentration ratio of CO2 increases.,"
228,228,"There will be more carbon dioxide, and it will be full of moisture.",228.0,"The concentration ratio of 235, 1, 0, and O2 decreases.,the concentration ratio of CO2 increases.,"
229,229,It's full of carbon dioxide,229.0,"The concentration ratio of 236,0,1,0, and O2 is lowered.,the concentration ratio of CO2 increases.,"
230,230,There is only carbon dioxide left in the bag.,230.0,"The number of moles of 237,0,1,0, and O2 is reduced.,CO2 forfeiture increases.,"
231,231,"Breathe in and out the oxygen in the air, release carbon dioxide and run out of oxygen, making it difficult to breathe",231.0,"The number of moles of 238,0,1,0,O2 is reduced.The number of moles of CO2 increases.,The number of moles of 239,1,1,0, and O2 decreases., the number of confiscations of CO2 increases"
232,232,Oxygen disappears and carbon dioxide gradually forms.,232.0,"The amount of 240,1,1,0 and O2 is reduced.The amount of CO2 increases.,"
233,233,Carbon dioxide will increase and oxygen will decrease,233.0,"The amount of 241,0,1,0,O2 is reduced.The amount of CO2 increases.,"
234,234,Oxygen would decrease and carbon dioxide would increase,234.0,"242,1,1,0,O2 decrease,CO2 increase,"
235,235,The amount of carbon dioxide has increased.,235.0,"243,1,1,0,O2 less.,CO2 is increasing.,"
236,236,Carbon dioxide increases and oxygen decreases,236.0,"244,1,1,0,O2 ratio reduction,CO2 ratio increase,"
237,237,There is only carbon dioxide left in the bag.,237.0,"245,1,1,0,O2 ratio decreased. CO2 ratio increased"
238,238,More carbon dioxide and less oxygen.,238.0,"246,0,0,0,O2 ratio decreases, CO2 ratio increases,"
239,239,I think the air is going to be weird because of the carbon dioxide that was in my body,239.0,"Decreased amount of 247,0,1,0,O2, increased amount of CO2,"
240,240,be filled with carbon dioxide,240.0,"Less amount of 248,0,1,0,O2, more amount of CO2,"
241,241,The amount of carbon dioxide has increased.,241.0,"249,0,1,0, o2 becomes less.,increase in CO2,"
242,242,The amount of oxygen decreased and the amount of carbon dioxide increased,242.0,"It decreases by 250,0,0,0, and o2.CO2 is increasing"
243,243,The bag would have been filled with carbon dioxide from oxygen.,243.0,"251,0,0,0 and o2 decrease.,increase in CO2 ratio,"
244,244,It's full of carbon dioxide.,244.0,"The ratio of 252, 0, 0, 0 and o2 is reduced.,increase in CO2 ratio,"
245,245,Oxygen will disappear and the bag will be filled with carbon dioxide.,245.0,"The ratio of 253,0,0,0 and o2 decreases.,increase in CO2 ratio,"
246,246,The amount of oxygen has decreased and the amount of carbon dioxide has increased compared to the beginning,246.0,"The ratio of 254,0,0,1,o2 decreases.,increasing the CO2 ratio"
247,247,Oxygen decreases and carbon dioxide increases,247.0,"The ratio of 255,0,0,0 and o2 is lowered, the ratio of CO2 is increased"
248,248,"The plastic bag, which was filled with fresh air (oxygen), repeatedly inhales and exhales, causing oxygen in the bag to enter the mouth and exhale, which increases the amount of carbon dioxide in the bag.",248.0,"The concentration of 256,0,0,0 and o2 is reduced.,increasing the CO2 ratio"
249,249,It's disappearing.,249.0,"The concentration of 257,0,1,0, and o2 decreases.,increased CO2 ratio,"
250,250,It's because the amount of carbon dioxide has increased,250.0,"The concentration of 258,0,1,0, and o2 decreases.,increase in CO2 ratio,"
251,251,There is a lot of carbon dioxide has increased.,251.0,"The concentration of 259,0,0,1,o2 is lowered, the CO2 ratio is increased,"
252,252,There is carbon dioxide in the bag.,252.0,"The concentration ratio of 260,0,0,1,0, and o2 is reduced.,increase in the amount of CO2,"
253,253,It'll get dirty,253.0,"Concentration ratios of 261,1,1,0, and o2 are reduced.,increase in the amount of CO2"
254,254,The air disappears,254.0,"The concentration ratio of 262, 0, 1, 0, and o2 decreases.,increase in the amount of CO2"
255,255,I don't know,255.0,"The concentration ratio of 263,0,0,0 and o2 is lowered.,increase in the amount of CO2"
256,256,The air in the plastic bag is about to disappear,256.0,"The number of moles of 264,0,1,0, and o2 is reduced.,increase in the amount of CO2"
257,257,The air must have gotten hot,257.0,"The number of moles of 265,0,0,0 and o2 decreases., the amount of CO2 increases"
258,258,shortness of breath,258.0,"The number of moles of 266,0,1,1,o2 decreases, and Co2 increases"
259,259,The air would have faded away,259.0,"The amount of 267,0,1,0, and o2 is reduced.,Co2 increases,"
260,260,There is a lot of carbon dioxide.,260.0,"The amount of 268,0,1,0,o2 is reduced,Co2 is increased269,0,0,0 and o2 decrease, increasing the ratio of Co2"
261,261,The amount of carbon dioxide becomes higher,261.0,"270,0, 0, 0, o2 less., the rate of Co2 increases"
262,262,The air is likely to turn into steam and fill the vinyl.,262.0,"271,0,0,0 and o2 ratio decrease. The ratio of Co2 increases"
263,263,The carbon dioxide in our bodies is likely to fill a bag.,263.0,"272,0,1,0, o2 ratio lowered. The ratio of Co2 increases"
264,264,The oxygen in the bag would have turned into carbon dioxide.,264.0,"273,1,1,0, o2 ratio decreases, the concentration of Co2 increases"
265,265,There will be more carbon dioxide,265.0,"Decreased amount of 274,1,0,o2; increased concentration of Co2,"
266,266,The closed air seems to be contaminated as it continues to breathe,266.0,"The amount of 275,0,0,0 and o2 decreases, the concentration of Co2 increases"
267,267,The plastic bag is likely to be full of carbon dioxide,267.0,"276,1,1,0, o2 becomes less.The concentration of Co2 increases"
268,268,Only bad air will remain,268.0,"277,1,1,0 and o2 are reduced., the concentration ratio of Co2 increases"
269,269,Carbon dioxide increases and water vapor smacks,269.0,"278,0,0,1 and o2 decrease., the concentration ratio of Co2 increases"
270,270,"I think it's going to be full of carbon dioxide , It's getting hard to blow",270.0,"The ratio of 279,1,1,0 and o2 is reduced., the concentration ratio of Co2 increases"
271,271,It will be full of carbon dioxide.,271.0,"The ratio of 280,0,0,0 and o2 decreases., the concentration ratio of Co2 increases"
272,272,"""Blowing up""",272.0,"The ratio of 281, 0, 0, 0, o2 decreases, the number of moles of Co2 increases"
273,273,"""",273.0,"The ratio of 282,0,0,0,o2 decreases, the number of moles of Co2 increases"
274,274,The air in the bag disappeared and the bag went back to normal,274.0,"The concentration of 283,0,0,0 and o2 is reduced., the number of confiscations of Co2 increases"
275,275,There seems to be no air in the bag.,275.0,"The concentration of 284,0,0,0 and o2 decreases, and the amount of Co2 increases"
276,276,carbon dioxide,276.0,"The concentration of 285,0,0,0 and o2 decreases.The amount of Co2 increases"
277,277,Oxygen will be reduced and there will be carbon dioxide,277.0,"The concentration of 286,0,0,0 and o2 is lowered, the Co2 increase,"
278,278,It is filled with carbon dioxide instead of oxygen.,278.0,"The concentration ratio of 287,0,1,o2 is reduced,Co2 is increased"
279,279,The bag gets bigger,279.0,"The concentration ratio of 288,0,0,0 and o2 is reduced., increased Co2 ratio,"
280,280,Oxygen is converted into carbon dioxide.,280.0,"The concentration ratio of 289,0,1,0,o2 decreases, the Co2 ratio increases,"
281,281,"At first, oxygen was heard, but as you breathe, it would have turned into carbon dioxide.",281.0,"The concentration ratio of 290,0,0,0 and o2 decreases, the Co2 ratio increases,"
282,282,"Less air, warmer air.",282.0,"The number of moles of 291,0,1,0 and o2 is reduced., increasing the amount of Co2,"
283,283,"By inhaling CO2 and O2 in a plastic bag and adding CO2 in the blood, O2 in the bag is gradually decreased and CO2 is increased.",283.0,"The number of moles of 292,1,1,0 and o2 is reduced., increased amount of Co2,"
284,284,The plastic bag will be blurry,284.0,"The number of moles of 293,0,0,0 and o2 becomes smaller"
285,285,It's rising,285.0,"The amount of 294,1,1,0 and o2 is reduced.,CO2 is increasing"
286,286,The air is going out,286.0,"The amount of 295,0,1,0,o2 is reduced, the Co2 ratio is increased,"
287,287,The air is gone.,287.0,"296,0,1,0,o2 decrease; Co2 ratio increase;"
288,288,The air is gone.,288.0,"297,0,0,1,o2 less, Co2 ratio increase,"
289,289,lack of air,289.0,"298,0,1,0, o2 ratio decreased; Co2 ratio increased;299,1,0, o2 ratio lowered, Co2 ratio increased,"
290,290,The air is gradually disappearing,290.0,"300, 0, 0, 0, o2 ratio decreases, Co2 ratio increases,"
291,291,The humidity is full,291.0,"Decreased amount of 301,0,1,0,o2, increased Co2 ratio,"
292,292,The air decreases,292.0,"Less amount of 302,0,1,0,o2, greater Co2 ratio,"
293,293,"Fresh air inhales and exhales, turning into carbon dioxide",293.0,"303,0,0,0, oxygen reduction, Co2 ratio increased,"
294,294,It's because the air is getting less and less,294.0,"304,0,1,0, less oxygen, increasing the amount of Co2,"
295,295,The gas changes into carbon dioxide.,295.0,"305,0,1,0, decreasing the acid consumption rate, increasing the amount of Co2,"
296,296,The gas in the bag containing oxygen (air) was converted to carbon dioxide.The air in the bag is less than the first time.,296.0,"306,0,0,1, reduction in oxygen ratio, increase in the amount of Co2,"
297,297,"As I breathe, oxygen disappears and carbon dioxide is formed.",297.0,"307,1,1,0, decreasing acid consumption rate, increasing the amount of Co2,"
298,298,It's about to run out of air and generate carbon dioxide,298.0,"308,0,1,0, lower acid consumption rate, increased amount of Co2,"
299,299,CO2 would be full,299.0,"309,0,0,0, oxygen ratio decreases, Co2 increases,"
300,300,The temperature of the air in the vinyl gets warm and the vinyl gets dewy,300.0,"310, 0, 1, 0, decreasing oxygen consumption, increasing co2"
301,301,It will contain carbon dioxide instead of air.Air and carbon dioxide would be mixed.,301.0,"311,1,1,0, decreasing oxygen consumption, increasing co2"
302,302,I think my breath went in.And the fresh air in the beginning is likely to be carbon dioxide.,302.0,"312, 0, 1, 0, oxygen ratio decreases, co2 increases"
303,303,The amount of air has decreased little by little.,303.0,"The ratio of 313,0,1,0, decreasing oxygen consumption, increases"
304,304,The carbon dioxide I exhale makes it difficult to breathe.,304.0,"314,1,1,0, decreasing the amount of oxygen, increasing the ratio of co2"
305,305,The carbon dioxide concentration is high,305.0,"The ratio of 315,0,1,0, the amount of oxygen reduced, co2, increases"
306,306,have no air,306.0,"The ratio of 316,1,0,0, and the amount of oxygen reduced, co2, increases"
307,307,"As humans breathe in, the air goes into our lungs and is filled with carbon dioxide that occurs when we breathe.",307.0,"317,0,1,0, the amount of oxygen decreases, the concentration of co2 increases"
308,308,It becomes full of carbon dioxide.,308.0,"The concentration of 318,1,0,1, the quantitative increase of oxygen, co2, increases"
309,309,The air is thinning and the steam is going to heal,309.0,"The concentration of 319, 1, 0, and oxygen increases"
310,310,Oxygen is converted into carbon dioxide.,310.0,"320, 0, 0, 0, O2 decrease. The concentration of co2 increases"
311,311,There is carbon dioxide in the bag.,311.0,"321,1,1,0,O2 is less.The concentration ratio of ,co2 increases"
312,312,The air in the bag has decreased a little.,312.0,"322,0,1,0,O2 ratio decreases, the concentration ratio of co2 increases,"
313,313,Oxygen will run out and carbon dioxide will fill the inside.,313.0,"323,1,1,0,O2 ratio decrease. The concentration ratio of co2 increases"
314,314,The oxygen in the bag turned into carbon dioxide.,314.0,"324,1,1,0,O2 ratio decrease. The concentration ratio of co2 increases"
315,315,The carbon dioxide concentration increases.,315.0,"325,0,1,0,O2 ratio decreased. The number of confiscations of co2 increases"
316,316,"The amount of air gradually decreases, and carbon dioxide will eventually fill the plastic bag.",316.0,"326,1,1,0,O2 ratio decreases, the number of moles of co2 increases,"
317,317,Oxygen has been converted into carbon dioxide,317.0,"327,1,1,0,O2 ratio decreases, the number of moles of co2 increases"
318,318,More carbon is idealized and no air is available,318.0,"328,0,0,0 and O2 ratio decrease. The amount of co2 increases329,0,0,0 and O2 ratio decrease. The amount of co2 increases"
319,319,Breathe in all the fresh air and there will be no air in the bag.,319.0,"330,0,1,0,O2 ratio decreased,co2 increased,"
320,320,There is a lot of carbon dioxide.,320.0,"331,0,1,0,O2 decrease in quantity,co2 increase"
321,321,"The fresh air will warm up because of my breath, and the air will disappear gradually because I inhale a lot into my body.",321.0,"332,0,0,0 and O2 decrease in quantity, increase in co2 ratio,"
322,322,Oxygen has been converted into carbon dioxide,322.0,"333,0,1,0,O2 decrease in quantity,co2 increase in ratio,"
323,323,The air has shrunk.,323.0,"The amount of 334,1,0,O2 is reduced,co2 ratio is increased,"
324,324,There will be less oxygen and more carbon dioxide.,324.0,"a quantitative increase of 335,1,0,0 and O2; an increase in the amount of co2;"
325,325,The air will turn into carbon dioxide.,325.0,"336,1,1,0,O2 quantity increased,co2 quantity increased,"
326,326,"Oxygen would have turned into carbon dioxide, and the amount of air would have decreased.",326.0,"337,1,1,0,o2 decrease,co2 increase,"
327,327,There is no oxygen and carbon dioxide is likely to have been filled in the bag.,327.0,"338,1,1,0,o2 less,co2 more,"
328,328,Inhalation and exhalation would have produced carbon dioxide.,328.0,"339,0,1,0, o2 ratio decrease, co2 ratio increase,"
329,329,"There will be less oxygen, and there will be carbon dioxide.",329.0,"340,0,1,0,o2 ratio decrease,co2 ratio increase,"
330,330,Oxygen decreases and carbon dioxide increases.,330.0,"341,1,1,0, o2 ratio decrease, co2 ratio increase,"
331,331,The plastic seems to have gotten a little smaller,331.0,"342,1,1,0, o2 ratio decreased, co2 ratio increased,"
332,332,A lot of air is gone.,332.0,"343,1,1,0,o2 ratio lowered,co2 ratio increased,"
333,333,There will be more carbon dioxide than before.,333.0,"344,1,1,0, o2 ratio decreased, co2 ratio increased,"
334,334,That's why there's so much carbon dioxide.,334.0,"345,1,1,0, o2 ratio decreases, co2 ratio increases,"
335,335,The air will gradually disappear,335.0,"346,1,1,0,o2 ratio small,co2 ratio large,"
336,336,There would have been a lot of carbon dioxide in the bag.,336.0,"347,1,1,0, o2 ratio decreases, co2 ratio increases,"
337,337,Oxygen would have decreased and carbon dioxide would have increased.,337.0,"348, 1, 0, o2 decrease in quantity; co2 increase in quantity;"
338,338,It seems that the fresh air will inhale and only the air will be cold.,338.0,"349,0,0,0 and o2 decrease in quantity;co2 increase in quantity;"
339,339,Less oxygen and more carbon dioxide,339.0,"a decrease in quantity of 350, 1, 0, o2, an increase in quantity of co2,"
340,340,"Oxygen enters our bodies and comes out as carbon dioxide through gas exchange. Therefore, the amount of oxygen will gradually decrease and the amount of carbon dioxide will increase.",340.0,"The amount of 351,1,1,0,o2 is reduced, the amount of co2 is increased,"
341,341,Oxygen decreases and carbon dioxide increases,341.0,"The quantitative increase of 352,1,1,0,o2; the amount of co2 is increased"
342,342,There's carbon dioxide in it.,342.0,"353, 1, 0, o2 quantities increase, co2 quantities increase,"
343,343,It will be full of carbon dioxide.,343.0,"354,0,0,0,0 oxygen decreases, carbon dioxide increases,"
344,344,The oxygen in the bag turns into carbon dioxide through breathing,344.0,"355,0,1,0, oxygen decreases.It increases the amount of carbon dioxide increases"
345,345,It's decreasing,345.0,"356,0,0,0,0 oxygen is reduced, carbon dioxide is increased,"
346,346,Oxygen decreases and carbon dioxide increases,346.0,"357,0, 0, 0, oxygen is reduced.,increase in carbon dioxide ratio,"
347,347,There will be more carbon dioxide than oxygen.,347.0,"358,0,1,0, oxygen reduction, carbon dioxide ratio increase,359,1,1,0, oxygen reduction, higher carbon dioxide ratio,"
348,348,"During ho-ho, oxygen is consumed and carbon dioxide is released.",348.0,"360,0,1,0, oxygen decreases, carbon dioxide increases,"
349,349,The amount of carbon dioxide increased and the amount of oxygen decreased.,349.0,"361,1,1,0, oxygen decreases., higher carbon dioxide ratio,"
350,350,Reduced oxygen and increased carbon dioxide,350.0,"362,1,1,0, oxygen decreases, carbon dioxide ratio increases,"
351,351,Oxygen + carbon peroxide,351.0,"363,0,1,0, oxygen decreases.,increase in carbon dioxide ratio,"
352,352,The bag swells.,352.0,"364,0,1,0, oxygen reduction, carbon dioxide ratio increased,"
353,353,Oxygen has become carbon dioxide.,353.0,"365,1,1,0, decreasing oxygen, increasing the amount of carbon dioxide,"
354,354,"Increased carbon dioxide, decreased oxygen",354.0,"366,1,1,0, decrease in oxygen, increase in the amount of carbon dioxide,"
355,355,Carbon Dioxide Increase Causing Oxygen Reduction,355.0,"367,1,1,0, decreasing oxygen, increasing the amount of carbon dioxide,"
356,356,A bag of fresh air will be filled with carbon dioxide.,356.0,"368,1,1,0, decrease in oxygen ratio, increase in amount of carbon dioxide,"
357,357,a bagful of air,357.0,"369,0,1,0, decrease in oxygen consumption, increase in carbon dioxide,"
358,358,There would have been a lot of carbon dioxide in the bag,358.0,"370, 1, 0, decreasing oxygen consumption, increasing carbon dioxide content,"
359,359,There will be minor changes.,359.0,"371,1,1,0, decreasing oxygen ratio, and increasing Co2.,"
360,360,Um Jeonghwa sings it. I don't know,360.0,"372, 0, 0, 0, decreasing the consumption rate, increasing the Co2.,"
361,361,"Carbon dioxide is released through breathing, making it difficult to breathe in a plastic bag. For your information, the air is not circulating because it is blocked.",361.0,"373,0,1,0, decreasing oxygen ratio, increasing Co2.,"
362,362,"There is oxygen in the drinking air, but there is carbon dioxide in the exhaling air, so there is more carbon dioxide in the bag later",362.0,"The ratio of 374,1,0,0, and oxygen decreases, and the ratio of Co2 increases.,"
363,363,Full of carbon dioxide,363.0,"375,1,1,0, oxygen ratios are reduced.The rate of ,Co2 increases.,"
364,364,The amount of oxygen in the bag decreased and the amount of carbon dioxide increased.,364.0,"376,0,1,0, decreasing oxygen, increasing the ratio of Co2.,"
365,365,The oxygen partial pressure decreases and the carbon dioxide partial pressure increases.,365.0,"377, 1, 0, 0, decreasing oxygen, increasing the ratio of Co2.,"
366,366,There's a lot of carbon dioxide,366.0,"378,1,0,0, oxygen deficiency, Co2 concentration increases.,"
367,367,The amount of oxygen decreases and the amount of carbon dioxide increases.,367.0,"379,1,1,0, oxygen deficiency, Co2 concentration increases"
368,368,Oxygen becomes scarce and carbon dioxide becomes high.,368.0,"380, 0, 1, 0, oxygen deficiency, Co2 concentration increases.,"
369,369,All the oxygen in the plastic bag turns into carbon dioxide.,369.0,"The concentration of 381,0,1,0, and Co2 increases.,"
370,370,Oxygen would have decreased and carbon dioxide would have increased.,370.0,"382,1,1,0, oxygen disappear, and the concentration ratio of Co2 increases.,"
371,371,"Oxygen becomes scarce, carbon dioxide from exhalation increases, and water vapor increases",371.0,"383,0, 0, 0, oxygen is lost., the concentration ratio of Co2 increases.,"
372,372,It will be filled with carbon dioxide.,372.0,"384,1,1,0, and oxygen disappear, and the concentration ratio of Co2 increases.,"
373,373,Carbon dioxide and water vapor increased instead of oxygen.,373.0,"385,0,1,0, oxygen is lost., the concentration ratio of Co2 increases.,"
374,374,Oxygen disappeared and carbon dioxide was produced on Earth,374.0,"The number of moles of 386,0,0,0,0, oxygen is lost, and Co2 increases.,"
375,375,The air in the bag would have decreased.,375.0,"387,0,0,1, oxygen loss, increases the number of moles of Co2.,"
376,376,Breathe only in a plastic bag and is full of carbon dioxide because there is no air circulation,376.0,"388,0,0,0, the oxygen ratio goes down, the number of moles of Co2 increases389,0,1,0, and oxygen ratios increase the amount of endurance, Co2.,"
377,377,Oxygen is reduced,377.0,"The ratio of 390, 1, 0, and oxygen decreases, and the amount of Co2 increases.,"
378,378,Oxygen in the bag decreased and carbon dioxide generated by breathing increased.,378.0,"391,0,1,0, oxygen reduction, Co2 increase"
379,379,There's only carbon dioxide,379.0,"392,1,1,0, the proportion of oxygen in the air in the bag decreases.,Co2 is increasing.,"
380,380,Oxygen has gone down,380.0,"393,1,1,0, oxygen is lost.,increase in Co2 ratio,"
381,381,lack of oxygen,381.0,"394,1,1,0, less oxygen, higher Co2 ratio"
382,382,Less oxygen and more co2,382.0,"395,1,1,0, decreasing oxygen content, increasing Co2 ratio"
383,383,The percentage of carbon dioxide increases,383.0,"The ratio of oxygen to 396,1,1,0, decreases.,increase in the amount of Co2,"
384,384,There is a lot of carbon dioxide.,384.0,"397,0, 0, 0, 0, oxygen is reduced.,increasing the amount of Co2"
385,385,Oxygen has gone down Carbon dioxide has increased,385.0,"398,0,0,0,0 oxygen is gradually reduced, Co2 is increased"
386,386,The bag fills with breath.,386.0,"The ratio of 399,1,1,0, and oxygen decreases.CO2 is increasing"
387,387,Oxygen is gone and more carbon dioxide is left than oxygen,387.0,"400, 0, 0, 0, oxygen gone, Co2 ratio increased"
388,388,I think there's a lot of carbon dioxide,388.0,"401,0,0,0, less oxygen, increasing Co2 ratio. ratio"
389,389,Oxygen is reduced.,389.0,"402,0,0,0,0, decrease in oxygen ratio, increase in Co2 ratio"
390,390,be filled with breath,390.0,"403,0,0,0,Oxygen decreased,Co2 ratio increased"
391,391,Air changes because inhalation is bigger than exhalation,391.0,"404,0,0,0,Oxygen reduction,Co2 ratio increased"
392,392,increase in carbon dioxide,392.0,"405,0,0,0, the oxygen ratio decreases, the Co2 ratio increases"
393,393,Oxygen has decreased,393.0,"406,0,0,0,0, no oxygen, Co2 ratio increased"
394,394,There is more carbon dioxide,394.0,"407,1,0, the proportion of oxygen in the air in the bag decreases, the proportion of Co2 increases"
395,395,"The air is inhaled through inhalation, and oxygen in the air is used for cellular respiration, and carbon dioxide is emitted through exhalation, making it difficult to breathe due to less oxygen in the plastic bag.Oxygen has decreased and carbon dioxide has increased",395.0,"408,1,0,O2 decreased,Co2 ratio increased"
396,396,Breathing increases carbon dioxide and inhalation reduces oxygen.,396.0,"The 409,0,0,1,O2 ratio decreases., increase in the amount of Co2,"
397,397,Oxygen decreases and carbon dioxide increases.,397.0,"The ratio of 410, 0, 1, and O2 has decreased, increasing the amount of Co2"
398,398,The air in the bag reduces oxygen and increases carbon dioxide.,398.0,"411,0,0,0 and O2 ratio decreased, Co2 increased in quantity"
399,399,The air decreases,399.0,"412,0,0,1,O2 ratio decreased, Co2 increased"
400,400,have no air,400.0,"413,0,0,0, decreasing oxygen ratio, increasing the amount of Co2"
401,401,There's more carbon dioxide than oxygen,401.0,"414,0,0,1, decreasing the oxygen ratio, increasing the amount of Co2"
402,402,evaporation of air,402.0,"The ratio of 415,0,0,0,O2 decreases, and the co2 increases.,"
403,403,The bag swells up,403.0,"416,0,0,0,0, decreasing oxygen ratio, increasing co2.,"
404,404,Breathe in and air goes away.,404.0,"417,0,0,0,0, decrease oxygen content, increase co2.,"
405,405,"""",405.0,"The ratio of 418,0,1,0 ,co2 increases.,The ratio of 419,1,1,0 and co2 increases.,"
406,406,the swelling of a bag,406.0,"The ratio of 420, 0, 1, 0 and co2 increases.,"
407,407,I feel like I'm going to run out of air,407.0,"The ratio of 421,0,1,0,co2 increases.,"
408,408,It looks like it's going to shrink.,408.0,"The concentration of 422,1,1,0 and co2 increases.,"
409,409,It's shrunk.,409.0,"423,0,1,0 , the concentration of co2 increases"
410,410,Fresh air was consumed by our lungs and bad air was ingested.,410.0,"The concentration of 424,1,1,0 and co2 increases.,"
411,411,the loss of oxygen,411.0,"The concentration of 425,1,0,co2 increases.,"
412,412,It's getting hot,412.0,"The concentration ratio of 426,1,0,0 and co2 increases.,"
413,413,The plastic bag is damp,413.0,"The concentration ratio of 427,1,1,0 and co2 increases.,"
414,414,The air in the bag would have been reduced,414.0,"The concentration ratio of 428,1,1,0 and co2 increases.,"
415,415,The plastic bag is damp.,415.0,"The concentration ratio of 429,1,1,0 and co2 increases.,"
416,416,The air has shrunk,416.0,"The number of confiscations of 430,1,1,0 and co2 increases.,"
417,417,There is moisture and bad air,417.0,"The number of moles of 431,1,1,0 and co2 increases.,"
418,418,"If you breathe a lot, the air gets dirty and it's hard to hide.",418.0,"432,1,1,0 ,co2 has a larger number of confiscations"
419,419,People died because it was hard.,419.0,"The amount of 433,0,0,0 ,co2 increases.,"
420,420,"Because of inhalation and exhalation,",420.0,"The amount of 434,1,1,0 and co2 increases.,"
421,421,It's full of carbon dioxide,421.0,"435,1,0,co2 increase"
422,422,There would be less oxygen and more carbon dioxide.,422.0,"436,1,1,0,co2 more.,"
423,423,It contains carbon dioxide.,423.0,"437,1,1,0 ,co2 ratio increase"
424,424,"When a person exhales, it releases carbon dioxide.So a large plastic bag will be full of carbon dioxide.",424.0,"438,1,1,0 ,co2 ratio increased"
