,Unnamed: 0,2) Why do the constellations change depending on the season?,Unnamed: 0,", q48_spin, q48_spin, q48_spin, 1, q48_spin.1"
393,393,This is because the earth spun around.,393.0,"406,1,0,,"
394,394,the earth rotates on its axis,394.0,"407,0,0,,"
395,395,This is because constellations do not move and the earth revolves.Because the earth rotates,395.0,"408,1,0,,"
396,396,Because the earth revolves,396.0,"409,1,0,,"
397,397,The earth revolves and revolves,397.0,"410,1,0,,"
398,398,"This is because the position of the Earth changes as it orbits, so the constellation you see changes.",398.0,"411,0,0,,"
399,399,The weather changes depending on the season,399.0,"412,1,0,,"
400,400,It's because the earth is on the left,400.0,"413,1,1,,"
401,401,It's because of the rotation of the earth,401.0,"414,1,0,,"
402,402,The temperature is different,402.0,"415,1,0,,"
403,403,Because of the revolution of the earth,403.0,"416,1,0,,"
404,404,The moon rotates,404.0,"417,1,0,,"
405,405,This is because the earth revolves.,405.0,"418,1,0,,419,1,0,,"
406,406,due to the revolution of the earth,406.0,"420,0,1,,"
407,407,Because of the revolution of the earth,407.0,"421,1,1,,"
408,408,My zodiac signs move every season,408.0,"422,1,1,,"
409,409,This is because the position changes as the Earth orbits around the sun.(This is because the stars (symbols) that can be seen well in that position are different.),409.0,"423,0,1,,"
410,410,Because the earth rotates and revolves.,410.0,"424,1,0,,"
411,411,This is because the earth orbits the sun.,411.0,"425,1,0,,"
412,412,"Due to the orbit of the earth, constellations hidden by the sun can be seen seasonally.",412.0,"426,1,0,,"
413,413,This is because the earth revolves.,413.0,"427,1,0,,"
414,414,The Earth's position is different because of its rotation.,414.0,"428,1,0,,"
415,415,"Because of the Earth's movement,",415.0,"429,1,0,,"
416,416,This is because the earth is orbiting.,416.0,"430,1,0,,"
417,417,The earth rotates,417.0,"431,0,0,,"
418,418,by the rotation of the earth,418.0,"432,1,0,,"
419,419,The rotation changed the position of the Earth,419.0,"433,0,1,,"
420,420,The earth rotates,420.0,"434,1,0,,"
421,421,It is because the earth revolves around.,421.0,"435,1,0,,"
422,422,It's because of the revolution of the earth.,422.0,"436,0,0,,"
423,423,Because the earth revolves,423.0,"437,0,1,,"
424,424,the revolution of the earth,424.0,"438,1,0,,"
425,425,the revolution of the earth,425.0,"439,1,0,,"
426,426,Because the Earth orbits and the stars that we see from our perspective on Earth change,426.0,"440,0,1,,"
427,427,It depends on the sunlight because the earth revolves around solarism,427.0,"441,1,0,,"
428,428,It is because the earth rotates.,428.0,"442,1,0,,"
429,429,Because the earth revolves,429.0,"443,0,1,,"
430,430,The earth rotates on its axis.,430.0,"444,1,0,,"
431,431,"As the earth orbits, the constellations seen by season are different.",431.0,"445,0,1,,"
432,432,Because the earth revolves,432.0,"446,1,0,,"
433,433,Because it's moving,433.0,"447,1,0,,"
434,434,Because the earth rotates...?,434.0,"448,0,0,,449,1,0,,"
435,435,Because the earth revolves,435.0,"450,0,0,,"
436,436,Because it revolves around,436.0,"451,1,0,,"
437,437,"Because the earth is rotating,",437.0,"452,0,1,,"
438,438,Because the earth revolves around the sun,438.0,"453,1,0,,"
439,439,as the earth revolves around solarism,439.0,"454,0,1,,"
440,440,Because the earth rotates,440.0,"455,1,1,,"
441,441,Because the earth revolves,441.0,"456,0,1,,"
442,442,This is because the earth rotates.,442.0,"457,0,1,,"
443,443,Because of the revolution of the earth,443.0,"458,1,0,,"
444,444,This is because the earth revolves.,444.0,"459,0,1,,"
445,445,Because time passes by.,445.0,"460,1,0,,"
446,446,This is because the earth revolves.,446.0,"461,0,1,,"
447,447,Because the four seasons are always different,447.0,"462,1,0,,"
448,448,This is because the earth revolves.,448.0,"463,0,1,,"
449,449,Because the earth rotates,449.0,"464,0,1,,"
450,450,Because the earth revolves,450.0,"465,0,1,,"
451,451,This is because the time the Earth rotates varies depending on the season.,451.0,"466,1,0,,"
452,452,Because the earth revolves and revolves,452.0,"467,0,0,,"
453,453,Because the earth rotates around the stars,453.0,"468,1,0,,"
454,454,"The constellation is still, but the constellation appears to change as the Earth rotates.",454.0,"469,0,1,,"
455,455,Because the earth revolves,455.0,"470,0,1,,"
456,456,Because the earth rotates,456.0,"471,0,1,,"
457,457,The earth revolves around,457.0,"472,0,0,,"
458,458,be due to the rotation of the earth,458.0,"473,1,0,,"
459,459,The reason why the seasons change is that the earth revolves.,459.0,"474,1,0,,"
460,460,The earth rotates,460.0,"475,1,0,,"
461,461,Because the earth rotates,461.0,"476,0,1,,"
462,462,Because the earth rotates,462.0,"477,1,0,,"
463,463,Because the earth revolves,463.0,"478,1,0,,479,1,0,,"
464,464,The earth can't see the back,464.0,"480,1,0,,"
465,465,The earth revolves around the sun.,465.0,"481,1,0,,"
466,466,It is because of the Earth's rotation.,466.0,"482,1,0,,"
467,467,"Stars stay still, but the Earth rotates based on the sun, so the positions of constellations vary by season.",467.0,"483,1,0,,"
468,468,The earth rotates on its axis.,468.0,"484,0,1,,"
469,469,The location changed,469.0,"485,1,0,,"
470,470,Because the earth revolves,470.0,"486,1,0,,"
471,471,Because the earth revolves,471.0,"487,1,0,,"
472,472,This is because the earth revolves around the sun.,472.0,"488,0,0,,"
473,473,Because the earth rotates,473.0,"489,0,0,,"
474,474,The earth revolves around,474.0,"490,0,0,,"
475,475,"Because the earth revolves around the sun,",475.0,"491,0,0,,"
476,476,This is because the earth revolves.,476.0,"492,0,0,,"
477,477,Because the earth revolves,477.0,"493,0,0,,"
478,478,Because the earth revolves,478.0,"494,0,0,,"
479,479,This is because the earth revolves around the sun.,479.0,"495,0,0,,"
480,480,This is because the earth revolves around the sun.,480.0,"496,1,0,,"
481,481,The earth rotates,481.0,"497,0,0,,"
482,482,on the turn of the earth,482.0,"498,0,0,,"
483,483,This is because the earth revolves.,483.0,"499,0,0,,"
484,484,Because the earth revolves,484.0,"500,1,0,,"
485,485,I don't know,485.0,"501,0,0,,"
486,486,I don't know,486.0,"502,0,0,,"
487,487,I don't know,487.0,"503,1,0,,"
488,488,I don't know,488.0,"504,0,0,,"
489,489,I don't know,489.0,"505,1,0,,"
490,490,I don't know,490.0,"506,0,0,,"
491,491,I don't know,491.0,"507,1,0,,"
492,492,I don't understand.,492.0,"508,0,0,,509,0,0,,"
493,493,This is because the earth rotates.,493.0,"510,0,0,,"
494,494,I don't know.I don't know.,494.0,"511,0,0,,"
495,495,I don't know.,495.0,"512,1,0,,"
496,496,"Because of the Earth's orbital period,",496.0,"513,0,0,,"
497,497,Because the weather changes in the season,497.0,"514,1,0,,"
498,498,I don't know,498.0,"515,1,0,,"
499,499,"""Because the earth revolves,""",499.0,"516,1,0,,"
500,500,"""",500.0,"517,1,0,,"
501,501,I don't know,501.0,"518,1,0,,"
502,502,"Because the earth turns,",502.0,"519,1,0,,"
503,503,There's a representative constellation for the season,503.0,"520,1,0,,"
504,504,The seasons change when the earth turns.,504.0,"521,1,0,,"
505,505,Stars are moving,505.0,"522,1,0,,"
506,506,"The constellations are different in the night sky, representing long constellations.",506.0,"523,1,0,,"
507,507,I don't know.,507.0,"524,1,0,,"
508,508,I don't know,508.0,"525,1,0,,"
509,509,The earth turns,509.0,"526,1,0,,"
510,510,The stars move every hour.,510.0,"527,1,0,,"
511,511,The earth revolves around the sun,511.0,"528,0,1,,"
512,512,"Because the earth revolves around the sun,",512.0,"529,1,0,,"
513,513,"Because the earth revolves around the sun,",513.0,"530,0,0,,"
514,514,This is because the earth revolves.,514.0,"531,1,0,,"
515,515,"""",515.0,"532,0,0,,"
516,516,Because the earth revolves,516.0,"533,1,0,,"
517,517,Because the earth revolves,517.0,"534,1,0,,"
518,518,Because the earth revolves,518.0,"535,1,0,,"
519,519,Because of the revolution of the earth,519.0,"536,1,0,,"
520,520,"Because the earth orbits, the constellations we see are different.",520.0,"537,1,0,,"
521,521,The earth is spinning,521.0,"538,0,0,,539,1,0,,"
522,522,Because the earth revolves,522.0,"540,1,0,,"
523,523,"Because the earth revolves around the sun,",523.0,"541,1,0,,"
524,524,Because the earth revolves,524.0,"542,1,0,,"
525,525,Because the earth revolves,525.0,"543,1,0,,"
526,526,"Because of the Earth's rotation,",526.0,"544,1,0,,"
527,527,Because the earth revolves.,527.0,"545,1,0,,"
528,528,Ha,528.0,"546,1,0,,"
529,529,"This is because the Earth orbits the sun, and the constellations that can be seen vary from season to season.",529.0,"547,1,0,,"
530,530,"Because the earth revolves around the sun,",530.0,"548,1,0,,"
531,531,This is because the earth revolves.,531.0,"549,1,1,,"
532,532,"The reason for the change in seasons is that the Earth revolves around the sun, and as the seasons change over the year, the Earth moves to a position where certain constellations cannot be seen.",532.0,"550,0,0,,"
533,533,"This is because the earth revolves around solarism. As the Earth's position changes, so does our view of the night sky. Constellations in the eastern, western, and southern skies are always seasonal, but the northern constellations do not change much because they are near the North Pole of the celestial sphere.",533.0,"551,1,0,,"
534,534,Because the earth revolves,534.0,"552,0,0,,"
535,535,"Because the Earth orbits, the constellations that can be seen from the Earth change.",535.0,"553,1,1,,"
536,536,This is because the earth revolves around the sun.,536.0,"554,0,0,,"
537,537,"Because the earth revolves around the sun,",537.0,"555,0,0,,"
538,538,"The earth revolves around the sun. The constellation changes slightly every day because of the revolution. As the Earth orbits the solar system, its position changes, and its view of the universe changes. Because the position of viewing the universe varies, constellations are also seen differently depending on the position.",538.0,"556,1,0,,"
539,539,"Depending on the location of the Earth and the Sun, constellations that must be seen from Earth to the other side of the Sun are not visible. And, because the Earth revolves around the sun, the zodiac sign across the sun changes. Thus, the constellations seen on Earth change as the Earth orbits.",539.0,"557,0,1,,"
540,540,"The Earth we live on orbits counterclockwise every day, while the star is fixed in one place. Therefore, constellations keep changing.",540.0,"558,1,1,,"
541,541,"Because the earth revolves around the sun,",541.0,"559,0,1,,"
542,542,This is because the night sky seen during the night time changes every year because the earth orbits.,542.0,"560,1,0,,"
543,543,"As the Earth orbits around the sun, the position of the Earth changes, and as the position changes, the direction of the half of the Earth at night changes, and accordingly, the constellation changes according to the season.",543.0,"561,1,0,,"
544,544,"The Earth's position changes as it orbits around the sun. Since the positions of constellations are also different, the constellations that appear depending on the season change when the Earth orbits.",544.0,"562,0,0,,"
545,545,"The Earth orbits around the sun every year, changing the location of the Earth from season to season, and the types of stars seen on the Earth also change from season to season.",545.0,"563,1,0,,"
546,546,"Because the Earth orbits around the sun, the constellations and observable times that can be seen at night on Earth vary depending on the season.",546.0,"564,1,0,,"
547,547,"The positions of stars are fixed compared to the rotation of the Earth. When the Earth orbits, we can only look at stars in the opposite direction of the sun. Therefore, the positions of stars and constellations are constant, but the direction we see varies from season to season, so constellations look different from season to season.",547.0,"565,1,0,,"
548,548,"Since the positional relationship between the sun and the earth varies depending on the season, there is a side where the sun seems to pass from the earth, and this side is called the ecliptic. There are constellations at intervals near the ecliptic, where the sun passes by depending on the season, is not visible by the sun's light, and constellations on the opposite side of the sun based on the Earth can be seen by reflecting the sun's light.",548.0,"566,1,0,,"
549,549,"Seasons change as the Earth orbits the Sun, in which the star remains in its position, but the relationship between the star and the Earth's position changes as the Earth orbits the Sun. Accordingly, the types of constellations seen vary from season to season.",549.0,"567,1,0,,"
550,550,"There are countless stars distributed around the sun. Because the Earth is orbiting the Sun, there are countless stars on the line when the Sun and Earth are placed on a straight line.But we only see stars on the Earth's side. Because the sun is too bright to see the stars behind it. The Earth orbits the Sun for a year, and the constellations that can be seen change according to this orbit. In addition, the seasons change depending on the revolution, so the constellations that appear depending on the season eventually change.",550.0,"568,1,0,,569,1,0,,"
551,551,"The position of the star remains unchanged, but the earth rotates and rotates. We are located in different places in spring, summer, fall, and winter. So when we look at the stars at night, we will observe the stars in that position. Since the earth orbits the sun once a year, the constellations that can be seen every season change in Korea, which is four seasons a year.",551.0,"570,1,0,,"
552,552,"This is because the earth revolves around solarism. Due to the revolution, not only the constellations change according to the season, but also the performance movement of the sun appears.",552.0,"571,0,0,,"
553,553,Because the earth is moving.,553.0,"572,1,1,,"
554,554,"Because the earth revolves around each other in the east,",554.0,"573,1,0,,"
555,555,by rotation,555.0,"574,1,0,,"
556,556,the rotation and revolution of the earth,556.0,"575,0,0,,"
557,557,Because the earth rotates,557.0,"576,1,0,,"
558,558,This is because the sky we can see changes as the Earth orbits around the sun.,558.0,"577,1,0,,"
559,559,The earth revolves,559.0,"578,1,0,,"
560,560,It seems to depend on whether the constellation is in the direction of the sun or not,560.0,"579,1,0,,"
561,561,the revolution of the earth,561.0,"580,1,0,,"
562,562,The earth revolves around,562.0,"581,1,0,,"
563,563,The earth revolves around,563.0,"582,0,1,,"
564,564,It's because the earth is spinning.,564.0,"583,1,0,,"
565,565,This is because the earth revolves.,565.0,"584,0,0,,"
566,566,in a whirl,566.0,"585,1,0,,"
567,567,Because the Earth revolves around and the space seen at night changes,567.0,"586,1,0,,"
568,568,Because the earth revolves around the sun,568.0,"587,0,1,,"
569,569,The zodiac sign exists in different places,569.0,"588,1,0,,"
570,570,Because the earth is spinning and spinning,570.0,"589,1,0,,"
571,571,The earth revolves around and changes its position,571.0,"590,1,0,,"
572,572,The earth revolves around,572.0,"591,1,0,,"
573,573,The seasons are different,573.0,"592,1,0,,"
574,574,Because the earth revolves,574.0,"593,1,0,,"
575,575,This is because the earth revolves around the sun.,575.0,"594,1,0,,"
576,576,Because the earth revolves,576.0,"595,1,0,,"
577,577,It is because the earth revolves along Cheondo Island,577.0,"596,0,0,,"
578,578,This is because the earth revolves around the sun.,578.0,"597,0,0,,"
579,579,It's because the Earth revolves,579.0,"598,1,0,,599,0,0,,"
580,580,Because the earth rotates,580.0,"600,1,1,,"
581,581,This is because the earth revolves around the sun.,581.0,"601,0,0,,"
582,582,This is because the earth revolves around the sun.,582.0,"602,0,1,,"
583,583,The earth revolves around,583.0,"603,1,0,,"
584,584,This is because the earth revolves.,584.0,"604,1,0,,"
585,585,by the rotation of the earth,585.0,"605,1,0,,"
586,586,It's because it's revolving,586.0,"606,0,1,,"
587,587,It's going to be on the same time,587.0,"607,1,0,,"
588,588,Because the earth revolves,588.0,"608,1,0,,"
589,589,This is because the earth orbits the sun.,589.0,"609,1,0,,"
590,590,This is because the earth revolves around the sun.,590.0,"610,1,0,,"
591,591,This is because the earth revolves around the sun.,591.0,"611,1,0,,"
592,592,Because the earth revolves,592.0,"612,1,0,,"
593,593,The earth revolves aroundIt's spinning,593.0,"613,1,0,,"
594,594,I'm sorry,594.0,"614,1,0,,"
595,595,The earth revolves around,595.0,"615,0,0,,"
596,596,I created a constellation,596.0,"616,1,0,,"
597,597,Because the earth revolves and rotates,597.0,"617,1,0,,"
598,598,Don't know,598.0,"618,1,0,,"
599,599,The earth rotates,599.0,"619,1,0,,"
600,600,It's because the Earth revolves,600.0,"620,1,0,,"
601,601,Because the earth orbits the sun,601.0,"621,1,0,,"
602,602,The earth revolves because the stars stay still.,602.0,"622,1,0,,"
603,603,The earth rotates,603.0,"623,1,0,,"
604,604,Because the earth is orbiting,604.0,"624,1,0,,"
605,605,This is because the background stars stay still and the earth revolves.,605.0,"625,1,0,,"
606,606,The earth revolves around,606.0,"626,0,0,,"
607,607,The Earth's location is different. The view is different depending on the location,607.0,"627,0,1,,"
608,608,This is because the earth revolves.,608.0,"628,1,0,,629,0,0,,"
609,609,This is because the relative positions of the sun and the moon change as the earth orbits.,609.0,"630,0,0,,"
610,610,This is because the earth revolves.,610.0,"631,1,0,,"
611,611,This is because the earth revolves.,611.0,"632,1,0,,"
612,612,I don't know.,612.0,"633,1,0,,"
613,613,This is because the earth revolves around the sun.,613.0,"634,1,0,,"
614,614,This is because the earth revolves.,614.0,"635,1,0,,"
615,615,Because the earth revolves,615.0,"636,1,0,,"
616,616,the revolution,616.0,"637,1,0,,"
617,617,This is because the earth revolves.,617.0,"638,0,1,,"
618,618,"As the Earth orbits, the visible region changes",618.0,"639,1,0,,"
619,619,Constellations vary from season to season because the Earth orbits the sun.,619.0,"640,0,0,,"
620,620,This is because the earth revolves.,620.0,"641,1,0,,"
621,621,This is because the earth revolves around the sun.,621.0,"642,1,0,,"
622,622,Because the earth revolves,622.0,"643,1,0,,"
623,623,Let's see. Sexy,623.0,"644,1,0,,"
624,624,This is because the earth rotates.,624.0,"645,1,0,,"
625,625,Because the earth revolves,625.0,"646,1,0,,"
626,626,The temperature seems to change everything,626.0,"647,1,0,,"
627,627,This is because the position changes as the Earth orbits.,627.0,"648,0,0,,"
628,628,"As the Earth orbits, the constellations change because the places you see at night change.",628.0,"649,0,1,,"
629,629,Because Earth's orbit is an ellipse,629.0,"650,0,0,,"
630,630,Because the earth revolves,630.0,"651,1,1,,"
631,631,Because the earth revolves,631.0,"652,1,0,,"
632,632,Because the earth revolves,632.0,"653,1,0,,"
633,633,This is because the position changes as the Earth orbits.,633.0,"654,1,0,,"
634,634,Because the earth revolves.,634.0,"655,1,0,,"
635,635,Because the earth rotates,635.0,"656,0,0,,"
636,636,Constellations vary because the direction the Earth looks at night varies depending on the season.,636.0,"657,1,1,,"
637,637,"As time went by,",637.0,"658,1,0,,659,0,0,,"
638,638,"Because the earth revolves around the sun,",638.0,"660,1,0,,"
639,639,The earth revolves around the sun,639.0,"661,1,1,,"
640,640,This is because the earth revolves.,640.0,"662,1,0,,"
641,641,"The Earth orbits around the sun once a year, and accordingly, the direction of the universe viewed from the Earth changes at midnight.",641.0,"663,1,0,,"
642,642,The location of the Earth has changed,642.0,"664,1,0,,"
643,643,This is because the earth revolves.,643.0,"665,0,1,,"
644,644,The constellations seen in the night sky change because the earth revolves around the sun.,644.0,"666,1,1,,"
645,645,Because stars are fixed in position and the earth keeps orbiting the sun,645.0,"667,0,0,,"
646,646,Because the earth rotates,646.0,"668,1,0,,"
647,647,The zodiac sign always changes at night because the season changes depending on the birthday,647.0,"669,1,0,,"
648,648,This is because the earth rotates and revolves.,648.0,"670,1,0,,"
649,649,The location of the Earth has changed,649.0,"671,1,0,,"
650,650,This is because the Earth's position changes as it orbits,650.0,"672,1,0,,"
651,651,Because the earth revolves,651.0,"673,1,0,,"
652,652,"Because the earth revolves, constellations change from season to season.",652.0,"674,0,0,,"
653,653,Because there are constellations that can be seen in each season.,653.0,"675,0,1,,"
654,654,The earth rotates around the sun once a day,654.0,"676,1,0,,"
655,655,It's because the position changes as the earth revolves,655.0,"677,1,0,,"
656,656,"This is because NASA, a U.S. puppet group, broadcasts a false video by wrapping the flat earth where we live in a dome-shaped structure.",656.0,"678,1,0,,"
657,657,It's because the Earth revolves around and the position it sees changes,657.0,"679,0,0,,"
658,658,Because the earth rotates,658.0,"680,1,0,,"
659,659,This is because the earth revolves,659.0,"681,1,0,,"
660,660,Because the earth revolves,660.0,"682,1,0,,"
661,661,The earth revolves around,661.0,"683,0,1,,"
662,662,It's because it rotates,662.0,"684,1,0,,"
663,663,Because the Earth rotates on its own and revolves around the sun,663.0,"685,1,0,,"
664,664,Paddle,664.0,"686,1,0,,"
665,665,This is because the earth rotates.,665.0,"687,0,0,,"
666,666,The earth revolves around the sun,666.0,"688,1,0,,689,1,0,,"
667,667,the revolution of the earth,667.0,"690,1,0,,"
668,668,Because of the unprecedented situation,668.0,"691,1,0,,"
669,669,the revolution,669.0,"692,1,0,,"
670,670,"Because of the revolution of the earth,",670.0,"693,1,0,,"
671,671,I don't know,671.0,"694,1,0,,"
672,672,It is because the earth rotates,672.0,"695,1,1,,"
673,673,Because of the revolution of the earth,673.0,"696,1,0,,"
674,674,The earth revolves around,674.0,"697,1,0,,"
675,675,the earth turns round,675.0,"698,1,0,,"
676,676,I don't know.,676.0,"699,1,0,,"
677,677,Because of the revolution of the earth,677.0,"700,1,0,,"
678,678,the revolution of the earth,678.0,"701,1,0,,"
679,679,Because the earth revolves,679.0,"702,1,0,,"
680,680,The earth rotates,680.0,"703,1,0,,"
681,681,Other stars orbit the Earth.,681.0,"704,1,0,,"
682,682,This is because the earth revolves.,682.0,"705,1,0,,"
683,683,Because the earth revolves,683.0,"706,1,0,,"
684,684,The location of the Earth varies from season to season,684.0,"707,1,0,,"
685,685,Because the earth revolves around the sun,685.0,"708,1,0,,"
686,686,the revolution of the earth,686.0,"709,0,1,,"
687,687,This is because the earth revolves.,687.0,"710,1,0,,"
688,688,due to the revolution of the earth,688.0,"711,1,1,,"
689,689,"The Earth revolves around the sun and rotates once a year, because when the Earth moves, the stars in each position are different",689.0,"712,1,0,,"
690,690,The earth revolves around,690.0,"713,1,0,,"
691,691,Because the earth revolves,691.0,"714,1,0,,"
692,692,"Because the sky revolves and rotatesBecause the Earth keeps moving, the location changes",692.0,"715,1,0,,"
693,693,"As the earth revolves, you can see invisible parts.",693.0,"716,1,0,,"
694,694,"Because the earth revolves around the sun,",694.0,"717,0,0,,"
695,695,Because the earth revolves around the sun,695.0,"718,1,0,,719,1,0,,"
696,696,This is because the earth revolves.,696.0,"720,1,0,,"
697,697,Because the earth revolves,697.0,"721,1,0,,"
698,698,Because the earth revolves,698.0,"722,1,0,,"
699,699,This is because the earth revolves around the sun.,699.0,"723,1,0,,"
700,700,This is because the earth revolves around the sun.,700.0,"724,1,0,,"
701,701,Because the earth revolves,701.0,"725,1,0,,"
702,702,"Because the Earth revolves around solarism, the constellations in each direction vary from season to season",702.0,"726,1,0,,"
703,703,This is because the Earth orbits.,703.0,"727,0,0,,"
704,704,on the beat,704.0,"728,1,0,,"
705,705,This is because the earth rotates.,705.0,"729,1,0,,"
706,706,Because the earth revolves,706.0,"730,1,0,,"
707,707,It is because the earth rotates and orbits the sun,707.0,"731,0,1,,"
708,708,The constellations change because the earth revolves.,708.0,"732,1,0,,"
709,709,"Because the Earth orbits, we can see different constellations from season to season.",709.0,"733,1,0,,"
710,710,"""",710.0,"734,1,0,,"
711,711,The constellation changes because the Earth revolves around the sun and its position changes every time it turns around.,711.0,"735,1,0,,"
712,712,"As the Earth revolves around the sun, what it sees changes as the seasons change.",712.0,"736,1,0,,"
713,713,The reason why constellations change depending on the season is that the earth revolves.,713.0,"737,1,0,,"
714,714,Because the earth rotates on its axis,714.0,"738,1,0,,"
715,715,Because the Earth revolves around it and its position changes,715.0,"739,1,0,,"
716,716,The earth revolves around,716.0,"740,1,0,,"
717,717,The Earth revolves around and constellations look different.,717.0,"741,0,0,,"
718,718,Because the earth revolves,718.0,"742,0,0,,"
719,719,Because the earth revolves,719.0,"743,0,0,,"
720,720,Because the earth revolves,720.0,"744,0,0,,"
721,721,Because the earth revolves,721.0,"745,1,0,,"
722,722,Because the earth revolves,722.0,"746,1,1,,"
723,723,Because the earth revolves,723.0,"747,1,1,,"
724,724,I don't know.,724.0,"748,1,0,,749,1,0,,"
725,725,in a whirl,725.0,"750,1,0,,"
726,726,Because the earth revolves,726.0,"751,0,0,,"
727,727,Because the earth revolves,727.0,"752,1,0,,"
728,728,"Because the earth rotates, the constellations that are visible from season to season are different",728.0,"753,1,0,,"
729,729,"Because the earth revolves around the sun,",729.0,"754,1,0,,"
730,730,This is because the earth revolves.,730.0,"755,1,0,,"
731,731,This is because the earth revolves.,731.0,"756,1,0,,"
732,732,This is because the earth revolves.,732.0,"757,0,1,,"
733,733,Because of the revolution of the earth,733.0,"758,1,0,,"
734,734,The earth revolves around,734.0,"759,1,1,,"
735,735,Because of the revolution of the earth,735.0,"760,1,1,,"
736,736,the revolution,736.0,"761,1,0,,"
737,737,Because the earth revolves,737.0,"762,1,0,,"
738,738,Because the days change,738.0,"763,1,1,,"
739,739,I don't know,739.0,"764,1,0,,"
740,740,I don't know.,740.0,"765,1,0,,"
741,741,I don't know.,741.0,"766,1,0,,"
742,742,in a whirl,742.0,"767,1,0,,"
743,743,It's because the earth rotates around,743.0,"768,1,0,,"
744,744,the revolution of the earth,744.0,"769,1,0,,"
745,745,The star changes its position because it orbits,745.0,"770,1,0,,"
746,746,It's because of course,746.0,"771,1,0,,"
747,747,the revolution of the earth,747.0,"772,1,0,,"
748,748,Look at the Greek and Roman mythology,748.0,"773,0,0,,"
749,749,Because the earth revolves around,749.0,"774,1,0,,"
750,750,the revolution,750.0,"775,1,0,,"
751,751,Because the earth revolves,751.0,"776,1,0,,"
752,752,Because it orbits the sun,752.0,"777,1,0,,"
753,753,in the revolution of the earth,753.0,"778,1,0,,779,0,1,,"
754,754,It is because of the rotation of the sun.,754.0,"780,0,0,,"
755,755,Because the earth revolves,755.0,"781,1,0,,"
756,756,"The earth rotates, revolves, the axis of rotation is tilted, something",756.0,"782,1,0,,"
757,757,It's because the earth revolves around its rotation,757.0,"783,1,0,,"
758,758,Because the earth revolves,758.0,"784,0,0,,"
759,759,Because the earth revolves,759.0,"785,0,0,,"
760,760,This is because the earth revolves around itself.,760.0,"786,0,1,,"
761,761,"Because the earth coexists with the sun,",761.0,"787,1,0,,"
762,762,"Because of the coexistence of the earth,",762.0,"788,1,0,,"
763,763,This is because the earth revolves.,763.0,"789,1,0,,"
764,764,the revolution of the earth,764.0,"790,1,0,,"
765,765,This is because the earth revolves.,765.0,"791,1,0,,"
766,766,"Since the earth revolves around the sun,",766.0,"792,0,0,,"
767,767,"Because the earth revolves around the sun,",767.0,"793,1,0,,"
768,768,The earth is fair around the sun,768.0,"794,1,0,,"
769,769,The earth revolves around,769.0,"795,1,0,,"
770,770,The direction from the sun crab changes,770.0,"796,0,0,,"
771,771,The stars opposite the sun that can be seen in orbit change.,771.0,"797,1,0,,"
772,772,Because the earth revolves around the sun,772.0,"798,1,0,,"
773,773,Because the earth revolves,773.0,"799,1,0,,"
774,774,Because of the unprecedented situation,774.0,"800,1,0,,"
775,775,the revolution of the earth,775.0,"801,1,0,,"
776,776,The earth rotates,776.0,"802,1,0,,"
777,777,I don't understand.,777.0,"803,1,0,,"
778,778,the revolution of the earth,778.0,"804,1,0,,"
779,779,the earth turns round,779.0,"805,1,0,,"
780,780,The earth revolves around,780.0,"806,1,0,,"
781,781,the motion of the celestial body,781.0,"807,1,0,,"
782,782,The climate is different,782.0,"808,1,0,,809,1,1,,"
783,783,Because the earth rotates,783.0,"810,1,1,,"
784,784,This is because the Earth orbits and the stars on the celestial sphere change.,784.0,"811,1,0,,"
785,785,This is because the earth revolves.,785.0,"812,1,0,,"
786,786,This is because the earth revolves around the sun.,786.0,"813,0,1,,"
787,787,This is because the earth revolves around the sun.,787.0,"814,1,0,,"
788,788,This is because the earth revolves around the sun.,788.0,"815,0,0,,"
789,789,I don't know.,789.0,"816,0,1,,"
790,790,This is because the Earth orbits and the Earth's position on the sun changes.,790.0,"817,1,0,,"
791,791,"As the Earth orbits, the Earth's position in space varies, so the constellations seen vary from season to season.Because the earth revolves",791.0,"818,0,1,,"
792,792,N and M,792.0,"819,1,0,,"
793,793,the revolution of the earth,793.0,"820,0,0,,"
794,794,This is because the earth rotates. The star stays still,794.0,"821,0,0,,"
795,795,Because the earth revolves,795.0,"822,1,0,,"
796,796,The constellations that can be seen as the words revolve are different.,796.0,"823,1,0,,"
797,797,Because the earth revolves,797.0,"824,1,0,,"
798,798,This is because the earth revolves.,798.0,"825,1,0,,"
799,799,This is because the earth revolves.,799.0,"826,1,0,,"
800,800,This is because the earth orbits and the stars in the sky change depending on the season.,800.0,"827,1,0,,"
801,801,the orbit of the earth,801.0,"828,0,1,,"
802,802,Because the earth revolves,802.0,"829,1,0,,"
803,803,"This is because the earth revolves. It may be less, but it is omitted because there is not enough time.",803.0,"830,1,0,,"
804,804,This is because the earth revolves.,804.0,"831,0,0,,"
805,805,Because the earth is rotating and revolving,805.0,"832,1,0,,"
806,806,The reason why constellations change depending on the season is that the Earth rotates around the sun at the same time.,806.0,"833,1,0,,"
807,807,The reason why the constellations in view change depending on the season is that the earth rotates at an inclination of 23.5 degrees.,807.0,"834,1,0,,"
808,808,"When the Earth orbits around the Sun, the constellations located behind the Sun are obscured by strong sunlight and cannot be observed on Earth, so the constellations seen vary depending on the season.",808.0,"835,0,1,,"
809,809,The reason why constellations change depending on the season is that the earth rotates and solarism revolves at the same time.,809.0,"836,0,0,,"
